FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ABB,23-Feb-2023,0,XX,N,3105.85,3177.0,3018.5,3086.2,3096.75,3080.75,3086.2,991500.0,3095432125.0,1673000.0,-102250.0,250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,5092.0,3095432125.0
FUTSTK,ABB,29-Mar-2023,0,XX,N,3123.45,3192.0,3072.0,3108.35,3114.9,3097.1,3108.35,53250.0,167530487.5,35500.0,4250.0,250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,5092.0,167530487.5
FUTSTK,ABB,27-Apr-2023,0,XX,N,0.0,0.0,0.0,3053.9,3053.9,3053.9,3120.95,0.0,0.0,2000.0,0.0,250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,5092.0,0.0
FUTSTK,ABB,27-Apr-2023,0,XX,N,0.0,0.0,0.0,3053.9,3053.9,3053.9,3193.6,0.0,0.0,2000.0,0.0,250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,5092.0,0.0
FUTSTK,ABB,23-Feb-2023,0,XX,N,3090.55,3195.45,3081.5,3160.3,3159.95,3086.2,3160.3,958250.0,3019636550.0,1559000.0,-114000.0,250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,5092.0,3019636550.0
FUTSTK,ABB,29-Mar-2023,0,XX,N,3110.95,3211.8,3100.0,3177.55,3173.1,3108.35,3177.55,88250.0,279849525.0,54250.0,18750.0,250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,5092.0,279849525.0
FUTSTK,ABB,23-Feb-2023,0,XX,N,3170.95,3211.0,3136.35,3190.8,3186.05,3160.3,3190.8,456750.0,1452348637.5,1500250.0,-58750.0,250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,5092.0,1452348637.5
FUTSTK,ABB,27-Apr-2023,0,XX,N,3200.0,3200.0,3183.6,3183.6,3183.6,3053.9,3232.4,500.0,1595900.0,2000.0,0.0,250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,5092.0,1595900.0
FUTSTK,ABB,29-Mar-2023,0,XX,N,3191.0,3230.0,3157.55,3212.0,3210.05,3177.55,3212.0,73500.0,234804575.0,73000.0,18750.0,250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,5092.0,234804575.0
FUTSTK,ABB,23-Feb-2023,0,XX,N,3171.7,3238.0,3120.0,3133.35,3135.25,3190.8,3133.35,712750.0,2267278700.0,1404500.0,-95750.0,250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,5092.0,2267278700.0
