FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,148.1,148.1,148.0,148.0,148.0,148.25,148.0,21600.0,3203550.0,199800.0,5400.0,5400.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,325.65,3203550.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,147.25,148.2,145.5,147.15,147.1,147.15,147.15,307800.0,45248220.0,1171800.0,-27000.0,5400.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,325.65,45248220.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,146.9,147.5,144.4,146.35,146.15,146.5,146.35,6161400.0,900461610.0,31935600.0,-135000.0,5400.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,325.65,900461610.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,148.0,150.0,146.3,150.0,150.0,148.0,150.7,64800.0,9550710.0,210600.0,10800.0,5400.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,325.65,9550710.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,147.8,150.5,145.05,149.85,149.9,147.15,149.85,718200.0,106601130.0,1355400.0,183600.0,5400.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,325.65,106601130.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,145.8,149.8,144.15,148.95,148.6,146.35,148.95,7392600.0,1090163610.0,31190400.0,-745200.0,5400.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,325.65,1090163610.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,148.15,149.0,147.0,148.3,148.15,149.85,148.3,550800.0,81518670.0,1312200.0,-43200.0,5400.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,325.65,81518670.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,148.2,148.35,145.8,147.45,147.4,148.95,147.45,6825600.0,1004993190.0,31838400.0,648000.0,5400.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,325.65,1004993190.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,149.15,149.5,147.0,147.9,147.0,150.0,147.9,205200.0,30398220.0,97200.0,-113400.0,5400.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,325.65,30398220.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,147.1,148.5,146.8,147.3,147.45,147.45,147.3,3531600.0,520772220.0,31422600.0,-415800.0,5400.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,325.65,520772220.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,150.2,150.2,149.05,149.15,149.15,147.9,148.95,16200.0,2421360.0,86400.0,-10800.0,5400.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,325.65,2421360.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,148.25,149.4,148.0,148.2,148.2,148.3,148.2,118800.0,17627490.0,1339200.0,27000.0,5400.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,325.65,17627490.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,147.5,148.2,142.95,144.1,144.3,147.3,144.1,5103000.0,738916830.0,31174200.0,-248400.0,5400.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,325.65,738916830.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,145.45,145.85,145.45,145.85,145.85,149.15,145.85,16200.0,2360610.0,102600.0,16200.0,5400.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,325.65,2360610.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,147.6,147.6,144.05,145.1,145.1,148.2,145.1,259200.0,37722240.0,1366200.0,27000.0,5400.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,325.65,37722240.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,144.6,144.8,144.6,144.8,144.8,145.85,146.45,16200.0,2348730.0,97200.0,-5400.0,5400.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,325.65,2348730.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,144.6,145.4,142.2,144.9,144.35,144.1,144.9,2862000.0,412087770.0,31028400.0,-145800.0,5400.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,325.65,412087770.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,145.6,146.0,143.2,145.8,145.7,145.1,145.8,226800.0,32898150.0,1431000.0,64800.0,5400.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,325.65,32898150.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,147.5,147.5,146.85,146.85,146.85,144.8,147.35,27000.0,3971970.0,113400.0,16200.0,5400.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,325.65,3971970.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,144.55,146.95,144.45,145.7,146.0,144.9,145.7,4854600.0,706601880.0,30996000.0,-32400.0,5400.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,325.65,706601880.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,145.55,147.45,145.55,146.65,146.65,145.8,146.65,1101600.0,161129250.0,1884600.0,453600.0,5400.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,325.65,161129250.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,147.3,148.9,146.5,147.75,147.85,146.65,147.75,3763800.0,556153290.0,4433400.0,2548800.0,5400.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,325.65,556153290.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,148.8,149.2,148.8,149.2,149.2,146.85,148.5,16200.0,2413260.0,118800.0,5400.0,5400.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,325.65,2413260.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,146.1,148.05,145.6,147.0,146.85,145.7,147.0,6382800.0,937106550.0,28803600.0,-2192400.0,5400.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,325.65,937106550.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,147.4,147.55,143.35,144.8,144.6,147.75,144.8,2889000.0,419866740.0,5562000.0,1128600.0,5400.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,325.65,419866740.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,145.9,146.7,142.5,143.85,143.5,147.0,143.85,6058800.0,873543150.0,27405000.0,-1398600.0,5400.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,325.65,873543150.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,146.5,146.6,145.4,145.4,145.4,149.2,145.95,64800.0,9478620.0,140400.0,21600.0,5400.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,325.65,9478620.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,146.35,147.1,146.35,147.1,147.1,145.4,146.2,16200.0,2377080.0,151200.0,10800.0,5400.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,325.65,2377080.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,145.05,146.9,144.35,145.4,145.0,144.8,145.4,12193200.0,1775586150.0,13019400.0,7457400.0,5400.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,325.65,1775586150.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,144.05,145.95,143.4,144.65,144.2,143.85,144.65,14553000.0,2106375030.0,19013400.0,-8391600.0,5400.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,325.65,2106375030.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,144.15,145.5,143.1,143.85,143.85,145.4,143.85,8974800.0,1292369850.0,19035000.0,6015600.0,5400.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,325.65,1292369850.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,145.85,145.85,144.3,144.85,144.85,147.1,144.9,43200.0,6260490.0,151200.0,0.0,5400.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,325.65,6260490.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,143.25,144.8,142.05,142.95,142.95,144.65,142.95,9914400.0,1418366700.0,13710600.0,-5302800.0,5400.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,325.65,1418366700.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,143.5,143.7,139.35,140.0,139.75,143.85,140.0,13527000.0,1904648580.0,24208200.0,5173200.0,5400.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,325.65,1904648580.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,142.4,142.9,138.5,139.2,139.2,142.95,139.2,10697400.0,1498222440.0,6156000.0,-7554600.0,5400.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,325.65,1498222440.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,142.5,142.5,140.5,141.1,141.1,144.85,140.9,43200.0,6111990.0,183600.0,32400.0,5400.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,325.65,6111990.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,139.5,142.2,139.5,141.9,142.2,141.1,141.9,97200.0,13751370.0,270000.0,86400.0,5400.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,325.65,13751370.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,140.0,141.5,137.7,140.65,140.85,140.0,140.65,13111200.0,1836560520.0,30088800.0,5880600.0,5400.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,325.65,1836560520.0
FUTSTK,ABCAPITAL,23-Feb-2023,0,XX,N,139.25,140.95,136.9,139.55,139.9,139.2,139.55,9050400.0,1260164520.0,831600.0,-5324400.0,5400.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,325.65,1260164520.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,141.3,143.8,140.95,142.85,142.7,140.65,142.85,5632200.0,804579480.0,30083400.0,-5400.0,5400.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,325.65,804579480.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,143.3,144.5,143.2,143.65,143.6,141.9,143.65,162000.0,23302620.0,248400.0,-21600.0,5400.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,325.65,23302620.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,0.0,0.0,0.0,142.15,0.0,142.15,144.75,0.0,0.0,0.0,0.0,5400.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,325.65,0.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,0.0,0.0,0.0,142.15,0.0,142.15,144.25,0.0,0.0,0.0,0.0,5400.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,325.65,0.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,141.75,143.05,140.65,142.5,142.65,142.85,142.5,3661200.0,520042680.0,30175200.0,91800.0,5400.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,325.65,520042680.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,142.9,143.8,142.0,143.8,143.8,143.65,143.45,59400.0,8481780.0,226800.0,-21600.0,5400.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,325.65,8481780.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,0.0,0.0,0.0,142.15,0.0,142.15,148.4,0.0,0.0,0.0,0.0,5400.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,325.65,0.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,142.45,147.4,142.2,146.4,146.65,142.5,146.4,7425000.0,1080506250.0,30358800.0,183600.0,5400.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,325.65,1080506250.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,144.7,148.0,144.7,147.15,147.35,143.8,147.15,102600.0,15069780.0,248400.0,21600.0,5400.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,325.65,15069780.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,149.95,154.0,149.95,154.0,154.0,142.15,154.6,21600.0,3274290.0,10800.0,10800.0,5400.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,325.65,3274290.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,147.0,153.5,146.0,152.95,152.95,146.4,152.95,13807800.0,2081084400.0,32081400.0,1722600.0,5400.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,325.65,2081084400.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,147.35,154.15,147.35,154.05,154.15,147.15,154.05,766800.0,116228790.0,437400.0,189000.0,5400.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,325.65,116228790.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,152.95,154.5,151.5,153.3,153.0,152.95,153.3,7889400.0,1207503990.0,33064200.0,982800.0,5400.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,325.65,1207503990.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,153.85,155.55,152.7,154.35,154.05,154.05,154.35,367200.0,56567970.0,475200.0,37800.0,5400.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,325.65,56567970.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,156.4,156.4,156.4,156.4,156.4,154.0,154.9,5400.0,844560.0,16200.0,5400.0,5400.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,325.65,844560.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,156.9,156.9,156.9,156.9,156.9,156.4,157.15,5400.0,847260.0,21600.0,5400.0,5400.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,325.65,847260.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,155.3,157.5,154.8,156.65,156.7,154.35,156.65,496800.0,77670360.0,513000.0,37800.0,5400.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,325.65,77670360.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,154.0,156.6,153.35,155.7,155.65,153.3,155.7,11053800.0,1717027740.0,34441200.0,1377000.0,5400.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,325.65,1717027740.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,154.9,158.0,154.9,158.0,158.0,156.9,158.8,10800.0,1689660.0,27000.0,5400.0,5400.0,06-Mar-2023,2023-03-05T18:30:00.000+00:00,325.65,1689660.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,156.5,157.8,154.8,157.15,157.05,155.7,157.15,7533000.0,1179683190.0,34592400.0,151200.0,5400.0,06-Mar-2023,2023-03-05T18:30:00.000+00:00,325.65,1179683190.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,156.7,158.85,156.15,158.1,158.0,156.65,158.1,172800.0,27253260.0,540000.0,27000.0,5400.0,06-Mar-2023,2023-03-05T18:30:00.000+00:00,325.65,27253260.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,155.85,159.65,155.6,158.75,158.7,157.15,158.75,9277200.0,1467414090.0,35386200.0,793800.0,5400.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,325.65,1467414090.0
FUTSTK,ABCAPITAL,25-May-2023,0,XX,N,160.1,160.1,160.1,160.1,160.1,158.0,160.6,5400.0,864540.0,32400.0,5400.0,5400.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,325.65,864540.0
FUTSTK,ABCAPITAL,27-Apr-2023,0,XX,N,158.0,160.45,157.25,159.8,159.85,158.1,159.8,642600.0,102193110.0,648000.0,108000.0,5400.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,325.65,102193110.0
FUTSTK,ABCAPITAL,29-Mar-2023,0,XX,N,159.35,160.0,157.1,157.4,157.35,158.75,157.4,8321400.0,1319533470.0,33620400.0,-1765800.0,5400.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,325.65,1319533470.0
