FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,5175.0,5250.9,5168.0,5234.4,5246.85,5114.55,5234.4,11000.0,57352855.0,9000.0,2300.0,100.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,5255.7,57352855.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,0.0,0.0,0.0,5182.0,5182.0,5182.0,5331.1,0.0,0.0,400.0,0.0,100.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,5255.7,0.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,5096.0,5255.0,5096.0,5234.05,5238.0,5108.7,5234.05,442400.0,2305023240.0,1116100.0,3500.0,100.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,5255.7,2305023240.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,5271.0,5300.9,4950.0,5125.3,5130.0,5234.05,5125.3,1118000.0,5757818955.0,1086200.0,-29900.0,100.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,5151.35,5757818955.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,5219.3,5259.2,5219.3,5259.2,5259.2,5182.0,5221.75,300.0,1571630.0,600.0,200.0,100.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,5151.35,1571630.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,5214.6,5286.55,4993.75,5125.8,5131.35,5234.4,5125.8,28100.0,143914670.0,9200.0,200.0,100.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,5151.35,143914670.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4811.0,4854.7,4746.0,4750.0,4750.0,5259.2,4750.0,2700.0,12940395.0,1900.0,1300.0,100.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,4800.85,12940395.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,5040.0,5040.0,4730.0,4738.45,4730.0,5125.8,4738.45,50500.0,242437360.0,23600.0,14400.0,100.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,4800.85,242437360.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,5043.9,5043.9,4732.35,4742.75,4743.0,5125.3,4742.75,1003900.0,4822434500.0,1114200.0,28000.0,100.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,4800.85,4822434500.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4718.7,4718.7,4585.0,4680.3,4692.5,4738.45,4680.3,20900.0,97304210.0,26200.0,2600.0,100.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,4703.5,97304210.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4755.0,4758.95,4582.55,4682.85,4690.0,4742.75,4682.85,365400.0,1703187335.0,1097800.0,-16400.0,100.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,4703.5,1703187335.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4747.0,4747.0,4635.0,4693.45,4695.8,4750.0,4693.45,1000.0,4678770.0,2100.0,200.0,100.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,4703.5,4678770.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4690.0,4691.7,4545.0,4685.3,4679.9,4682.85,4685.3,290200.0,1343312685.0,1114900.0,17100.0,100.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,4708.6,1343312685.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4650.0,4697.75,4550.0,4691.45,4697.75,4680.3,4691.45,17800.0,82779680.0,27900.0,1700.0,100.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,4708.6,82779680.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4678.6,4710.0,4595.55,4710.0,4710.0,4693.45,4710.0,400.0,1867560.0,2200.0,100.0,100.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,4708.6,1867560.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4709.8,4731.6,4671.0,4686.25,4681.05,4691.45,4686.25,12800.0,60136545.0,29500.0,1600.0,100.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,4719.55,60136545.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4710.0,4710.0,4680.0,4710.0,4710.0,4710.0,4778.75,1200.0,5647590.0,2800.0,600.0,100.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,4719.55,5647590.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4681.25,4742.0,4659.0,4684.15,4686.15,4685.3,4684.15,230500.0,1082375510.0,1104400.0,-10500.0,100.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,4719.55,1082375510.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4664.45,4667.0,4592.9,4660.25,4657.5,4686.25,4660.25,10800.0,50117350.0,32100.0,2600.0,100.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,4651.5,50117350.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,0.0,0.0,0.0,4710.0,4710.0,4710.0,4709.0,0.0,0.0,2800.0,0.0,100.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,4651.5,0.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4632.35,4717.5,4590.15,4652.75,4650.5,4684.15,4652.75,216600.0,1003624615.0,1084000.0,-20400.0,100.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,4651.5,1003624615.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4612.0,4771.3,4598.1,4762.85,4762.6,4652.75,4762.85,293900.0,1391456750.0,1040400.0,-43600.0,100.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,4794.3,1391456750.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4679.25,4751.35,4679.25,4751.35,4751.35,4710.0,4850.75,700.0,3311680.0,2800.0,0.0,100.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,4794.3,3311680.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4621.2,4760.2,4600.0,4748.6,4749.8,4660.25,4748.6,32600.0,153894345.0,33900.0,1800.0,100.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,4794.3,153894345.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4749.2,4773.8,4707.3,4729.9,4725.7,4748.6,4729.9,21700.0,102946635.0,36900.0,3000.0,100.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,4722.15,102946635.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4735.0,4794.0,4724.85,4735.4,4730.0,4762.85,4735.4,201300.0,958328610.0,1031500.0,-8900.0,100.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,4722.15,958328610.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4746.8,4770.0,4746.8,4770.0,4770.0,4751.35,4777.2,300.0,1426380.0,2900.0,100.0,100.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,4722.15,1426380.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4752.2,4763.35,4642.9,4758.5,4756.35,4729.9,4758.5,17800.0,84339165.0,39500.0,2600.0,100.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,4741.7,84339165.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4700.0,4769.0,4638.9,4757.9,4754.95,4735.4,4757.9,201500.0,953552015.0,1009800.0,-21700.0,100.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,4741.7,953552015.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4703.9,4757.8,4703.9,4757.8,4757.8,4770.0,4757.8,300.0,1420670.0,2800.0,-100.0,100.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,4741.7,1420670.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4732.5,4772.25,4717.8,4747.7,4748.9,4758.5,4747.7,91200.0,432514485.0,98100.0,58600.0,100.0,20-Feb-2025,2025-02-19T18:30:00.000+00:00,4720.0,432514485.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4743.6,4747.6,4720.0,4747.6,4747.6,4757.8,4747.6,1400.0,6619595.0,2500.0,-300.0,100.0,20-Feb-2025,2025-02-19T18:30:00.000+00:00,4720.0,6619595.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4749.9,4777.2,4693.15,4731.5,4730.8,4757.9,4731.5,179600.0,850689010.0,989900.0,-19900.0,100.0,20-Feb-2025,2025-02-19T18:30:00.000+00:00,4720.0,850689010.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4713.5,4725.45,4594.4,4613.8,4602.55,4731.5,4613.8,376900.0,1748381805.0,756100.0,-233800.0,100.0,21-Feb-2025,2025-02-20T18:30:00.000+00:00,4601.25,1748381805.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4722.25,4769.2,4588.5,4617.5,4611.15,4747.7,4617.5,268400.0,1244848280.0,251600.0,153500.0,100.0,21-Feb-2025,2025-02-20T18:30:00.000+00:00,4601.25,1244848280.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4690.0,4690.0,4608.05,4608.05,4608.05,4747.6,4652.4,1500.0,6971180.0,2600.0,100.0,100.0,21-Feb-2025,2025-02-20T18:30:00.000+00:00,4601.25,6971180.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4616.15,4651.2,4576.85,4638.0,4651.2,4617.5,4638.0,386000.0,1780091485.0,514900.0,263300.0,100.0,24-Feb-2025,2025-02-23T18:30:00.000+00:00,4609.05,1780091485.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4569.25,4649.4,4569.25,4641.05,4641.05,4608.05,4641.05,800.0,3711405.0,2800.0,200.0,100.0,24-Feb-2025,2025-02-23T18:30:00.000+00:00,4609.05,3711405.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4622.65,4639.8,4578.95,4623.65,4624.55,4613.8,4623.65,421300.0,1943888330.0,478900.0,-277200.0,100.0,24-Feb-2025,2025-02-23T18:30:00.000+00:00,4609.05,1943888330.0
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4650.95,4655.0,4546.15,4566.3,4546.15,4623.65,4566.3,290900.0,1339831655.0,288000.0,-190900.0,100.0,25-Feb-2025,2025-02-24T18:30:00.000+00:00,4563.7,1339831655.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4652.0,4657.05,4600.4,4600.4,4600.4,4641.05,4600.4,1200.0,5577880.0,3600.0,800.0,100.0,25-Feb-2025,2025-02-24T18:30:00.000+00:00,4563.7,5577880.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4710.0,4710.0,4573.55,4587.8,4573.55,4638.0,4587.8,316100.0,1461878525.0,700500.0,185600.0,100.0,25-Feb-2025,2025-02-24T18:30:00.000+00:00,4563.7,1461878525.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4629.7,4657.45,4612.0,4657.45,4657.45,4600.4,4657.45,1800.0,8327615.0,4500.0,900.0,100.0,27-Feb-2025,2025-02-26T18:30:00.000+00:00,4612.5,8327615.0
FUTSTK,ALKEM,27-Mar-2025,0,XX,N,4668.95,4669.0,4548.95,4638.4,4644.2,4587.8,4638.4,407300.0,1875736070.0,850800.0,150300.0,100.0,27-Feb-2025,2025-02-26T18:30:00.000+00:00,4612.5,1875736070.0
FUTSTK,ALKEM,29-May-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,4612.5,
FUTSTK,ALKEM,27-Feb-2025,0,XX,N,4616.0,4635.55,4529.05,4617.95,4617.45,4566.3,4612.45,389400.0,1786206650.0,126000.0,-162000.0,100.0,27-Feb-2025,2025-02-26T18:30:00.000+00:00,4612.5,1786206650.0
FUTSTK,ALKEM,24-Apr-2025,0,XX,N,4622.0,4625.0,4493.6,4547.45,4543.0,4657.45,4547.45,8900.0,40604930.0,6400.0,1900.0,100.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,4646.2,40604930.0
FUTSTK,ALKEM,29-May-2025,0,XX,N,4550.0,4550.0,4550.0,4550.0,4550.0,4695.7,4550.0,100.0,455000.0,100.0,100.0,100.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,4646.2,455000.0
