FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,AMBER,28-Aug-2025,0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,6786.5,
FUTSTK,AMBER,31-Jul-2025,0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,6786.5,
FUTSTK,AMBER,30-Sep-2025,0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,6786.5,
FUTSTK,AMBER,31-Jul-2025,0,XX,N,6905.5,7000.0,6854.5,6891.0,6900.0,6827.0,6891.0,68000.0,470655500.0,39000.0,39000.0,100.0,27-Jun-2025,2025-06-26T18:30:00.000+00:00,6848.5,470655500.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,0.0,0.0,0.0,6897.0,0.0,6897.0,6960.0,0.0,0.0,0.0,0.0,100.0,27-Jun-2025,2025-06-26T18:30:00.000+00:00,6848.5,0.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,6950.0,7020.5,6893.0,6926.0,6934.0,6859.0,6926.0,2700.0,18763950.0,900.0,900.0,100.0,27-Jun-2025,2025-06-26T18:30:00.000+00:00,6848.5,18763950.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,6925.0,7138.5,6766.0,6814.5,6812.0,6891.0,6814.5,229300.0,1593903400.0,156300.0,117300.0,100.0,30-Jun-2025,2025-06-29T18:30:00.000+00:00,6769.5,1593903400.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7052.0,7151.0,6795.0,6841.5,6841.0,6926.0,6841.5,2100.0,14654200.0,1600.0,700.0,100.0,30-Jun-2025,2025-06-29T18:30:00.000+00:00,6769.5,14654200.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,0.0,0.0,0.0,6897.0,0.0,6897.0,6876.0,0.0,0.0,0.0,0.0,100.0,30-Jun-2025,2025-06-29T18:30:00.000+00:00,6769.5,0.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,6854.0,7151.5,6852.0,7138.5,7151.0,6841.5,7138.5,2400.0,16908900.0,1700.0,100.0,100.0,01-Jul-2025,2025-06-30T18:30:00.000+00:00,7083.0,16908900.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,6844.0,7146.0,6758.0,7122.0,7122.5,6814.5,7122.0,222200.0,1555611750.0,194200.0,37900.0,100.0,01-Jul-2025,2025-06-30T18:30:00.000+00:00,7083.0,1555611750.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7038.0,7173.0,7038.0,7166.5,7173.0,6897.0,7166.5,800.0,5688750.0,700.0,700.0,100.0,01-Jul-2025,2025-06-30T18:30:00.000+00:00,7083.0,5688750.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7241.0,7300.0,7232.5,7271.5,7271.5,7166.5,7271.5,800.0,5816650.0,800.0,100.0,100.0,02-Jul-2025,2025-07-01T18:30:00.000+00:00,7224.5,5816650.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7161.5,7315.0,7161.5,7270.0,7267.0,7138.5,7270.0,3700.0,26805600.0,2400.0,700.0,100.0,02-Jul-2025,2025-07-01T18:30:00.000+00:00,7224.5,26805600.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7118.0,7310.0,7095.0,7246.5,7242.0,7122.0,7246.5,218500.0,1579280400.0,205000.0,10800.0,100.0,02-Jul-2025,2025-07-01T18:30:00.000+00:00,7224.5,1579280400.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7277.5,7467.5,7245.5,7404.5,7379.0,7270.0,7404.5,4300.0,31721900.0,3600.0,1200.0,100.0,03-Jul-2025,2025-07-02T18:30:00.000+00:00,7345.0,31721900.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7265.0,7443.5,7140.0,7384.0,7375.5,7246.5,7384.0,211500.0,1549280950.0,222900.0,17900.0,100.0,03-Jul-2025,2025-07-02T18:30:00.000+00:00,7345.0,1549280950.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7200.0,7444.0,7200.0,7380.5,7380.5,7271.5,7380.5,1100.0,8102100.0,1500.0,700.0,100.0,03-Jul-2025,2025-07-02T18:30:00.000+00:00,7345.0,8102100.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7431.0,7461.5,7312.0,7406.0,7392.0,7404.5,7406.0,1300.0,9624450.0,3800.0,200.0,100.0,04-Jul-2025,2025-07-03T18:30:00.000+00:00,7349.5,9624450.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7348.5,7467.0,7257.5,7385.0,7378.5,7384.0,7385.0,92400.0,680865100.0,215700.0,-7200.0,100.0,04-Jul-2025,2025-07-03T18:30:00.000+00:00,7349.5,680865100.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7426.0,7482.0,7285.0,7285.0,7285.0,7380.5,7458.5,500.0,3691950.0,1300.0,-200.0,100.0,04-Jul-2025,2025-07-03T18:30:00.000+00:00,7349.5,3691950.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7324.0,7526.0,7324.0,7479.0,7466.5,7406.0,7479.0,5300.0,39571900.0,4700.0,900.0,100.0,07-Jul-2025,2025-07-06T18:30:00.000+00:00,7431.0,39571900.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7525.0,7539.5,7447.0,7480.0,7480.0,7285.0,7480.0,900.0,6746800.0,1300.0,0.0,100.0,07-Jul-2025,2025-07-06T18:30:00.000+00:00,7431.0,6746800.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7354.5,7523.0,7292.0,7451.5,7438.0,7385.0,7451.5,99400.0,740369050.0,206900.0,-8800.0,100.0,07-Jul-2025,2025-07-06T18:30:00.000+00:00,7431.0,740369050.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7495.0,7511.0,7495.0,7511.0,7511.0,7480.0,7616.5,200.0,1500600.0,1200.0,-100.0,100.0,08-Jul-2025,2025-07-07T18:30:00.000+00:00,7510.5,1500600.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7435.5,7561.0,7435.5,7537.0,7523.5,7479.0,7537.0,3000.0,22575350.0,4300.0,-400.0,100.0,08-Jul-2025,2025-07-07T18:30:00.000+00:00,7510.5,22575350.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7409.0,7548.0,7396.5,7532.0,7520.0,7451.5,7532.0,80300.0,602513750.0,203600.0,-3300.0,100.0,08-Jul-2025,2025-07-07T18:30:00.000+00:00,7510.5,602513750.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7532.0,7739.0,7473.5,7711.5,7671.0,7532.0,7711.5,108200.0,825950100.0,212100.0,8500.0,100.0,09-Jul-2025,2025-07-08T18:30:00.000+00:00,7691.5,825950100.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7494.0,7754.5,7494.0,7721.5,7696.0,7537.0,7721.5,5600.0,42790600.0,4800.0,500.0,100.0,09-Jul-2025,2025-07-08T18:30:00.000+00:00,7691.5,42790600.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7576.0,7720.0,7576.0,7720.0,7720.0,7511.0,7799.0,400.0,3052000.0,1500.0,300.0,100.0,09-Jul-2025,2025-07-08T18:30:00.000+00:00,7691.5,3052000.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7674.5,7854.5,7651.0,7766.0,7745.0,7711.5,7766.0,124700.0,967895700.0,195100.0,-17000.0,100.0,10-Jul-2025,2025-07-09T18:30:00.000+00:00,7753.0,967895700.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7687.5,7846.0,7687.5,7815.0,7815.0,7720.0,7860.0,500.0,3902800.0,1800.0,300.0,100.0,10-Jul-2025,2025-07-09T18:30:00.000+00:00,7753.0,3902800.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7701.5,7850.0,7690.0,7775.0,7769.0,7721.5,7775.0,5000.0,38828700.0,5000.0,200.0,100.0,10-Jul-2025,2025-07-09T18:30:00.000+00:00,7753.0,38828700.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7535.0,7565.0,7455.5,7455.5,7455.5,7815.0,7568.5,800.0,6016250.0,2000.0,200.0,100.0,11-Jul-2025,2025-07-10T18:30:00.000+00:00,7466.5,6016250.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7750.0,7850.0,7377.5,7479.0,7482.0,7766.0,7479.0,304600.0,2283726350.0,192100.0,-3000.0,100.0,11-Jul-2025,2025-07-10T18:30:00.000+00:00,7466.5,2283726350.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7805.0,7863.5,7385.5,7492.5,7505.0,7775.0,7492.5,16400.0,122894450.0,5800.0,800.0,100.0,11-Jul-2025,2025-07-10T18:30:00.000+00:00,7466.5,122894450.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7561.0,7711.0,7531.0,7669.5,7711.0,7492.5,7669.5,6300.0,47832850.0,5100.0,-700.0,100.0,14-Jul-2025,2025-07-13T18:30:00.000+00:00,7625.0,47832850.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7600.0,7726.0,7560.0,7726.0,7726.0,7455.5,7726.0,400.0,3047600.0,1700.0,-300.0,100.0,14-Jul-2025,2025-07-13T18:30:00.000+00:00,7625.0,3047600.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7523.0,7760.0,7516.0,7664.5,7715.5,7479.0,7664.5,131900.0,1002403050.0,196000.0,3900.0,100.0,14-Jul-2025,2025-07-13T18:30:00.000+00:00,7625.0,1002403050.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7668.0,7924.5,7668.0,7874.5,7871.0,7664.5,7874.5,273800.0,2147252550.0,217400.0,21400.0,100.0,15-Jul-2025,2025-07-14T18:30:00.000+00:00,7840.0,2147252550.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7773.0,7938.0,7741.0,7878.0,7899.0,7669.5,7878.0,14000.0,109980500.0,6200.0,1100.0,100.0,15-Jul-2025,2025-07-14T18:30:00.000+00:00,7840.0,109980500.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7913.0,7938.0,7773.0,7872.0,7872.0,7726.0,7872.0,1100.0,8657300.0,1800.0,100.0,100.0,15-Jul-2025,2025-07-14T18:30:00.000+00:00,7840.0,8657300.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7893.0,7893.0,7588.5,7646.5,7640.0,7878.0,7646.5,11800.0,90901550.0,9700.0,3500.0,100.0,16-Jul-2025,2025-07-15T18:30:00.000+00:00,7600.5,90901550.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7924.5,7928.0,7567.5,7629.0,7624.0,7874.5,7629.0,222900.0,1710125850.0,240500.0,23100.0,100.0,16-Jul-2025,2025-07-15T18:30:00.000+00:00,7600.5,1710125850.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7771.0,7771.0,7640.0,7640.0,7640.0,7872.0,7640.0,600.0,4621450.0,2200.0,400.0,100.0,16-Jul-2025,2025-07-15T18:30:00.000+00:00,7600.5,4621450.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7640.5,7666.0,7556.5,7627.0,7638.5,7629.0,7627.0,92300.0,702698100.0,257800.0,17300.0,100.0,17-Jul-2025,2025-07-16T18:30:00.000+00:00,7594.0,702698100.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7633.0,7633.0,7633.0,7633.0,7633.0,7640.0,7689.5,100.0,763300.0,2200.0,0.0,100.0,17-Jul-2025,2025-07-16T18:30:00.000+00:00,7594.0,763300.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7640.0,7664.0,7572.5,7641.5,7652.0,7646.5,7641.5,3300.0,25154750.0,10800.0,1100.0,100.0,17-Jul-2025,2025-07-16T18:30:00.000+00:00,7594.0,25154750.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7703.0,7726.0,7652.5,7690.0,7690.0,7633.0,7698.0,400.0,3077150.0,2400.0,200.0,100.0,18-Jul-2025,2025-07-17T18:30:00.000+00:00,7603.5,3077150.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7596.0,7730.0,7552.5,7611.0,7580.0,7627.0,7611.0,135100.0,1032493750.0,284600.0,26800.0,100.0,18-Jul-2025,2025-07-17T18:30:00.000+00:00,7603.5,1032493750.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7597.0,7757.0,7581.5,7648.5,7611.0,7641.5,7648.5,14300.0,109679800.0,14900.0,4100.0,100.0,18-Jul-2025,2025-07-17T18:30:00.000+00:00,7603.5,109679800.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7619.5,7619.5,7465.0,7531.5,7540.0,7648.5,7531.5,11600.0,87283250.0,18000.0,3100.0,100.0,21-Jul-2025,2025-07-20T18:30:00.000+00:00,7469.5,87283250.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,0.0,0.0,0.0,7690.0,7690.0,7690.0,7558.5,0.0,0.0,2400.0,0.0,100.0,21-Jul-2025,2025-07-20T18:30:00.000+00:00,7469.5,0.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7576.0,7607.0,7420.5,7500.5,7501.0,7611.0,7500.5,121500.0,911073400.0,301400.0,16800.0,100.0,21-Jul-2025,2025-07-20T18:30:00.000+00:00,7469.5,911073400.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7598.5,7598.5,7464.0,7464.0,7464.0,7690.0,7456.0,300.0,2252650.0,2700.0,300.0,100.0,22-Jul-2025,2025-07-21T18:30:00.000+00:00,7369.0,2252650.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7548.5,7625.0,7410.0,7419.5,7427.0,7531.5,7419.5,13200.0,99289600.0,19400.0,1400.0,100.0,22-Jul-2025,2025-07-21T18:30:00.000+00:00,7369.0,99289600.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7426.0,7594.5,7371.5,7388.5,7399.5,7500.5,7388.5,100600.0,751233850.0,298900.0,-2500.0,100.0,22-Jul-2025,2025-07-21T18:30:00.000+00:00,7369.0,751233850.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7325.0,7358.0,7325.0,7358.0,7358.0,7464.0,7397.5,300.0,2203800.0,2900.0,200.0,100.0,23-Jul-2025,2025-07-22T18:30:00.000+00:00,7312.5,2203800.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7464.0,7465.0,7301.0,7365.5,7364.0,7419.5,7365.5,36300.0,266897600.0,30300.0,10900.0,100.0,23-Jul-2025,2025-07-22T18:30:00.000+00:00,7312.5,266897600.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7451.0,7453.0,7265.0,7336.0,7326.0,7388.5,7336.0,133400.0,977086150.0,299800.0,900.0,100.0,23-Jul-2025,2025-07-22T18:30:00.000+00:00,7312.5,977086150.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7372.5,7455.0,7270.0,7425.0,7407.0,7365.5,7425.0,38900.0,286963600.0,43900.0,13600.0,100.0,24-Jul-2025,2025-07-23T18:30:00.000+00:00,7375.0,286963600.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7349.5,7355.0,7349.5,7355.0,7355.0,7358.0,7459.5,200.0,1470450.0,2900.0,0.0,100.0,24-Jul-2025,2025-07-23T18:30:00.000+00:00,7375.0,1470450.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7358.5,7423.0,7232.0,7396.0,7372.5,7336.0,7396.0,122100.0,897244400.0,313800.0,14000.0,100.0,24-Jul-2025,2025-07-23T18:30:00.000+00:00,7375.0,897244400.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7432.0,7479.5,7248.0,7311.0,7326.0,7425.0,7311.0,56000.0,409889350.0,69500.0,25600.0,100.0,25-Jul-2025,2025-07-24T18:30:00.000+00:00,7273.5,409889350.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7395.0,7444.5,7220.0,7279.0,7278.0,7396.0,7279.0,105300.0,769307250.0,300800.0,-13000.0,100.0,25-Jul-2025,2025-07-24T18:30:00.000+00:00,7273.5,769307250.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7466.5,7466.5,7288.0,7324.5,7324.5,7355.0,7355.0,1400.0,10240900.0,2900.0,0.0,100.0,25-Jul-2025,2025-07-24T18:30:00.000+00:00,7273.5,10240900.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7310.5,7539.5,7310.5,7506.5,7499.0,7311.0,7506.5,145000.0,1084874800.0,103300.0,33800.0,100.0,28-Jul-2025,2025-07-27T18:30:00.000+00:00,7465.5,1084874800.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7507.0,7535.0,7506.5,7535.0,7535.0,7324.5,7546.0,700.0,5258950.0,2300.0,-600.0,100.0,28-Jul-2025,2025-07-27T18:30:00.000+00:00,7465.5,5258950.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7293.0,7505.5,7293.0,7469.0,7460.0,7279.0,7469.0,149300.0,1110618100.0,254500.0,-46300.0,100.0,28-Jul-2025,2025-07-27T18:30:00.000+00:00,7465.5,1110618100.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7456.5,8065.0,7304.0,7871.5,7890.0,7506.5,7871.5,888900.0,6885867850.0,456100.0,352800.0,100.0,29-Jul-2025,2025-07-28T18:30:00.000+00:00,7810.5,6885867850.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7585.0,8050.0,7585.0,7875.0,7950.0,7535.0,7875.0,3000.0,23363450.0,3600.0,1300.0,100.0,29-Jul-2025,2025-07-28T18:30:00.000+00:00,7810.5,23363450.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7468.5,8023.5,7263.0,7819.5,7859.5,7469.0,7819.5,654900.0,5021027500.0,172400.0,-82100.0,100.0,29-Jul-2025,2025-07-28T18:30:00.000+00:00,7810.5,5021027500.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7814.0,8109.5,7738.0,8027.0,8013.0,7819.5,8027.0,302000.0,2407480900.0,75500.0,-96900.0,100.0,30-Jul-2025,2025-07-29T18:30:00.000+00:00,8040.5,2407480900.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7840.0,8148.0,7784.0,8067.5,8066.0,7871.5,8067.5,452900.0,3628178800.0,484700.0,28600.0,100.0,30-Jul-2025,2025-07-29T18:30:00.000+00:00,8040.5,3628178800.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7950.0,8150.5,7835.0,8086.5,8086.5,7875.0,8086.5,3700.0,29756850.0,4000.0,400.0,100.0,30-Jul-2025,2025-07-29T18:30:00.000+00:00,8040.5,29756850.0
FUTSTK,AMBER,28-Oct-2025,0,FF,,,,,,,,,,,,,,31-Jul-2025,2025-07-30T18:30:00.000+00:00,7963.5,
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7935.0,8038.5,7730.0,7995.0,7960.0,8067.5,7995.0,351400.0,2800837050.0,481800.0,-2900.0,100.0,31-Jul-2025,2025-07-30T18:30:00.000+00:00,7963.5,2800837050.0
FUTSTK,AMBER,31-Jul-2025,0,XX,N,7826.5,7997.0,7805.0,7962.0,7924.0,8027.0,7963.5,150800.0,1195983750.0,26000.0,-49500.0,100.0,31-Jul-2025,2025-07-30T18:30:00.000+00:00,7963.5,1195983750.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7998.0,8048.0,7879.0,8022.0,8020.0,8086.5,8022.0,3600.0,28785550.0,4900.0,900.0,100.0,31-Jul-2025,2025-07-30T18:30:00.000+00:00,7963.5,28785550.0
FUTSTK,AMBER,30-Sep-2025,0,XX,N,7999.5,8234.0,7920.5,7929.0,7934.0,8022.0,7929.0,6300.0,50761600.0,5900.0,1000.0,100.0,01-Aug-2025,2025-07-31T18:30:00.000+00:00,7871.0,50761600.0
FUTSTK,AMBER,28-Oct-2025,0,XX,N,8115.0,8115.0,7944.0,7944.0,7944.0,8083.0,7988.0,200.0,1605900.0,200.0,200.0,100.0,01-Aug-2025,2025-07-31T18:30:00.000+00:00,7871.0,1605900.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7956.5,8199.0,7876.5,7895.0,7913.0,7995.0,7895.0,358300.0,2880549300.0,505200.0,23400.0,100.0,01-Aug-2025,2025-07-31T18:30:00.000+00:00,7871.0,2880549300.0
FUTSTK,AMBER,28-Aug-2025,0,XX,N,7982.5,8093.0,7843.0,7999.5,8005.0,7895.0,7999.5,214100.0,1708321550.0,508800.0,3600.0,100.0,04-Aug-2025,2025-08-03T18:30:00.000+00:00,7960.0,1708321550.0
