FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ASIANPAINT,29-Mar-2023,0,XX,N,2786.45,2801.15,2780.0,2787.3,2788.0,2783.8,2787.3,48000.0,133930340.0,244400.0,1800.0,200.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2876.6,133930340.0
FUTSTK,ASIANPAINT,23-Feb-2023,0,XX,N,2773.95,2784.25,2761.25,2768.1,2769.0,2766.4,2768.1,687200.0,1905494930.0,7682000.0,-114200.0,200.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2876.6,1905494930.0
FUTSTK,ASIANPAINT,27-Apr-2023,0,XX,N,2809.55,2817.0,2799.0,2800.95,2799.0,2800.0,2800.95,18200.0,51157710.0,21600.0,2200.0,200.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2876.6,51157710.0
FUTSTK,ASIANPAINT,27-Apr-2023,0,XX,N,2800.0,2814.9,2795.0,2812.75,2814.9,2800.95,2812.75,3400.0,9527350.0,23600.0,2000.0,200.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2876.6,9527350.0
FUTSTK,ASIANPAINT,29-Mar-2023,0,XX,N,2782.4,2806.0,2775.4,2794.15,2796.05,2787.3,2794.15,53800.0,150197970.0,256800.0,12400.0,200.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2876.6,150197970.0
FUTSTK,ASIANPAINT,23-Feb-2023,0,XX,N,2768.55,2789.65,2757.05,2775.95,2776.8,2768.1,2775.95,731800.0,2030044800.0,7658200.0,-23800.0,200.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2876.6,2030044800.0
FUTSTK,ASIANPAINT,29-Mar-2023,0,XX,N,2801.85,2843.95,2795.8,2837.15,2843.7,2794.15,2837.15,111000.0,313517030.0,262200.0,5400.0,200.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2876.6,313517030.0
FUTSTK,ASIANPAINT,23-Feb-2023,0,XX,N,2789.95,2824.95,2775.2,2819.55,2823.95,2775.95,2819.55,1428000.0,4006735900.0,7559200.0,-99000.0,200.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2876.6,4006735900.0
FUTSTK,ASIANPAINT,27-Apr-2023,0,XX,N,2822.55,2862.3,2819.5,2857.25,2860.0,2812.75,2857.25,12200.0,34676340.0,26400.0,2800.0,200.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2876.6,34676340.0
FUTSTK,ASIANPAINT,29-Mar-2023,0,XX,N,2841.25,2849.5,2815.9,2827.45,2825.65,2837.15,2827.45,93800.0,265710240.0,277000.0,14800.0,200.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2876.6,265710240.0
FUTSTK,ASIANPAINT,27-Apr-2023,0,XX,N,2864.0,2864.0,2835.0,2845.6,2846.85,2857.25,2845.6,7800.0,22241440.0,28000.0,1600.0,200.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2876.6,22241440.0
FUTSTK,ASIANPAINT,23-Feb-2023,0,XX,N,2823.95,2832.05,2797.05,2808.7,2808.0,2819.55,2808.7,1257000.0,3536703140.0,7440000.0,-119200.0,200.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2876.6,3536703140.0
FUTSTK,ASIANPAINT,27-Apr-2023,0,XX,N,2845.05,2845.05,2821.0,2830.6,2830.6,2845.6,2830.6,5200.0,14710340.0,30000.0,2000.0,200.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2876.6,14710340.0
FUTSTK,ASIANPAINT,23-Feb-2023,0,XX,N,2815.25,2830.9,2782.6,2792.35,2790.0,2808.7,2792.35,890800.0,2494010470.0,7427800.0,-12200.0,200.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2876.6,2494010470.0
FUTSTK,ASIANPAINT,29-Mar-2023,0,XX,N,2841.2,2849.0,2801.1,2810.9,2811.1,2827.45,2810.9,108800.0,306452270.0,300800.0,23800.0,200.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2876.6,306452270.0
