FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ASTRAL,27-Apr-2023,0,XX,N,2098.0,2098.0,2095.5,2095.5,2095.5,2036.2,2106.25,1100.0,2307112.5,1650.0,1100.0,275.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1452.6,2307112.5
FUTSTK,ASTRAL,29-Mar-2023,0,XX,N,2123.65,2138.1,2073.45,2085.9,2073.45,2105.4,2085.9,22000.0,46092103.75,24475.0,6325.0,275.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1452.6,46092103.75
FUTSTK,ASTRAL,23-Feb-2023,0,XX,N,2112.95,2134.95,2065.0,2080.2,2071.0,2099.0,2080.2,1189650.0,2485179977.5,1866425.0,-25575.0,275.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1452.6,2485179977.5
FUTSTK,ASTRAL,23-Feb-2023,0,XX,N,2054.1,2078.8,1982.45,2036.8,2043.95,2080.2,2036.8,2160675.0,4395879716.25,1711050.0,-155375.0,275.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1452.6,4395879716.25
FUTSTK,ASTRAL,29-Mar-2023,0,XX,N,2028.05,2082.0,1991.0,2048.6,2049.05,2085.9,2048.6,52250.0,106520603.75,29425.0,4950.0,275.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1452.6,106520603.75
FUTSTK,ASTRAL,27-Apr-2023,0,XX,N,2025.0,2047.0,2025.0,2047.0,2047.0,2095.5,2065.3,1100.0,2244275.0,2475.0,825.0,275.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1452.6,2244275.0
FUTSTK,ASTRAL,27-Apr-2023,0,XX,N,0.0,0.0,0.0,2047.0,2047.0,2047.0,2061.3,0.0,0.0,2475.0,0.0,275.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1452.6,0.0
FUTSTK,ASTRAL,29-Mar-2023,0,XX,N,2037.1,2061.15,2023.0,2046.8,2043.0,2048.6,2046.8,56100.0,114500265.0,30800.0,1375.0,275.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1452.6,114500265.0
FUTSTK,ASTRAL,23-Feb-2023,0,XX,N,2036.8,2053.0,2012.15,2039.85,2039.6,2036.8,2039.85,472175.0,962217341.25,1680250.0,-30800.0,275.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1452.6,962217341.25
FUTSTK,ASTRAL,29-Mar-2023,0,XX,N,2045.3,2051.1,1932.25,1949.9,1945.65,2046.8,1949.9,97075.0,190961553.75,63800.0,33000.0,275.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1452.6,190961553.75
