FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,N,418.1,423.5,413.95,422.45,423.5,417.85,422.45,73000.0,30584300.0,613000.0,12000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1205.9,30584300.0
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,N,416.8,421.95,411.35,419.85,421.95,415.7,419.85,2747000.0,1144767450.0,16083000.0,303000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1205.9,1144767450.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,416.5,424.85,416.5,424.05,424.85,420.85,424.05,12000.0,5050500.0,29000.0,-1000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1205.9,5050500.0
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,N,421.05,451.0,416.2,445.7,446.5,419.85,445.7,9549000.0,4172839500.0,16811000.0,728000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1205.9,4172839500.0
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,N,423.5,452.8,418.5,447.9,448.5,422.45,447.9,672000.0,295407600.0,675000.0,62000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1205.9,295407600.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,427.55,451.45,427.5,450.15,450.0,424.05,450.15,55000.0,24237200.0,58000.0,29000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1205.9,24237200.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,453.15,454.75,441.0,446.0,446.0,450.15,446.0,18000.0,8036300.0,55000.0,-3000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1205.9,8036300.0
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,N,446.65,452.3,435.05,441.35,442.4,445.7,441.35,5607000.0,2477584500.0,17013000.0,202000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1205.9,2477584500.0
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,N,453.35,454.0,438.0,443.75,443.0,447.9,443.75,459000.0,203358350.0,767000.0,92000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1205.9,203358350.0
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,N,451.05,472.7,449.55,470.0,469.75,443.75,470.0,975000.0,451135400.0,911000.0,144000.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1205.9,451135400.0
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,N,450.7,470.25,445.6,467.6,467.15,441.35,467.6,17880000.0,8221817650.0,16048000.0,-965000.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1205.9,8221817650.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,446.0,474.0,446.0,472.1,472.4,446.0,472.1,65000.0,30358100.0,76000.0,21000.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1205.9,30358100.0
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,N,471.35,477.1,467.0,473.35,473.0,470.0,473.35,430000.0,203703000.0,978000.0,67000.0,1000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1205.9,203703000.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,471.75,478.5,470.0,475.5,475.65,472.1,475.5,30000.0,14253100.0,81000.0,5000.0,1000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1205.9,14253100.0
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,N,468.85,474.8,464.05,470.95,470.55,467.6,470.95,5377000.0,2532934150.0,15786000.0,-262000.0,1000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1205.9,2532934150.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,470.5,477.9,469.5,475.8,475.8,475.5,479.55,15000.0,7107050.0,84000.0,3000.0,1000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1205.9,7107050.0
FUTSTK,AUROPHARMA,29-Mar-2023,0,XX,N,471.6,476.2,465.65,473.75,473.9,473.35,473.75,418000.0,196897950.0,1035000.0,57000.0,1000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1205.9,196897950.0
FUTSTK,AUROPHARMA,23-Feb-2023,0,XX,N,470.75,473.9,463.1,471.2,471.2,470.95,471.2,5007000.0,2346957000.0,15356000.0,-430000.0,1000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1205.9,2346957000.0
FUTSTK,AUROPHARMA,27-Apr-2023,0,XX,N,472.0,476.6,472.0,476.0,476.0,475.8,476.0,9000.0,4276500.0,86000.0,2000.0,1000.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1205.9,4276500.0
