FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,862.25,872.85,857.05,871.85,871.6,862.15,871.85,10173600.0,8805558840.0,45396000.0,-591600.0,1200.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,8805558840.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,868.3,878.0,862.8,877.15,877.05,867.25,877.15,1264800.0,1098455160.0,2202000.0,597600.0,1200.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,1098455160.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,870.25,883.0,869.2,882.0,882.0,871.95,882.0,40800.0,35691300.0,99600.0,2400.0,1200.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,35691300.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,880.0,883.0,877.2,881.7,882.0,882.0,881.7,43200.0,38030820.0,106800.0,7200.0,1200.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,38030820.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,871.2,874.7,864.5,870.8,872.35,871.85,870.8,9976800.0,8676668940.0,45379200.0,-16800.0,1200.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,8676668940.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,876.95,879.8,869.9,875.5,877.2,877.15,875.5,1599600.0,1398200400.0,2886000.0,684000.0,1200.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,1398200400.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,884.7,885.0,876.0,876.9,876.9,881.7,876.9,42000.0,36928800.0,118800.0,12000.0,1200.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,36928800.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,873.95,876.0,864.45,866.8,866.15,870.8,866.8,9684000.0,8425918920.0,43729200.0,-1650000.0,1200.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,8425918920.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,880.0,881.0,870.0,871.8,871.4,875.5,871.8,4052400.0,3548635620.0,5746800.0,2860800.0,1200.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,3548635620.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,867.7,874.6,856.4,861.5,862.95,871.8,861.5,4417200.0,3814644000.0,8001600.0,2254800.0,1200.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,3814644000.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,864.05,869.7,850.8,856.4,857.65,866.8,856.4,14132400.0,12147650280.0,42522000.0,-1207200.0,1200.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,12147650280.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,876.2,880.2,862.75,868.0,868.0,876.9,868.0,97200.0,84468780.0,144000.0,25200.0,1200.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,84468780.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,862.95,867.0,849.5,853.2,851.2,861.5,853.2,12882000.0,11053518720.0,17460000.0,9458400.0,1200.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,11053518720.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,857.4,861.2,844.0,847.95,846.2,856.4,847.95,16872000.0,14382801360.0,32877600.0,-9644400.0,1200.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,14382801360.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,868.0,870.5,857.0,859.05,858.0,868.0,859.05,120000.0,103537440.0,175200.0,31200.0,1200.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,103537440.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,855.05,857.9,850.0,855.2,854.6,859.05,855.2,127200.0,108603660.0,199200.0,24000.0,1200.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,108603660.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,852.75,852.95,844.1,849.6,849.65,853.2,849.6,14556000.0,12355649400.0,27310800.0,9850800.0,1200.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,12355649400.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,847.65,847.65,838.8,844.4,843.65,847.95,844.4,15512400.0,13080659820.0,23546400.0,-9331200.0,1200.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,13080659820.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,840.1,842.45,830.15,833.6,833.0,844.4,833.6,19741200.0,16492217820.0,12900000.0,-10646400.0,1200.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,16492217820.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,848.3,848.3,835.55,838.6,838.9,849.6,838.6,19490400.0,16383144300.0,38637600.0,11326800.0,1200.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,16383144300.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,850.65,853.75,842.2,843.95,843.6,855.2,843.95,205200.0,173734800.0,247200.0,48000.0,1200.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,173734800.0
FUTSTK,AXISBANK,23-Feb-2023,0,XX,N,832.0,846.5,830.05,842.05,844.3,833.6,844.35,17185200.0,14419358280.0,3397200.0,-9502800.0,1200.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,,14419358280.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,837.9,851.7,835.6,848.9,851.15,838.6,848.9,23490000.0,19844114460.0,47982000.0,9344400.0,1200.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,,19844114460.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,844.25,857.5,842.0,854.4,857.5,843.95,854.4,267600.0,227745720.0,322800.0,75600.0,1200.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,,227745720.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,854.6,858.4,849.6,854.6,853.75,848.9,854.6,10586400.0,9041971860.0,47151600.0,-830400.0,1200.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,9041971860.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,860.0,867.75,860.0,866.2,866.2,859.7,866.2,16800.0,14526780.0,12000.0,12000.0,1200.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,14526780.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,860.0,863.5,855.55,859.95,858.8,854.4,859.95,285600.0,245561880.0,348000.0,25200.0,1200.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,245561880.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,853.9,862.3,850.75,859.8,860.3,854.6,859.8,11930400.0,10232208780.0,48360000.0,1208400.0,1200.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,,10232208780.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,860.0,868.0,856.7,865.45,865.85,859.95,865.45,206400.0,178106760.0,379200.0,31200.0,1200.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,,178106760.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,865.65,871.9,864.0,870.8,870.8,866.2,870.8,27600.0,23974260.0,10800.0,-1200.0,1200.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,,23974260.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,871.0,871.0,860.0,860.0,860.0,870.8,858.65,12000.0,10388580.0,13200.0,2400.0,1200.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,10388580.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,865.05,866.45,852.85,855.35,855.0,865.45,855.35,262800.0,225827640.0,391200.0,12000.0,1200.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,225827640.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,859.55,862.65,846.8,849.75,850.35,859.8,849.75,12466800.0,10645344780.0,49147200.0,787200.0,1200.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,10645344780.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,868.15,882.0,868.15,879.65,879.1,860.0,879.65,43200.0,37872000.0,30000.0,16800.0,1200.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,,37872000.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,858.0,877.0,858.0,874.2,874.0,855.35,874.2,435600.0,379434840.0,488400.0,97200.0,1200.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,,379434840.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,851.8,872.05,849.8,868.7,868.5,849.75,868.7,15361200.0,13290073740.0,47002800.0,-2144400.0,1200.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,,13290073740.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,877.0,879.0,860.5,861.2,860.75,879.65,861.2,85200.0,73856940.0,70800.0,40800.0,1200.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,73856940.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,869.15,873.35,854.25,855.85,854.25,874.2,855.85,412800.0,355164060.0,526800.0,38400.0,1200.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,355164060.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,864.95,869.65,848.4,850.55,848.95,868.7,850.55,21152400.0,18101373300.0,49074000.0,2071200.0,1200.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,18101373300.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,852.25,861.5,849.15,857.35,858.25,850.55,857.35,14655600.0,12553464780.0,48934800.0,-139200.0,1200.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,,12553464780.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,856.7,866.9,854.8,863.0,864.3,855.85,863.0,516000.0,445279380.0,595200.0,68400.0,1200.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,,445279380.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,862.0,872.0,861.0,868.6,869.95,861.2,868.6,64800.0,56242380.0,62400.0,-8400.0,1200.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,,56242380.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,873.9,877.15,870.75,873.7,873.1,868.6,873.7,46800.0,40925160.0,67200.0,4800.0,1200.0,06-Mar-2023,2023-03-05T18:30:00.000+00:00,,40925160.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,866.45,871.5,865.0,868.35,867.8,863.0,868.35,355200.0,308410200.0,655200.0,60000.0,1200.0,06-Mar-2023,2023-03-05T18:30:00.000+00:00,,308410200.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,861.05,866.4,859.25,862.7,862.2,857.35,862.7,10822800.0,9338234040.0,47562000.0,-1372800.0,1200.0,06-Mar-2023,2023-03-05T18:30:00.000+00:00,,9338234040.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,859.2,864.5,855.4,863.3,864.0,862.7,863.3,8160000.0,7020731580.0,47158800.0,-403200.0,1200.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,,7020731580.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,868.05,874.5,868.0,873.35,874.5,873.7,873.35,19200.0,16721400.0,73200.0,6000.0,1200.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,,16721400.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,863.2,870.2,862.0,868.75,870.0,868.35,868.75,225600.0,195300720.0,675600.0,20400.0,1200.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,,195300720.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,865.15,876.25,865.1,869.55,869.0,863.3,869.55,13189200.0,11498222520.0,45834000.0,-1324800.0,1200.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,,11498222520.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,872.2,881.6,871.45,875.15,874.25,868.75,875.15,382800.0,335895420.0,702000.0,26400.0,1200.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,,335895420.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,877.65,886.65,877.65,880.65,880.0,873.35,880.65,61200.0,53997000.0,57600.0,-15600.0,1200.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,,53997000.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,863.0,864.0,847.35,853.6,853.5,869.55,853.6,16378800.0,13986416100.0,47644800.0,1810800.0,1200.0,10-Mar-2023,2023-03-09T18:30:00.000+00:00,,13986416100.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,867.75,867.75,852.55,859.2,858.5,875.15,859.2,554400.0,476265480.0,828000.0,126000.0,1200.0,10-Mar-2023,2023-03-09T18:30:00.000+00:00,,476265480.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,872.0,872.0,858.6,864.9,865.15,880.65,864.9,61200.0,52870440.0,76800.0,19200.0,1200.0,10-Mar-2023,2023-03-09T18:30:00.000+00:00,,52870440.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,850.8,860.7,831.55,835.05,836.0,853.6,835.05,16767600.0,14186236320.0,48498000.0,853200.0,1200.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,,14186236320.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,860.0,871.1,842.75,847.2,846.85,864.9,847.2,67200.0,57388980.0,103200.0,26400.0,1200.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,,57388980.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,858.8,865.8,837.0,840.75,840.55,859.2,840.75,864000.0,733721700.0,1034400.0,206400.0,1200.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,,733721700.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,834.8,839.4,821.75,837.05,838.4,835.05,837.05,16779600.0,13950960720.0,49048800.0,550800.0,1200.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,,13950960720.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,838.55,844.45,826.8,842.05,842.75,840.75,842.05,1047600.0,875108640.0,1340400.0,306000.0,1200.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,,875108640.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,844.3,848.95,833.4,847.75,848.0,847.2,847.75,54000.0,45397140.0,114000.0,10800.0,1200.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,,45397140.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,842.1,845.55,823.4,825.75,824.3,837.05,825.75,12283200.0,10225382880.0,49216800.0,168000.0,1200.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,,10225382880.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,850.0,851.0,829.0,830.65,830.0,842.05,830.65,643200.0,538436220.0,1458000.0,117600.0,1200.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,,538436220.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,855.7,855.7,835.0,836.6,835.7,847.75,836.6,36000.0,30329940.0,129600.0,15600.0,1200.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,,30329940.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,822.25,840.8,817.25,835.15,836.65,825.75,835.15,19321200.0,16022726460.0,51121200.0,1904400.0,1200.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,,16022726460.0
FUTSTK,AXISBANK,27-Apr-2023,0,XX,N,828.2,845.95,822.5,840.1,842.5,830.65,840.1,1150800.0,960802020.0,1610400.0,152400.0,1200.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,,960802020.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,835.0,849.5,828.4,845.6,846.8,836.6,845.6,74400.0,62377800.0,114000.0,-15600.0,1200.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,,62377800.0
FUTSTK,AXISBANK,25-May-2023,0,XX,N,851.0,852.35,838.7,850.7,852.35,845.6,850.7,42000.0,35547780.0,111600.0,-2400.0,1200.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,,35547780.0
FUTSTK,AXISBANK,29-Mar-2023,0,XX,N,839.5,844.4,827.0,840.25,841.1,835.15,840.25,13018800.0,10880013240.0,49867200.0,-1254000.0,1200.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,,10880013240.0
