FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,7905.0,8129.95,7889.75,8089.05,8129.0,7928.75,8089.05,822750.0,6597149100.0,1733125.0,21750.0,125.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,8892.0,6597149100.0
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,7916.75,8144.9,7916.75,8102.05,8143.3,7944.85,8102.05,93250.0,750254018.75,82000.0,26625.0,125.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,8892.0,750254018.75
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,7970.0,8140.0,7953.95,8107.9,8140.0,7971.05,8107.9,12875.0,103678337.5,8250.0,3875.0,125.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,8892.0,103678337.5
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8124.35,8157.45,8064.45,8143.9,8137.7,8102.05,8143.9,52375.0,425068581.25,102000.0,20000.0,125.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,8892.0,425068581.25
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8120.0,8165.0,8086.75,8158.3,8162.4,8107.9,8158.3,4875.0,39648262.5,8500.0,250.0,125.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,8892.0,39648262.5
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8099.25,8146.15,8050.0,8123.7,8115.0,8089.05,8123.7,477750.0,3870711475.0,1761250.0,28125.0,125.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,8892.0,3870711475.0
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8177.0,8408.5,8161.0,8305.55,8303.45,8143.9,8305.55,168000.0,1398220900.0,161875.0,59875.0,125.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,8892.0,1398220900.0
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8155.0,8406.95,8135.5,8301.45,8303.0,8123.7,8301.45,1260875.0,10481957800.0,1840875.0,79625.0,125.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,8892.0,10481957800.0
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8217.75,8415.0,8195.45,8310.8,8304.1,8158.3,8310.8,10125.0,84267187.5,10000.0,1500.0,125.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,8892.0,84267187.5
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8356.75,8549.45,8300.25,8370.35,8377.3,8301.45,8370.35,1526000.0,12870996793.75,1990250.0,149375.0,125.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,8892.0,12870996793.75
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8467.95,8538.05,8370.0,8386.2,8393.0,8310.8,8386.2,9750.0,82244625.0,11875.0,1875.0,125.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,8892.0,82244625.0
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8392.2,8540.7,8327.1,8368.85,8370.0,8305.55,8368.85,254500.0,2144703875.0,231750.0,69875.0,125.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,8892.0,2144703875.0
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8386.2,8386.2,8160.0,8235.3,8243.05,8386.2,8235.3,9125.0,75103768.75,13250.0,1375.0,125.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,8892.0,75103768.75
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8370.35,8395.25,8133.8,8217.65,8233.25,8370.35,8217.65,804875.0,6612227687.5,2036000.0,45750.0,125.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,8892.0,6612227687.5
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8378.85,8378.85,8141.45,8218.35,8225.25,8368.85,8218.35,146000.0,1199670468.75,251000.0,19250.0,125.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,8892.0,1199670468.75
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8155.0,8253.2,8150.0,8197.15,8200.9,8235.3,8197.15,6375.0,52254218.75,13875.0,625.0,125.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,8892.0,52254218.75
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8258.95,8259.0,8110.1,8170.0,8178.35,8218.35,8170.0,126125.0,1033220450.0,277500.0,26500.0,125.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,8892.0,1033220450.0
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8226.45,8257.7,8101.45,8167.4,8171.15,8217.65,8167.4,626250.0,5128726793.75,1982875.0,-53125.0,125.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,8892.0,5128726793.75
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8244.65,8380.55,8170.0,8367.95,8380.55,8197.15,8367.95,15375.0,126959237.5,19125.0,5250.0,125.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,8892.0,126959237.5
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8175.55,8408.5,8154.05,8383.6,8395.0,8167.4,8383.6,874375.0,7243960087.5,1993375.0,10500.0,125.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,8892.0,7243960087.5
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8190.2,8389.15,8155.0,8370.35,8371.05,8170.0,8370.35,324500.0,2684634012.5,361375.0,83875.0,125.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,8892.0,2684634012.5
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8455.05,8455.05,8274.1,8293.8,8281.0,8370.35,8293.8,420500.0,3495808056.25,540125.0,178750.0,125.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,8892.0,3495808056.25
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8400.55,8411.05,8280.0,8288.95,8280.0,8367.95,8288.95,6125.0,50942062.5,20000.0,875.0,125.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,8892.0,50942062.5
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8415.85,8438.8,8316.65,8335.15,8320.0,8383.6,8335.15,662375.0,5538821406.25,1736125.0,-257250.0,125.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,8892.0,5538821406.25
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8315.25,8454.6,8286.15,8357.85,8375.75,8335.15,8357.85,996500.0,8363207625.0,1244500.0,-491625.0,125.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,8892.0,8363207625.0
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8276.3,8384.9,8255.1,8294.15,8304.2,8293.8,8294.15,764625.0,6361466118.75,971875.0,431750.0,125.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,8892.0,6361466118.75
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8301.2,8362.3,8275.0,8299.8,8302.15,8288.95,8299.8,8375.0,69666200.0,21125.0,1125.0,125.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,8892.0,69666200.0
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8383.15,8403.8,8284.0,8383.5,8364.3,8357.85,8383.5,1093000.0,9126322456.25,638750.0,-605750.0,125.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,8892.0,9126322456.25
FUTSTK,BAJAJ-AUTO,28-Mar-2024,0,XX,N,8278.35,8322.7,8198.2,8300.6,8275.1,8294.15,8300.6,1087375.0,8981731131.25,1497000.0,525125.0,125.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,8892.0,8981731131.25
FUTSTK,BAJAJ-AUTO,25-Apr-2024,0,XX,N,8302.15,8324.0,8205.0,8322.05,8320.0,8299.8,8322.05,39375.0,325706262.5,48000.0,26875.0,125.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,8892.0,325706262.5
FUTSTK,BAJAJ-AUTO,29-Feb-2024,0,XX,N,8325.1,8400.0,7971.15,7991.0,8010.6,8383.5,7991.0,959000.0,7817443987.5,353000.0,-285750.0,125.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,8892.0,7817443987.5
