FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1397.75,1406.9,1375.2,1399.15,1397.4,1392.75,1399.15,1704000.0,2377580975.0,10254000.0,-191500.0,500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,2377580975.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1403.6,1415.0,1386.0,1408.55,1407.05,1401.35,1408.55,251000.0,352654275.0,745000.0,60500.0,500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,352654275.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1406.0,1424.15,1395.0,1417.05,1417.0,1410.65,1417.05,16500.0,23290625.0,54000.0,3000.0,500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,23290625.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1415.5,1441.25,1409.45,1439.75,1441.25,1417.05,1439.75,22500.0,32097575.0,46500.0,-7500.0,500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,32097575.0
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1397.95,1424.1,1389.5,1421.15,1421.5,1399.15,1421.15,2186500.0,3084780575.0,9985000.0,-269000.0,500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,3084780575.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1401.7,1432.95,1399.0,1430.45,1431.15,1408.55,1430.45,373500.0,529959200.0,862000.0,117000.0,500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,529959200.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1443.0,1451.25,1436.25,1444.95,1442.0,1439.75,1444.95,44500.0,64288850.0,71000.0,24500.0,500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,64288850.0
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1428.35,1435.0,1413.65,1427.1,1424.55,1421.15,1427.1,2546500.0,3630602450.0,9215500.0,-769500.0,500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,3630602450.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1436.8,1443.6,1422.2,1435.35,1434.0,1430.45,1435.35,632500.0,907279425.0,1067500.0,205500.0,500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,907279425.0
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1423.65,1426.0,1408.85,1414.1,1413.95,1427.1,1414.1,1759500.0,2495012050.0,8662500.0,-553000.0,500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,2495012050.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1425.45,1435.25,1417.85,1423.5,1423.55,1435.35,1423.5,914000.0,1304666725.0,1376000.0,308500.0,500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,1304666725.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1435.05,1444.15,1430.0,1433.65,1433.0,1444.95,1433.65,125000.0,179609275.0,185500.0,114500.0,500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,179609275.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1434.8,1441.6,1420.0,1424.1,1423.4,1433.65,1424.1,106500.0,152148175.0,268000.0,82500.0,500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,152148175.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1425.0,1433.4,1408.45,1413.4,1413.1,1423.5,1413.4,2031500.0,2887067725.0,2537000.0,1161000.0,500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,2887067725.0
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1415.8,1423.95,1398.65,1403.75,1403.1,1414.1,1403.75,2753500.0,3885649175.0,7238500.0,-1424000.0,500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,3885649175.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1425.85,1425.95,1410.0,1413.7,1416.1,1424.1,1413.7,243000.0,344268625.0,491500.0,223500.0,500.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,344268625.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1413.9,1416.8,1397.55,1402.75,1404.45,1413.4,1402.75,3185500.0,4481044125.0,4776000.0,2239000.0,500.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,4481044125.0
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1404.5,1408.0,1388.5,1393.3,1395.0,1403.75,1393.3,3665000.0,5121522050.0,4696000.0,-2542500.0,500.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,5121522050.0
FUTSTK,BAJAJFINSV,29-Mar-2023,0,XX,N,1397.8,1398.85,1363.55,1368.6,1364.8,1402.75,1368.6,3588000.0,4933732625.0,7148000.0,2372000.0,500.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,4933732625.0
FUTSTK,BAJAJFINSV,27-Apr-2023,0,XX,N,1408.3,1408.3,1372.65,1377.7,1374.8,1413.7,1377.7,233000.0,323388450.0,662000.0,170500.0,500.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,323388450.0
FUTSTK,BAJAJFINSV,23-Feb-2023,0,XX,N,1388.05,1390.0,1353.7,1359.05,1357.4,1393.3,1359.05,3423500.0,4676975175.0,2493500.0,-2202500.0,500.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,4676975175.0
