FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BAJFINANCE,29-Mar-2023,0,XX,N,6407.4,6515.9,6365.1,6504.4,6500.5,6401.5,6504.4,119375.0,770631268.75,268375.0,7750.0,125.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1004.1,770631268.75
FUTSTK,BAJFINANCE,27-Apr-2023,0,XX,N,6442.2,6549.0,6410.0,6544.0,6540.0,6440.6,6544.0,5250.0,34077043.75,20375.0,1000.0,125.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1004.1,34077043.75
FUTSTK,BAJFINANCE,23-Feb-2023,0,XX,N,6359.95,6474.85,6319.3,6460.1,6456.6,6358.5,6460.1,1237000.0,7944085337.5,4599250.0,-118375.0,125.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1004.1,7944085337.5
FUTSTK,BAJFINANCE,23-Feb-2023,0,XX,N,6450.0,6494.7,6406.05,6490.05,6483.25,6460.1,6490.05,756000.0,4886888593.75,4508875.0,-90375.0,125.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1004.1,4886888593.75
FUTSTK,BAJFINANCE,27-Apr-2023,0,XX,N,6518.55,6579.9,6513.0,6575.65,6576.7,6544.0,6575.65,3875.0,25408518.75,21000.0,625.0,125.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1004.1,25408518.75
FUTSTK,BAJFINANCE,29-Mar-2023,0,XX,N,6485.0,6537.65,6450.0,6532.25,6530.0,6504.4,6532.25,124875.0,812621887.5,297250.0,28875.0,125.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1004.1,812621887.5
FUTSTK,BAJFINANCE,29-Mar-2023,0,XX,N,6554.9,6563.95,6469.45,6489.2,6483.85,6532.25,6489.2,297375.0,1934617312.5,407375.0,110125.0,125.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1004.1,1934617312.5
FUTSTK,BAJFINANCE,27-Apr-2023,0,XX,N,6600.0,6600.0,6522.0,6528.95,6529.0,6575.65,6528.95,6000.0,39337062.5,23625.0,2625.0,125.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1004.1,39337062.5
FUTSTK,BAJFINANCE,23-Feb-2023,0,XX,N,6511.95,6521.35,6425.15,6449.0,6446.3,6490.05,6449.0,786250.0,5083285618.75,4389000.0,-119875.0,125.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1004.1,5083285618.75
FUTSTK,BAJFINANCE,29-Mar-2023,0,XX,N,6470.1,6527.0,6411.0,6450.55,6459.05,6489.2,6450.55,585625.0,3790461306.25,718250.0,310875.0,125.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1004.1,3790461306.25
FUTSTK,BAJFINANCE,27-Apr-2023,0,XX,N,6519.9,6561.25,6457.35,6499.4,6505.95,6528.95,6499.4,5875.0,38243012.5,25375.0,1750.0,125.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1004.1,38243012.5
FUTSTK,BAJFINANCE,23-Feb-2023,0,XX,N,6419.0,6486.3,6369.35,6408.3,6416.0,6449.0,6408.3,1344500.0,8636618318.75,4085625.0,-303375.0,125.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1004.1,8636618318.75
FUTSTK,BAJFINANCE,23-Feb-2023,0,XX,N,6390.9,6444.0,6338.0,6365.3,6364.65,6408.3,6365.3,1957500.0,12521199793.75,2692500.0,-1393125.0,125.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1004.1,12521199793.75
FUTSTK,BAJFINANCE,27-Apr-2023,0,XX,N,6504.8,6522.0,6425.95,6449.1,6446.0,6499.4,6449.1,9500.0,61502656.25,30375.0,5000.0,125.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1004.1,61502656.25
