FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,156.03,159.74,156.0,159.09,158.9,156.61,159.09,824400.0,130874148.0,3852000.0,284400.0,3600.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,157.34,130874148.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,157.77,160.5,157.77,160.0,160.0,157.62,160.0,176400.0,28091376.0,522000.0,10800.0,3600.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,157.34,28091376.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,156.0,158.86,155.04,158.17,157.95,155.65,158.17,11250000.0,1774288404.0,103654800.0,709200.0,3600.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,157.34,1774288404.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,153.64,157.0,153.03,156.61,156.65,150.38,156.61,1018800.0,158424876.0,3567600.0,-46800.0,3600.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,155.0,158424876.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,157.5,157.89,152.0,155.65,155.52,149.24,155.65,15415200.0,2383997184.0,102945600.0,1350000.0,3600.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,155.0,2383997184.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,156.0,157.9,154.05,157.62,157.49,151.72,157.62,334800.0,52529652.0,511200.0,43200.0,3600.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,155.0,52529652.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,149.51,150.87,147.2,150.38,150.7,149.49,150.38,633600.0,94604688.0,3614400.0,151200.0,3600.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,148.56,94604688.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,150.99,150.99,146.02,149.24,149.86,148.79,149.24,8596800.0,1272820536.0,101595600.0,-597600.0,3600.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,148.56,1272820536.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,151.0,151.83,148.63,151.72,151.83,150.76,151.72,154800.0,23176116.0,468000.0,90000.0,3600.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,148.56,23176116.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,154.89,154.89,147.73,148.79,148.35,155.11,148.79,16351200.0,2464409484.0,102193200.0,-478800.0,3600.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,148.56,2464409484.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,155.1,155.42,148.89,149.49,149.32,156.0,149.49,1072800.0,162472212.0,3463200.0,230400.0,3600.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,148.56,162472212.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,157.09,157.09,150.66,150.76,150.82,156.9,150.76,212400.0,32378904.0,378000.0,100800.0,3600.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,148.56,32378904.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,151.6,156.41,151.2,155.11,154.77,152.86,155.11,10022400.0,1552346028.0,102672000.0,547200.0,3600.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,154.65,1552346028.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,153.17,157.0,152.36,156.0,156.23,153.92,156.0,738000.0,114969312.0,3232800.0,7200.0,3600.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,154.65,114969312.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,154.8,157.9,154.8,156.9,156.81,154.87,156.9,129600.0,20338164.0,277200.0,57600.0,3600.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,154.65,20338164.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,157.17,157.17,153.0,154.87,154.98,156.22,154.87,108000.0,16726968.0,219600.0,97200.0,3600.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,151.99,16726968.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,154.65,156.17,152.2,153.92,153.94,155.36,153.92,536400.0,82598472.0,3225600.0,86400.0,3600.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,151.99,82598472.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,153.97,155.2,151.0,152.86,152.84,154.37,152.86,8211600.0,1257053760.0,102124800.0,748800.0,3600.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,151.99,1257053760.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,151.66,156.17,151.66,155.36,155.22,150.9,155.36,1173600.0,181242864.0,3139200.0,39600.0,3600.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,153.35,181242864.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,151.05,155.38,150.5,154.37,154.29,149.81,154.37,19249200.0,2959866468.0,101376000.0,-759600.0,3600.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,153.35,2959866468.0
FUTSTK,BANDHANBNK,28-Apr-2026,0,XX,N,153.67,157.26,153.67,156.22,156.19,151.34,156.22,158400.0,24665724.0,122400.0,122400.0,3600.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,153.35,24665724.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,152.4,152.4,148.7,149.81,150.2,150.66,149.81,60868800.0,9120107988.0,102135600.0,33037200.0,3600.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,149.02,9120107988.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,151.2,152.2,149.75,150.9,151.1,151.35,150.9,2473200.0,372977568.0,3099600.0,1648800.0,3600.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,149.02,372977568.0
FUTSTK,BANDHANBNK,27-Jan-2026,0,XX,N,150.98,150.98,147.88,148.6,148.99,149.78,149.0,53892000.0,8028389448.0,7063200.0,-31867200.0,3600.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,149.02,8028389448.0
FUTSTK,BANDHANBNK,27-Jan-2026,0,XX,N,145.01,151.99,144.93,149.78,148.69,142.34,149.78,34236000.0,5112727020.0,38930400.0,-24901200.0,3600.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,149.33,5112727020.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,148.0,152.89,146.92,151.35,151.2,143.95,151.35,424800.0,63882324.0,1450800.0,-86400.0,3600.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,149.33,63882324.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,145.0,152.7,145.0,150.66,149.11,142.82,150.66,13485600.0,2026888956.0,69098400.0,1641600.0,3600.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,149.33,2026888956.0
FUTSTK,BANDHANBNK,30-Mar-2026,0,XX,N,139.62,144.5,138.89,143.95,144.5,139.82,143.95,57600.0,8157276.0,1537200.0,-32400.0,3600.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,142.46,8157276.0
FUTSTK,BANDHANBNK,27-Jan-2026,0,XX,N,140.98,143.5,137.73,142.34,142.3,138.23,142.34,14040000.0,1961100756.0,63831600.0,-11325600.0,3600.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,142.46,1961100756.0
FUTSTK,BANDHANBNK,24-Feb-2026,0,XX,N,139.9,143.83,138.5,142.82,140.11,138.97,142.82,8118000.0,1137808656.0,67456800.0,4471200.0,3600.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,142.46,1137808656.0
