FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTIDX,BANKNIFTY,27-Apr-2023,0,XX,N,40900.0,40900.0,40513.0,40706.7,40710.0,40764.3,40706.7,267800.0,10897962522.5,1172925.0,156775.0,25.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,10897962522.5
FUTIDX,BANKNIFTY,25-May-2023,0,XX,N,40881.1,40947.8,40630.2,40814.65,40826.3,40881.1,40814.65,183600.0,7492648111.25,1000875.0,160350.0,25.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,7492648111.25
FUTIDX,BANKNIFTY,29-Mar-2023,0,XX,N,40599.95,40651.0,40280.0,40487.55,40490.0,40547.7,40487.55,2694750.0,109083525470.0,2540400.0,-25350.0,25.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,109083525470.0
FUTIDX,BANKNIFTY,27-Apr-2023,0,XX,N,40817.85,41150.0,40735.5,41124.7,41150.0,40706.7,41124.7,168200.0,6893427768.75,1234150.0,61225.0,25.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,40698.15,6893427768.75
FUTIDX,BANKNIFTY,25-May-2023,0,XX,N,40899.2,41250.0,40899.15,41231.3,41250.0,40814.65,41231.3,67950.0,2790743706.25,1050500.0,49625.0,25.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,40698.15,2790743706.25
FUTIDX,BANKNIFTY,29-Mar-2023,0,XX,N,40600.05,40942.95,40522.4,40910.45,40942.95,40487.55,40910.45,3177400.0,129615906331.25,2475050.0,-65350.0,25.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,40698.15,129615906331.25
FUTIDX,BANKNIFTY,29-Mar-2023,0,XX,N,40820.05,40970.0,40550.0,40627.8,40565.05,40910.45,40627.8,3111425.0,126813338895.0,2355575.0,-119475.0,25.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,126813338895.0
FUTIDX,BANKNIFTY,25-May-2023,0,XX,N,41200.0,41275.35,40882.7,40935.6,40887.1,41231.3,40935.6,79650.0,3272047675.0,1058100.0,7600.0,25.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,3272047675.0
FUTIDX,BANKNIFTY,27-Apr-2023,0,XX,N,41099.85,41174.95,40765.05,40822.75,40784.8,41124.7,40822.75,160275.0,6566993885.0,1237825.0,3675.0,25.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,6566993885.0
FUTIDX,BANKNIFTY,25-May-2023,0,XX,N,41136.2,41870.65,41120.0,41748.3,41745.0,40935.6,41748.3,184050.0,7674717425.0,1132725.0,74625.0,25.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,41251.35,7674717425.0
