FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BEL,23-Feb-2023,0,XX,N,95.05,95.45,93.45,95.0,94.95,95.1,95.0,9125700.0,862666785.0,94146900.0,-644100.0,5700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,862666785.0
FUTSTK,BEL,29-Mar-2023,0,XX,N,95.25,95.65,93.65,95.25,95.1,95.35,95.25,1453500.0,137734515.0,5882400.0,216600.0,5700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,137734515.0
FUTSTK,BEL,27-Apr-2023,0,XX,N,95.1,95.75,94.5,95.75,95.75,95.9,95.95,68400.0,6504555.0,376200.0,5700.0,5700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,6504555.0
FUTSTK,BEL,27-Apr-2023,0,XX,N,94.85,95.4,94.7,95.4,95.4,95.75,95.4,62700.0,5951655.0,399000.0,22800.0,5700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,5951655.0
FUTSTK,BEL,23-Feb-2023,0,XX,N,94.8,94.95,93.8,94.8,94.75,95.0,94.8,11075100.0,1043849550.0,92283000.0,-1863900.0,5700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,1043849550.0
FUTSTK,BEL,29-Mar-2023,0,XX,N,95.0,95.15,94.1,95.0,94.95,95.25,95.0,3043800.0,287463540.0,6891300.0,1008900.0,5700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,287463540.0
FUTSTK,BEL,27-Apr-2023,0,XX,N,96.4,99.4,95.9,98.9,98.6,95.4,98.9,279300.0,27342045.0,467400.0,68400.0,5700.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,27342045.0
FUTSTK,BEL,23-Feb-2023,0,XX,N,95.75,98.6,94.5,98.1,97.75,94.8,98.1,39341400.0,3817559325.0,88218900.0,-4064100.0,5700.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,3817559325.0
FUTSTK,BEL,29-Mar-2023,0,XX,N,96.0,99.0,94.75,98.45,98.15,95.0,98.45,13121400.0,1273940595.0,10892700.0,4001400.0,5700.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,1273940595.0
FUTSTK,BEL,29-Mar-2023,0,XX,N,97.65,99.15,96.75,96.95,96.85,98.45,96.95,13161300.0,1286784405.0,16188000.0,5295300.0,5700.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,1286784405.0
