FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BLUESTARCO,26-Jun-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,1551.1,
FUTSTK,BLUESTARCO,28-Aug-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,1551.1,
FUTSTK,BLUESTARCO,31-Jul-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,1551.1,
FUTSTK,BLUESTARCO,26-Jun-2025,0,XX,N,1558.7,1574.2,1521.9,1540.3,1524.0,1558.7,1540.3,151775.0,236187575.0,83525.0,83525.0,325.0,30-May-2025,2025-05-29T18:30:00.000+00:00,1532.3,236187575.0
FUTSTK,BLUESTARCO,31-Jul-2025,0,XX,N,1567.4,1567.5,1521.0,1528.7,1521.0,1568.9,1528.7,6500.0,10101487.5,4550.0,4550.0,325.0,30-May-2025,2025-05-29T18:30:00.000+00:00,1532.3,10101487.5
FUTSTK,BLUESTARCO,28-Aug-2025,0,XX,N,1560.0,1560.0,1540.0,1540.0,1540.0,1576.9,1540.0,650.0,1007500.0,650.0,650.0,325.0,30-May-2025,2025-05-29T18:30:00.000+00:00,1532.3,1007500.0
FUTSTK,BLUESTARCO,31-Jul-2025,0,XX,N,1533.6,1580.0,1533.6,1557.2,1561.1,1528.7,1557.2,10075.0,15759315.0,8775.0,4225.0,325.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,1545.8,15759315.0
FUTSTK,BLUESTARCO,28-Aug-2025,0,XX,N,1556.5,1578.8,1554.6,1560.8,1560.2,1540.0,1560.8,6175.0,9646585.0,5850.0,5200.0,325.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,1545.8,9646585.0
FUTSTK,BLUESTARCO,26-Jun-2025,0,XX,N,1534.9,1580.7,1534.9,1555.8,1559.0,1540.3,1555.8,248300.0,387918277.5,164450.0,80925.0,325.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,1545.8,387918277.5
FUTSTK,BLUESTARCO,26-Jun-2025,0,XX,N,1566.0,1566.0,1536.3,1543.3,1541.0,1555.8,1543.3,202800.0,313457267.5,229125.0,64675.0,325.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,1543.2,313457267.5
