FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BSE,26-Dec-2024,0,XX,N,4651.0,4740.0,4614.05,4700.3,4724.0,4598.95,4700.3,831125.0,3896359881.25,433375.0,433375.0,125.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,4670.75,3896359881.25
FUTSTK,BSE,27-Feb-2025,0,XX,N,4781.25,4824.75,4681.95,4732.2,4732.2,4658.0,4755.5,1375.0,6552012.5,875.0,875.0,125.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,4670.75,6552012.5
FUTSTK,BSE,30-Jan-2025,0,XX,N,4660.0,4769.45,4660.0,4737.75,4745.75,4631.95,4737.75,9000.0,42450387.5,5000.0,5000.0,125.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,4670.75,42450387.5
FUTSTK,BSE,26-Dec-2024,0,XX,N,4687.6,4716.2,4565.5,4594.9,4575.0,4700.3,4594.9,533250.0,2467262131.25,644875.0,211500.0,125.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,4563.85,2467262131.25
FUTSTK,BSE,27-Feb-2025,0,XX,N,4722.15,4722.15,4640.5,4651.55,4644.65,4732.2,4651.55,875.0,4084818.75,1750.0,875.0,125.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,4563.85,4084818.75
FUTSTK,BSE,30-Jan-2025,0,XX,N,4689.4,4728.3,4600.0,4620.1,4608.1,4737.75,4620.1,11750.0,54621943.75,11625.0,6625.0,125.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,4563.85,54621943.75
FUTSTK,BSE,26-Dec-2024,0,XX,N,4597.75,4639.35,4505.5,4538.65,4549.0,4594.9,4538.65,466500.0,2127379856.25,749000.0,104125.0,125.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,4513.8,2127379856.25
FUTSTK,BSE,30-Jan-2025,0,XX,N,4655.0,4655.0,4537.9,4565.55,4567.8,4620.1,4565.55,9500.0,43572506.25,14625.0,3000.0,125.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,4513.8,43572506.25
FUTSTK,BSE,27-Feb-2025,0,XX,N,4644.6,4659.4,4581.5,4583.75,4583.75,4651.55,4583.75,1125.0,5204737.5,2375.0,625.0,125.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,4513.8,5204737.5
FUTSTK,BSE,30-Jan-2025,0,XX,N,4580.3,4640.0,4535.45,4626.4,4634.35,4565.55,4626.4,8625.0,39494562.5,15625.0,1000.0,125.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,4572.05,39494562.5
FUTSTK,BSE,27-Feb-2025,0,XX,N,4605.5,4605.5,4559.1,4573.35,4573.35,4583.75,4644.5,1375.0,6303156.25,3500.0,1125.0,125.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,4572.05,6303156.25
FUTSTK,BSE,26-Dec-2024,0,XX,N,4502.7,4619.8,4502.7,4597.4,4612.0,4538.65,4597.4,519750.0,2370880887.5,819750.0,70750.0,125.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,4572.05,2370880887.5
FUTSTK,BSE,26-Dec-2024,0,XX,N,4618.0,5268.5,4614.7,5224.05,5252.95,4597.4,5224.05,5073500.0,25410542468.75,2108000.0,1288250.0,125.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,5194.9,25410542468.75
FUTSTK,BSE,30-Jan-2025,0,XX,N,4649.1,5290.6,4643.35,5252.4,5287.35,4626.4,5252.4,150875.0,767214500.0,28875.0,13250.0,125.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,5194.9,767214500.0
FUTSTK,BSE,27-Feb-2025,0,XX,N,4700.0,5300.0,4700.0,5255.4,5300.0,4573.35,5255.4,10875.0,55490468.75,7750.0,4250.0,125.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,5194.9,55490468.75
FUTSTK,BSE,27-Feb-2025,0,XX,N,5392.85,5507.3,5325.0,5471.1,5467.6,5255.4,5471.1,7875.0,42826487.5,11250.0,3500.0,125.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,5396.45,42826487.5
FUTSTK,BSE,26-Dec-2024,0,XX,N,5289.9,5459.65,5266.05,5413.0,5402.55,5224.05,5413.0,2249750.0,12090220575.0,2139375.0,31375.0,125.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,5396.45,12090220575.0
FUTSTK,BSE,30-Jan-2025,0,XX,N,5362.6,5489.7,5300.0,5443.45,5428.55,5252.4,5443.45,84500.0,456262468.75,40375.0,11500.0,125.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,5396.45,456262468.75
FUTSTK,BSE,30-Jan-2025,0,XX,N,5389.05,5640.0,5389.05,5514.4,5518.5,5443.45,5514.4,58000.0,319979893.75,33750.0,-6625.0,125.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,5467.1,319979893.75
FUTSTK,BSE,27-Feb-2025,0,XX,N,5451.1,5662.0,5451.1,5543.65,5543.65,5471.1,5543.65,7625.0,42288812.5,11500.0,250.0,125.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,5467.1,42288812.5
FUTSTK,BSE,26-Dec-2024,0,XX,N,5382.2,5620.0,5335.7,5480.75,5486.0,5413.0,5480.75,1949875.0,10704238468.75,2018375.0,-121000.0,125.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,5467.1,10704238468.75
FUTSTK,BSE,30-Jan-2025,0,XX,N,5547.6,5571.3,5392.55,5517.15,5515.0,5514.4,5517.15,50875.0,278426693.75,41125.0,7375.0,125.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,5466.35,278426693.75
