FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CANBK,24-Apr-2025,0,XX,N,97.51,97.51,96.0,96.46,96.42,97.09,96.46,216000.0,20862900.0,580500.0,155250.0,6750.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,94.86,20862900.0
FUTSTK,CANBK,27-Mar-2025,0,XX,N,96.69,97.22,95.33,95.91,96.02,96.61,95.91,2315250.0,222511860.0,10334250.0,1032750.0,6750.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,94.86,222511860.0
FUTSTK,CANBK,27-Feb-2025,0,XX,N,96.51,96.62,94.63,95.34,95.4,96.03,95.34,35592750.0,3399230880.0,285592500.0,-344250.0,6750.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,94.86,3399230880.0
FUTSTK,CANBK,27-Feb-2025,0,XX,N,94.82,96.39,93.25,94.2,94.1,95.34,94.2,52629750.0,4980536977.5,282210750.0,-3381750.0,6750.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,94.06,4980536977.5
FUTSTK,CANBK,27-Mar-2025,0,XX,N,95.36,96.88,93.87,94.79,94.74,95.91,94.79,3665250.0,349165822.5,11920500.0,1586250.0,6750.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,94.06,349165822.5
FUTSTK,CANBK,24-Apr-2025,0,XX,N,96.23,96.84,94.67,95.34,95.36,96.46,95.34,398250.0,38132302.5,776250.0,195750.0,6750.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,94.06,38132302.5
FUTSTK,CANBK,24-Apr-2025,0,XX,N,95.1,95.13,93.25,94.46,94.45,95.34,94.46,175500.0,16502872.5,843750.0,67500.0,6750.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,93.17,16502872.5
FUTSTK,CANBK,27-Mar-2025,0,XX,N,94.88,94.88,92.6,93.87,93.8,94.79,93.87,3658500.0,341985172.5,13608000.0,1687500.0,6750.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,93.17,341985172.5
FUTSTK,CANBK,27-Feb-2025,0,XX,N,94.3,94.36,92.01,93.32,93.26,94.2,93.32,29153250.0,2708670037.5,279996750.0,-2214000.0,6750.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,93.17,2708670037.5
FUTSTK,CANBK,27-Mar-2025,0,XX,N,94.05,94.05,90.74,91.11,90.95,93.87,91.11,7931250.0,728410117.5,17556750.0,3948750.0,6750.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,90.09,728410117.5
FUTSTK,CANBK,24-Apr-2025,0,XX,N,94.46,94.46,91.57,91.67,91.58,94.46,91.67,270000.0,24972232.5,951750.0,108000.0,6750.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,90.09,24972232.5
FUTSTK,CANBK,27-Feb-2025,0,XX,N,93.69,93.69,90.2,90.52,90.35,93.32,90.52,45704250.0,4168402357.5,280266750.0,270000.0,6750.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,90.09,4168402357.5
