FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1671.35,1684.8,1652.25,1654.85,1654.85,1627.6,1669.2,8400.0,14010255.0,5600.0,5600.0,350.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,1639.45,14010255.0
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1616.8,1674.75,1608.1,1651.15,1655.95,1607.0,1651.15,1437450.0,2373116532.5,717500.0,717500.0,350.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,1639.45,2373116532.5
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1622.0,1683.1,1622.0,1660.05,1662.5,1618.55,1660.05,31150.0,51656010.0,15400.0,15400.0,350.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,1639.45,51656010.0
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1674.95,1722.5,1666.55,1697.9,1699.9,1654.85,1697.9,29050.0,49407277.5,23450.0,17850.0,350.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,1665.05,49407277.5
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1663.0,1713.75,1659.05,1687.85,1689.65,1660.05,1687.85,138600.0,234246600.0,79450.0,64050.0,350.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,1665.05,234246600.0
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1646.5,1702.7,1640.05,1676.4,1678.7,1651.15,1676.4,2757650.0,4633062875.0,1953000.0,1235500.0,350.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,1665.05,4633062875.0
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1693.05,1704.9,1672.15,1684.1,1684.0,1687.85,1684.1,69650.0,117735590.0,103950.0,24500.0,350.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,1663.9,117735590.0
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1678.95,1696.0,1660.05,1673.1,1672.55,1676.4,1673.1,1577800.0,2648098880.0,2431800.0,478800.0,350.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,1663.9,2648098880.0
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1700.0,1714.9,1689.4,1694.3,1695.65,1697.9,1694.3,15400.0,26153365.0,30450.0,7000.0,350.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,1663.9,26153365.0
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1688.85,1751.7,1686.25,1739.65,1750.9,1684.1,1739.65,137900.0,236964665.0,117950.0,14000.0,350.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,1718.6,236964665.0
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1698.0,1758.95,1698.0,1749.05,1756.6,1694.3,1749.05,33250.0,57431290.0,22400.0,-8050.0,350.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,1718.6,57431290.0
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1674.9,1741.0,1673.85,1727.95,1741.0,1673.1,1727.95,2936850.0,5025196855.0,3234700.0,802900.0,350.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,1718.6,5025196855.0
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1765.7,1891.7,1761.95,1885.75,1889.05,1749.05,1885.75,65450.0,121555105.0,26950.0,4550.0,350.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,1855.95,121555105.0
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1756.7,1885.0,1746.6,1874.6,1876.7,1739.65,1874.6,401100.0,734837932.5,149100.0,31150.0,350.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,1855.95,734837932.5
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1746.3,1877.5,1735.0,1863.65,1866.0,1727.95,1863.65,8270850.0,15103897725.0,4690000.0,1455300.0,350.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,1855.95,15103897725.0
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1877.25,1907.6,1844.15,1888.85,1883.15,1863.65,1888.85,3570350.0,6690290565.0,4505200.0,-184800.0,350.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,1883.8,6690290565.0
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1885.95,1919.0,1856.9,1899.25,1896.0,1874.6,1899.25,205100.0,386683640.0,176400.0,27300.0,350.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,1883.8,386683640.0
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1889.05,1926.15,1868.65,1908.7,1908.0,1885.75,1908.7,28000.0,53032192.5,38150.0,11200.0,350.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,1883.8,53032192.5
FUTSTK,CDSL,26-Dec-2024,0,XX,N,1873.5,1935.1,1869.4,1912.15,1910.6,1888.85,1912.15,3344250.0,6398050032.5,4497500.0,-7700.0,350.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,1904.95,6398050032.5
FUTSTK,CDSL,30-Jan-2025,0,XX,N,1884.15,1947.95,1884.15,1925.05,1925.0,1899.25,1925.05,286300.0,551449290.0,205450.0,29050.0,350.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,1904.95,551449290.0
FUTSTK,CDSL,27-Feb-2025,0,XX,N,1935.0,1960.35,1924.0,1935.95,1933.0,1908.7,1935.95,46550.0,90416970.0,52150.0,14000.0,350.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,1904.95,90416970.0
