FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,885.1,891.55,875.9,878.7,880.55,885.45,878.7,1849900.0,1632195792.5,15197000.0,-27300.0,650.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,1511.8,1632195792.5,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,890.65,897.15,881.8,884.6,886.5,890.8,884.6,221000.0,196022742.5,429650.0,20800.0,650.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,1511.8,196022742.5,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,898.15,898.15,898.15,898.15,898.15,897.0,887.75,1300.0,1167595.0,76050.0,0.0,650.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,1511.8,1167595.0,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,889.0,889.0,889.0,889.0,889.0,898.15,884.8,1300.0,1155700.0,76700.0,650.0,650.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,1511.8,1155700.0,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,878.05,886.4,857.0,877.1,877.75,878.7,877.1,3560050.0,3117272145.0,15349750.0,152750.0,650.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,1511.8,3117272145.0,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,884.9,892.0,863.4,882.6,882.9,884.6,882.6,273650.0,241416792.5,477100.0,47450.0,650.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,1511.8,241416792.5,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,884.1,891.15,882.5,885.8,884.8,882.6,885.8,93600.0,83028010.0,468650.0,-8450.0,650.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,1511.8,83028010.0,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,891.15,895.25,886.7,886.7,886.7,889.0,890.6,3900.0,3472365.0,74100.0,-2600.0,650.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,1511.8,3472365.0,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,877.0,885.95,877.0,880.9,880.4,877.1,880.9,1352650.0,1192214725.0,15307500.0,-42250.0,650.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,1511.8,1192214725.0,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,892.25,902.2,892.25,901.7,901.7,886.7,896.05,15600.0,14024920.0,65000.0,-9100.0,650.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,1511.8,14024920.0,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,882.6,893.0,879.85,886.0,886.4,880.9,886.0,2168400.0,1924545740.0,15054000.0,-253500.0,650.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,1511.8,1924545740.0,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,886.7,898.15,885.2,891.7,891.6,885.8,891.7,244400.0,218615475.0,473200.0,4550.0,650.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,1511.8,218615475.0,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,886.25,891.0,874.5,878.35,875.35,886.0,878.35,1782950.0,1573149467.5,15072850.0,18850.0,650.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,1511.8,1573149467.5,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,901.0,901.0,886.5,888.5,886.5,901.7,888.5,3900.0,3477955.0,67600.0,2600.0,650.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,1511.8,3477955.0,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,891.65,896.7,880.3,883.65,882.85,891.7,883.65,241150.0,213851820.0,568750.0,95550.0,650.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,1511.8,213851820.0,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,885.0,885.0,876.25,877.0,877.0,888.5,878.45,7800.0,6859060.0,68900.0,1300.0,650.0,20-Mar-2023,2023-03-19T18:30:00.000+00:00,1511.8,6859060.0,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,878.7,883.4,869.55,874.35,874.1,883.65,874.35,278200.0,243004710.0,695500.0,126750.0,650.0,20-Mar-2023,2023-03-19T18:30:00.000+00:00,1511.8,243004710.0,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,874.35,878.0,864.05,869.1,868.85,878.35,869.1,1872000.0,1628288220.0,15314650.0,241800.0,650.0,20-Mar-2023,2023-03-19T18:30:00.000+00:00,1511.8,1628288220.0,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,875.0,881.9,875.0,875.7,875.0,877.0,875.7,6500.0,5706057.5,70850.0,1950.0,650.0,21-Mar-2023,2023-03-20T18:30:00.000+00:00,1511.8,5706057.5,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,873.55,873.55,863.5,864.8,865.15,869.1,864.8,1394900.0,1211058225.0,15240550.0,-74100.0,650.0,21-Mar-2023,2023-03-20T18:30:00.000+00:00,1511.8,1211058225.0,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,876.0,878.55,868.2,870.35,870.5,874.35,870.35,313300.0,273756957.5,771550.0,76050.0,650.0,21-Mar-2023,2023-03-20T18:30:00.000+00:00,1511.8,273756957.5,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,873.5,873.5,858.9,869.35,871.7,870.35,869.35,825500.0,713392745.0,1040650.0,269100.0,650.0,22-Mar-2023,2023-03-21T18:30:00.000+00:00,1511.8,713392745.0,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,867.05,868.5,853.5,864.65,866.75,864.8,864.65,2766400.0,2376034115.0,15000050.0,-240500.0,650.0,22-Mar-2023,2023-03-21T18:30:00.000+00:00,1511.8,2376034115.0,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,875.0,877.75,865.0,876.2,877.75,875.7,876.2,54600.0,47431182.5,109200.0,38350.0,650.0,22-Mar-2023,2023-03-21T18:30:00.000+00:00,1511.8,47431182.5,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,874.45,876.45,867.95,874.9,875.85,869.35,874.9,955500.0,834672117.5,1342250.0,301600.0,650.0,23-Mar-2023,2023-03-22T18:30:00.000+00:00,1511.8,834672117.5,,
FUTSTK,CIPLA,25-May-2023,0,XX,N,879.95,882.9,876.0,879.25,879.5,876.2,879.25,16250.0,14298797.5,107250.0,-1950.0,650.0,23-Mar-2023,2023-03-22T18:30:00.000+00:00,1511.8,14298797.5,,
FUTSTK,CIPLA,29-Mar-2023,0,XX,N,870.65,871.6,863.3,870.0,870.8,864.65,870.0,2590900.0,2248870715.0,14887600.0,-112450.0,650.0,23-Mar-2023,2023-03-22T18:30:00.000+00:00,1511.8,2248870715.0,,
FUTSTK,CIPLA,27-Apr-2023,0,XX,N,874.55,885.25,872.05,883.6,883.25,874.9,883.6,2676700.0,2356454295.0,3017300.0,1675050.0,650.0,24-Mar-2023,2023-03-23T18:30:00.000+00:00,1511.8,2356454295.0,,
