FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,COALINDIA,FUTSTK,,388.6570129394531,383.953233756219,390.1956393197859,382.28270364950305,7256592,388.6570129394531,1050,YFINANCE
01-Apr-2025,COALINDIA,FUTSTK,,371.5296630859375,371.66980437270007,376.1077923690424,369.1004429011335,4332950,371.5296630859375,1050,YFINANCE
01-Apr-2026,COALINDIA,FUTSTK,,449.3999938964844,464.0,464.8500061035156,446.79998779296875,14960312,449.3999938964844,1050,YFINANCE
01-Aug-2023,COALINDIA,FUTSTK,,196.3117218017578,187.8581022168065,197.08765494875146,187.00048664887134,22409256,196.3117218017578,1050,YFINANCE
01-Aug-2024,COALINDIA,FUTSTK,,475.1278381347656,470.3800553630857,476.7543645245481,464.2255499658117,34763894,475.1278381347656,1050,YFINANCE
01-Aug-2025,COALINDIA,FUTSTK,,348.0316467285156,350.3674295924654,356.113449735187,346.34989447166157,13769152,348.0316467285156,1050,YFINANCE
01-Dec-2023,COALINDIA,FUTSTK,,301.3089599609375,298.83172819964386,305.1769206519002,297.65832636224775,15105221,301.3089599609375,1050,YFINANCE
01-Dec-2025,COALINDIA,FUTSTK,,374.6966552734375,371.98253485050157,375.0420948056935,370.89688065744485,4217206,374.6966552734375,1050,YFINANCE
01-Feb-2024,COALINDIA,FUTSTK,,353.50457763671875,355.32988120267083,358.02441357395753,349.8539174529176,8862155,353.50457763671875,1050,YFINANCE
01-Feb-2025,COALINDIA,FUTSTK,,359.9908752441406,369.8946011608105,373.2114302270839,354.15141757074764,7015540,359.9908752441406,1050,YFINANCE
01-Jan-2024,COALINDIA,FUTSTK,,331.86138916015625,328.3845803621412,336.20740015767507,328.0803808130717,11124690,331.86138916015625,1050,YFINANCE
01-Jan-2025,COALINDIA,FUTSTK,,355.76806640625,353.14399503795335,357.37933484839635,352.17724521198227,3584876,355.76806640625,1050,YFINANCE
01-Jan-2026,COALINDIA,FUTSTK,,395.2253112792969,393.794217488778,397.54462655995354,393.0540027942502,3161157,395.2253112792969,1050,YFINANCE
01-Jul-2024,COALINDIA,FUTSTK,,417.4512939453125,416.17644822496436,418.77011651695716,414.3300912583591,8579861,417.4512939453125,1050,YFINANCE
01-Jul-2025,COALINDIA,FUTSTK,,364.1485290527344,366.7178900659352,368.0259226973338,363.44779423095235,5997283,364.1485290527344,1050,YFINANCE
01-Jun-2023,COALINDIA,FUTSTK,,188.1439666748047,188.18479541978087,189.40995688075074,187.16382753563929,35509867,188.1439666748047,1050,YFINANCE
01-Mar-2023,COALINDIA,FUTSTK,,178.6693572998047,175.93315872853356,178.87355085100447,175.19806692940847,4510175,178.6693572998047,1050,YFINANCE
01-Mar-2024,COALINDIA,FUTSTK,,392.4376525878906,385.0962013734859,394.5917134144728,385.0962013734859,8411615,392.4376525878906,1050,YFINANCE
01-Nov-2023,COALINDIA,FUTSTK,,254.8522186279297,260.2958407760519,262.4566415575392,254.18736075096467,9593653,254.8522186279297,1050,YFINANCE
01-Nov-2024,COALINDIA,FUTSTK,,403.2908630371094,403.73486927784165,408.0861250170197,401.6924514104694,3095957,403.2908630371094,1050,YFINANCE
01-Oct-2024,COALINDIA,FUTSTK,,451.5543518066406,454.662395526057,458.21444549110436,449.4675170321772,4743517,451.5543518066406,1050,YFINANCE
01-Oct-2025,COALINDIA,FUTSTK,,373.3162536621094,374.56543402936177,379.4661165833344,372.73969759843146,4976933,373.3162536621094,1050,YFINANCE
01-Sep-2023,COALINDIA,FUTSTK,,196.8839874267578,191.73126411458654,197.1748721842896,191.68970733760372,14869577,196.8839874267578,1050,YFINANCE
01-Sep-2025,COALINDIA,FUTSTK,,363.1304931640625,360.6321033417599,363.8031467286713,360.43993755534075,2829114,363.1304931640625,1050,YFINANCE
02-Apr-2024,COALINDIA,FUTSTK,,389.6680908203125,388.65697212563356,394.1520657640545,383.3816822327494,11530800,389.6680908203125,1050,YFINANCE
02-Apr-2025,COALINDIA,FUTSTK,,371.3895263671875,375.22021649269,375.22021649269,365.7836467239092,4197123,371.3895263671875,1050,YFINANCE
02-Apr-2026,COALINDIA,FUTSTK,,449.3500061035156,448.3999938964844,453.29998779296875,440.5,6701003,449.3500061035156,1050,YFINANCE
02-Aug-2023,COALINDIA,FUTSTK,,191.57440185546875,196.96510440025213,198.5986528919415,189.7366598023182,25003960,191.57440185546875,1050,YFINANCE
02-Aug-2024,COALINDIA,FUTSTK,,461.1482849121094,469.500827727486,472.31432656632353,459.2140011064694,10985150,461.1482849121094,1050,YFINANCE
02-Dec-2024,COALINDIA,FUTSTK,,388.26971435546875,385.23130522643413,389.8349298780366,383.7581397182624,6404844,388.26971435546875,1050,YFINANCE
02-Dec-2025,COALINDIA,FUTSTK,,374.0058288574219,374.5486409269419,374.9434160792668,371.8345203405148,3695491,374.0058288574219,1050,YFINANCE
02-Feb-2024,COALINDIA,FUTSTK,,364.8910827636719,357.0682627532706,367.5856149613328,356.0686855015753,25177075,364.8910827636719,1050,YFINANCE
02-Feb-2026,COALINDIA,FUTSTK,,417.97454833984375,413.5332603409552,419.94845411712754,407.61154300910385,9618062,417.97454833984375,1050,YFINANCE
02-Jan-2024,COALINDIA,FUTSTK,,341.292236328125,336.72892480749624,344.0736939606009,333.9909432003081,28363847,341.292236328125,1050,YFINANCE
02-Jan-2025,COALINDIA,FUTSTK,,361.79888916015625,357.6095736765702,362.7196141325976,353.604414426791,7538972,361.79888916015625,1050,YFINANCE
02-Jan-2026,COALINDIA,FUTSTK,,422.317138671875,396.1135512999802,423.8962693312171,395.76811176209094,35090129,422.317138671875,1050,YFINANCE
02-Jul-2024,COALINDIA,FUTSTK,,421.23187255859375,420.2647307825411,426.4192352082269,416.1763867803519,14629287,421.23187255859375,1050,YFINANCE
02-Jul-2025,COALINDIA,FUTSTK,,361.48577880859375,364.3821554907308,365.97049936857337,360.1310417485296,7752338,361.48577880859375,1050,YFINANCE
02-Jun-2023,COALINDIA,FUTSTK,,188.5931854248047,186.63293204281024,190.63512122396014,186.3062273001402,36400588,188.5931854248047,1050,YFINANCE
02-Jun-2025,COALINDIA,FUTSTK,,373.44500732421875,372.74427240568167,375.03332269845004,369.5208803752204,6119571,373.44500732421875,1050,YFINANCE
02-Mar-2023,COALINDIA,FUTSTK,,182.01815795898438,178.66937833976436,183.32498936276315,177.52589930358457,11354939,182.01815795898438,1050,YFINANCE
02-Mar-2026,COALINDIA,FUTSTK,,426.25,417.8999938964844,429.6000061035156,416.0,7498197,426.25,1050,YFINANCE
02-May-2023,COALINDIA,FUTSTK,,192.84042358398438,190.47177055796467,193.94306144760827,190.39010060305947,3773537,192.84042358398438,1050,YFINANCE
02-May-2024,COALINDIA,FUTSTK,,399.0757141113281,402.2848437441293,404.0432738806247,395.1192463042135,14980896,399.0757141113281,1050,YFINANCE
02-May-2025,COALINDIA,FUTSTK,,358.30908203125,360.17770827391627,365.2697261903712,356.3470187738557,5045851,358.30908203125,1050,YFINANCE
02-Nov-2023,COALINDIA,FUTSTK,,256.6805114746094,256.76362501611396,259.96328078115863,255.39231498801828,7071960,256.6805114746094,1050,YFINANCE
02-Sep-2024,COALINDIA,FUTSTK,,462.52130126953125,467.98259997004783,469.7586250173725,459.67970455379833,6370038,462.52130126953125,1050,YFINANCE
02-Sep-2025,COALINDIA,FUTSTK,,365.2445373535156,366.2534884177397,369.95302452799115,364.23555696443356,7511709,365.2445373535156,1050,YFINANCE
03-Apr-2023,COALINDIA,FUTSTK,,179.81285095214844,174.87137657813176,180.38460291279932,174.6263418039937,7754066,179.81285095214844,1050,YFINANCE
