FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,COFORGE,29-Feb-2024,0,XX,N,6644.85,6645.0,6526.95,6597.15,6590.0,6587.7,6597.15,351000.0,2308612102.5,1130550.0,-58650.0,150.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,2308612102.5
FUTSTK,COFORGE,25-Apr-2024,0,XX,N,6630.0,6658.0,6620.0,6658.0,6658.0,6645.0,6679.05,600.0,3979950.0,2250.0,0.0,150.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,3979950.0
FUTSTK,COFORGE,28-Mar-2024,0,XX,N,6682.3,6682.3,6574.35,6636.75,6636.0,6629.2,6636.75,18900.0,125094412.5,31350.0,-300.0,150.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,125094412.5
FUTSTK,COFORGE,29-Feb-2024,0,XX,N,6553.95,6682.6,6553.95,6620.55,6626.95,6597.15,6620.55,343350.0,2276387670.0,1098000.0,-32550.0,150.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,2276387670.0
FUTSTK,COFORGE,25-Apr-2024,0,XX,N,6679.05,6742.65,6679.05,6742.65,6742.65,6658.0,6703.2,300.0,2013255.0,2250.0,0.0,150.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,2013255.0
FUTSTK,COFORGE,28-Mar-2024,0,XX,N,6637.0,6722.5,6624.55,6666.95,6666.5,6636.75,6666.95,16500.0,110178007.5,31950.0,600.0,150.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,110178007.5
FUTSTK,COFORGE,29-Feb-2024,0,XX,N,6641.9,6659.0,6491.15,6533.7,6532.6,6620.55,6533.7,379050.0,2481089265.0,1101750.0,3750.0,150.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,2481089265.0
FUTSTK,COFORGE,25-Apr-2024,0,XX,N,6608.95,6623.7,6608.95,6623.7,6623.7,6742.65,6592.75,300.0,1984897.5,2250.0,0.0,150.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,1984897.5
FUTSTK,COFORGE,28-Mar-2024,0,XX,N,6677.65,6700.0,6535.0,6571.6,6574.9,6666.95,6571.6,14550.0,96063900.0,29850.0,-2100.0,150.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,96063900.0
FUTSTK,COFORGE,25-Apr-2024,0,XX,N,6630.0,6800.0,6630.0,6727.55,6700.05,6623.7,6727.55,1500.0,10108485.0,2100.0,-150.0,150.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,10108485.0
