FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1477.75,1489.9,1477.75,1489.9,1489.9,1473.35,1489.9,1750.0,2593360.0,2800.0,1050.0,350.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2180.6,2593360.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1468.55,1481.95,1464.0,1480.0,1478.8,1469.75,1480.0,12250.0,18042902.5,46200.0,0.0,350.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2180.6,18042902.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1455.4,1474.0,1453.7,1472.0,1473.25,1460.5,1472.0,326900.0,479501767.5,2286550.0,3500.0,350.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2180.6,479501767.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1472.55,1472.55,1455.25,1462.4,1462.0,1472.0,1462.4,286650.0,418736220.0,2279200.0,-7350.0,350.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2180.6,418736220.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1489.9,1489.9,1489.9,1480.35,0.0,0.0,2800.0,0.0,350.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2180.6,0.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1478.8,1478.8,1464.5,1471.25,1471.5,1480.0,1471.25,27300.0,40108407.5,55650.0,9450.0,350.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2180.6,40108407.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1461.5,1473.9,1461.5,1470.25,1470.35,1462.4,1470.25,231700.0,340217360.0,2254000.0,-25200.0,350.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2180.6,340217360.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1479.8,1483.9,1473.4,1480.35,1480.9,1471.25,1480.35,10850.0,16047167.5,55650.0,0.0,350.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2180.6,16047167.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1483.6,1488.0,1483.6,1487.3,1487.3,1489.9,1489.6,1400.0,2081065.0,3850.0,1050.0,350.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2180.6,2081065.0
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1472.35,1474.95,1463.0,1468.8,1469.0,1470.25,1468.8,158550.0,232563012.5,2264500.0,10500.0,350.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2180.6,232563012.5
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1480.35,1480.35,1474.0,1478.2,1479.6,1480.35,1478.2,6300.0,9298187.5,56350.0,700.0,350.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2180.6,9298187.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1480.0,1480.0,1480.0,1480.0,1480.0,1487.3,1489.1,700.0,1036000.0,4550.0,700.0,350.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2180.6,1036000.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1472.4,1472.55,1472.4,1472.55,1472.55,1480.0,1474.9,1400.0,2061412.5,4550.0,0.0,350.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2180.6,2061412.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1470.9,1472.3,1455.0,1457.5,1455.05,1468.8,1457.5,146650.0,213957590.0,2274300.0,9800.0,350.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2180.6,213957590.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1477.1,1477.1,1465.0,1466.6,1466.35,1478.2,1466.6,10500.0,15420492.5,59850.0,3500.0,350.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2180.6,15420492.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1474.9,1474.9,1462.0,1462.0,1462.0,1472.55,1462.0,2100.0,3077865.0,5600.0,1050.0,350.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2180.6,3077865.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1469.25,1469.25,1454.0,1455.9,1454.65,1466.6,1455.9,53200.0,77552335.0,94150.0,34300.0,350.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2180.6,77552335.0
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1454.7,1462.15,1444.45,1446.55,1447.85,1457.5,1446.55,275800.0,400093295.0,2269750.0,-4550.0,350.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2180.6,400093295.0
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1446.85,1461.1,1440.05,1459.05,1458.0,1446.55,1459.05,297850.0,432676982.5,2198000.0,-71750.0,350.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2180.6,432676982.5
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1451.65,1469.0,1450.2,1467.95,1468.25,1455.9,1467.95,35350.0,51663255.0,92050.0,-2100.0,350.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2180.6,51663255.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1465.0,1468.3,1465.0,1468.3,1468.3,1462.0,1479.05,1750.0,2564905.0,6650.0,1050.0,350.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2180.6,2564905.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1475.6,1475.6,1467.0,1469.6,1467.0,1468.3,1469.6,2100.0,3091445.0,8400.0,1750.0,350.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2180.6,3091445.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1469.0,1471.6,1459.0,1461.85,1460.1,1467.95,1461.85,74200.0,108729267.5,133700.0,41650.0,350.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2180.6,108729267.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1459.35,1462.0,1449.0,1452.2,1451.95,1459.05,1452.2,274050.0,399091122.5,2207800.0,9800.0,350.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2180.6,399091122.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1465.0,1467.0,1459.0,1465.8,1464.55,1469.6,1465.8,1750.0,2560652.5,8750.0,350.0,350.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2180.6,2560652.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1450.95,1460.0,1441.05,1454.7,1454.0,1452.2,1454.7,399000.0,578628557.5,2128000.0,-79800.0,350.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2180.6,578628557.5
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1459.0,1469.5,1450.05,1464.0,1462.65,1461.85,1464.0,149800.0,218483930.0,182700.0,49000.0,350.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2180.6,218483930.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1469.0,1478.6,1467.5,1468.6,1472.05,1465.8,1468.6,7000.0,10291015.0,10850.0,2100.0,350.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2180.6,10291015.0
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1455.35,1461.3,1448.35,1454.15,1453.8,1454.7,1454.15,955500.0,1390307520.0,1489950.0,-638050.0,350.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2180.6,1390307520.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1463.3,1470.0,1456.9,1460.4,1461.5,1464.0,1460.4,875350.0,1280927795.0,757750.0,575050.0,350.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2180.6,1280927795.0
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1458.0,1463.8,1445.95,1457.3,1455.5,1454.15,1457.3,891100.0,1298817135.0,1061200.0,-428750.0,350.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2180.6,1298817135.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1462.25,1470.0,1451.55,1461.75,1459.2,1460.4,1461.75,835100.0,1221674370.0,1255800.0,498050.0,350.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2180.6,1221674370.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1467.5,1478.25,1461.3,1470.7,1470.0,1468.6,1470.7,5950.0,8748862.5,14000.0,3150.0,350.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2180.6,8748862.5
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1459.25,1464.35,1450.95,1463.05,1462.85,1461.75,1463.05,682850.0,995257287.5,1572200.0,316400.0,350.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2180.6,995257287.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1463.7,1470.7,1460.0,1469.55,1470.5,1470.7,1469.55,6650.0,9748742.5,15050.0,1050.0,350.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2180.6,9748742.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1453.15,1457.5,1441.65,1455.85,1455.45,1457.3,1455.85,626500.0,907925322.5,648550.0,-412650.0,350.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2180.6,907925322.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1465.0,1473.2,1463.0,1467.0,1467.0,1469.55,1467.0,11200.0,16453622.5,23450.0,8400.0,350.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2180.6,16453622.5
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1463.6,1465.25,1453.1,1459.6,1458.8,1463.05,1459.6,820750.0,1197920727.5,1914500.0,342300.0,350.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2180.6,1197920727.5
FUTSTK,COLPAL,23-Feb-2023,0,XX,N,1455.45,1457.15,1438.05,1450.6,1446.65,1455.85,1454.05,618800.0,897761287.5,230650.0,-417900.0,350.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2180.6,897761287.5
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1471.0,1483.2,1471.0,1480.45,1478.85,1467.0,1480.45,2800.0,4135705.0,25550.0,2100.0,350.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,2180.6,4135705.0
FUTSTK,COLPAL,25-May-2023,0,XX,N,0.0,0.0,0.0,1480.45,0.0,1480.45,1490.95,0.0,0.0,0.0,0.0,350.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,2180.6,0.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1461.2,1472.95,1461.2,1469.95,1469.7,1459.6,1469.95,439600.0,644710115.0,1893500.0,-21000.0,350.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,2180.6,644710115.0
FUTSTK,COLPAL,27-Apr-2023,0,XX,N,1461.0,1470.35,1460.0,1470.55,1470.2,1480.45,1470.55,4900.0,7174440.0,26250.0,700.0,350.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,2180.6,7174440.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1465.05,1470.8,1450.1,1464.05,1464.45,1469.95,1464.05,364350.0,531832840.0,1888250.0,-5250.0,350.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,2180.6,531832840.0
FUTSTK,COLPAL,25-May-2023,0,XX,N,0.0,0.0,0.0,1480.45,0.0,1480.45,1485.1,0.0,0.0,0.0,0.0,350.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,2180.6,0.0
FUTSTK,COLPAL,29-Mar-2023,0,XX,N,1460.4,1486.9,1460.4,1480.75,1484.0,1464.05,1480.75,695100.0,1025843910.0,1826650.0,-61600.0,350.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,2180.6,1025843910.0
