FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CROMPTON,27-Apr-2023,0,XX,N,0.0,0.0,0.0,320.1,322.25,320.1,324.6,0.0,0.0,18000.0,0.0,1500.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,267.35,0.0
FUTSTK,CROMPTON,29-Mar-2023,0,XX,N,320.9,321.5,318.2,320.35,320.0,318.2,320.35,42000.0,13441800.0,139500.0,1500.0,1500.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,267.35,13441800.0
FUTSTK,CROMPTON,23-Feb-2023,0,XX,N,314.5,321.1,314.5,319.3,318.0,317.65,319.3,1197000.0,381455400.0,3358500.0,-129000.0,1500.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,267.35,381455400.0
FUTSTK,CROMPTON,23-Feb-2023,0,XX,N,315.05,319.25,314.55,317.1,317.5,319.3,317.1,1359000.0,430209300.0,3651000.0,292500.0,1500.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,267.35,430209300.0
FUTSTK,CROMPTON,27-Apr-2023,0,XX,N,320.05,320.2,317.05,317.05,317.05,320.1,320.4,6000.0,1915950.0,18000.0,0.0,1500.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,267.35,1915950.0
FUTSTK,CROMPTON,29-Mar-2023,0,XX,N,318.05,318.55,315.8,318.05,317.6,320.35,318.05,79500.0,25218300.0,150000.0,10500.0,1500.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,267.35,25218300.0
FUTSTK,CROMPTON,29-Mar-2023,0,XX,N,319.4,320.0,316.0,316.45,316.3,318.05,316.45,51000.0,16205475.0,142500.0,-7500.0,1500.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,267.35,16205475.0
FUTSTK,CROMPTON,27-Apr-2023,0,XX,N,0.0,0.0,0.0,317.05,317.05,317.05,319.1,0.0,0.0,18000.0,0.0,1500.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,267.35,0.0
FUTSTK,CROMPTON,23-Feb-2023,0,XX,N,316.65,320.5,314.7,315.3,315.0,317.1,315.3,828000.0,262193025.0,3660000.0,9000.0,1500.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,267.35,262193025.0
FUTSTK,CROMPTON,27-Apr-2023,0,XX,N,320.2,321.4,320.2,321.4,321.4,317.05,321.4,3000.0,962400.0,19500.0,1500.0,1500.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,267.35,962400.0
FUTSTK,CROMPTON,23-Feb-2023,0,XX,N,315.6,328.65,312.95,319.35,319.6,315.3,319.35,1966500.0,631640475.0,3672000.0,12000.0,1500.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,267.35,631640475.0
FUTSTK,CROMPTON,29-Mar-2023,0,XX,N,314.9,329.45,314.5,320.65,320.8,316.45,320.65,154500.0,49922400.0,153000.0,10500.0,1500.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,267.35,49922400.0
