FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DABUR,23-Feb-2023,0,XX,N,537.0,539.75,531.15,531.8,531.15,535.15,531.8,2131250.0,1140484687.5,11032500.0,391250.0,1250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,515.65,1140484687.5
FUTSTK,DABUR,29-Mar-2023,0,XX,N,541.0,542.5,534.6,535.0,534.6,538.6,535.0,187500.0,100825437.5,300000.0,63750.0,1250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,515.65,100825437.5
FUTSTK,DABUR,27-Apr-2023,0,XX,N,545.25,545.25,538.7,538.7,538.7,541.35,538.7,6250.0,3379062.5,22500.0,3750.0,1250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,515.65,3379062.5
FUTSTK,DABUR,23-Feb-2023,0,XX,N,530.05,538.0,525.55,536.8,537.5,531.8,536.8,2812500.0,1496826937.5,11302500.0,270000.0,1250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,515.65,1496826937.5
FUTSTK,DABUR,27-Apr-2023,0,XX,N,540.0,540.0,540.0,540.0,540.0,538.7,542.35,5000.0,2700000.0,22500.0,0.0,1250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,515.65,2700000.0
FUTSTK,DABUR,29-Mar-2023,0,XX,N,531.6,540.75,529.05,539.85,540.4,535.0,539.85,321250.0,172205500.0,390000.0,90000.0,1250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,515.65,172205500.0
FUTSTK,DABUR,29-Mar-2023,0,XX,N,538.55,542.5,538.3,539.9,539.1,539.85,539.9,242500.0,131135312.5,463750.0,73750.0,1250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,515.65,131135312.5
FUTSTK,DABUR,27-Apr-2023,0,XX,N,543.05,545.0,543.05,545.0,545.0,540.0,543.0,2500.0,1360062.5,22500.0,0.0,1250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,515.65,1360062.5
FUTSTK,DABUR,23-Feb-2023,0,XX,N,535.05,539.45,534.7,536.4,534.7,536.8,536.4,1175000.0,631435687.5,11263750.0,-38750.0,1250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,515.65,631435687.5
FUTSTK,DABUR,23-Feb-2023,0,XX,N,533.4,537.45,531.4,534.35,534.15,536.4,534.35,1695000.0,905020062.5,10957500.0,-306250.0,1250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,515.65,905020062.5
FUTSTK,DABUR,29-Mar-2023,0,XX,N,536.55,540.15,535.0,537.85,538.0,539.9,537.85,551250.0,296143312.5,807500.0,343750.0,1250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,515.65,296143312.5
FUTSTK,DABUR,27-Apr-2023,0,XX,N,538.0,540.0,538.0,540.0,540.0,545.0,541.95,5000.0,2697500.0,25000.0,2500.0,1250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,515.65,2697500.0
FUTSTK,DABUR,23-Feb-2023,0,XX,N,533.5,536.65,530.0,534.55,534.05,534.35,534.55,3221250.0,1721313750.0,9306250.0,-1651250.0,1250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,515.65,1721313750.0
FUTSTK,DABUR,27-Apr-2023,0,XX,N,543.0,543.0,543.0,543.0,543.0,540.0,542.05,2500.0,1357500.0,26250.0,1250.0,1250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,515.65,1357500.0
FUTSTK,DABUR,29-Mar-2023,0,XX,N,533.7,540.0,533.5,537.9,537.25,537.85,537.9,2272500.0,1222416437.5,2467500.0,1660000.0,1250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,515.65,1222416437.5
FUTSTK,DABUR,29-Mar-2023,0,XX,N,536.75,541.0,536.5,538.9,538.6,537.9,538.9,4495000.0,2422408000.0,5893750.0,3426250.0,1250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,515.65,2422408000.0
