FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DALBHARAT,28-Mar-2024,0,XX,N,2225.0,2230.5,2189.15,2205.2,2207.85,2217.8,2205.2,14000.0,30926575.0,33750.0,2750.0,250.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,30926575.0
FUTSTK,DALBHARAT,29-Feb-2024,0,XX,N,2214.1,2216.45,2168.4,2182.95,2190.0,2201.6,2182.95,388250.0,850253162.5,3274500.0,18250.0,250.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,850253162.5
FUTSTK,DALBHARAT,25-Apr-2024,0,XX,N,2222.0,2222.0,2215.0,2215.0,2215.0,2308.0,2202.35,750.0,1664750.0,1250.0,750.0,250.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,1664750.0
FUTSTK,DALBHARAT,28-Mar-2024,0,XX,N,2207.65,2207.8,2118.2,2125.6,2132.9,2205.2,2125.6,41500.0,89226512.5,47250.0,13500.0,250.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,89226512.5
FUTSTK,DALBHARAT,29-Feb-2024,0,XX,N,2194.5,2194.5,2100.0,2111.65,2121.45,2182.95,2111.65,544500.0,1160162037.5,3309500.0,35000.0,250.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,1160162037.5
FUTSTK,DALBHARAT,25-Apr-2024,0,XX,N,2200.0,2200.0,2130.0,2134.0,2134.0,2215.0,2134.0,750.0,1616000.0,1750.0,500.0,250.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,1616000.0
FUTSTK,DALBHARAT,25-Apr-2024,0,XX,N,0.0,0.0,0.0,2134.0,2134.0,2134.0,2157.3,0.0,0.0,1750.0,0.0,250.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,0.0
FUTSTK,DALBHARAT,29-Feb-2024,0,XX,N,2112.0,2150.45,2074.0,2131.1,2134.0,2111.65,2131.1,599500.0,1267115837.5,3289250.0,-20250.0,250.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,1267115837.5
FUTSTK,DALBHARAT,28-Mar-2024,0,XX,N,2134.3,2168.0,2087.95,2146.25,2149.4,2125.6,2146.25,43750.0,93415775.0,51500.0,4250.0,250.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,93415775.0
FUTSTK,DALBHARAT,25-Apr-2024,0,XX,N,0.0,0.0,0.0,2134.0,2134.0,2134.0,2080.0,0.0,0.0,1750.0,0.0,250.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,0.0
FUTSTK,DALBHARAT,28-Mar-2024,0,XX,N,2140.35,2154.85,2067.0,2069.8,2073.0,2146.25,2069.8,24500.0,51583700.0,58500.0,7000.0,250.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,51583700.0
FUTSTK,DALBHARAT,29-Feb-2024,0,XX,N,2130.5,2141.25,2048.5,2055.25,2060.75,2131.1,2055.25,501750.0,1046170850.0,3254750.0,-34500.0,250.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,1046170850.0
FUTSTK,DALBHARAT,25-Apr-2024,0,XX,N,2080.0,2095.0,2080.0,2095.0,2095.0,2134.0,2090.55,1000.0,2090750.0,1250.0,-500.0,250.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,,2090750.0
FUTSTK,DALBHARAT,29-Feb-2024,0,XX,N,2061.75,2078.65,2008.85,2073.1,2066.55,2055.25,2073.1,613750.0,1257988850.0,3253750.0,-1000.0,250.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,,1257988850.0
FUTSTK,DALBHARAT,28-Mar-2024,0,XX,N,2059.5,2091.55,2032.0,2087.5,2083.1,2069.8,2087.5,32750.0,67760050.0,67250.0,8750.0,250.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,,67760050.0
FUTSTK,DALBHARAT,25-Apr-2024,0,XX,N,2075.0,2075.0,2075.0,2075.0,2075.0,2095.0,2078.45,250.0,518750.0,1250.0,0.0,250.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,,518750.0
FUTSTK,DALBHARAT,28-Mar-2024,0,XX,N,2070.0,2087.85,2053.75,2079.65,2082.45,2087.5,2079.65,25500.0,52855125.0,72000.0,4750.0,250.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,,52855125.0
