FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,341.0,341.0,332.0,332.0,332.0,349.7,342.05,39650.0,13296627.5,28975.0,28975.0,1525.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,335.95,13296627.5
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,337.0,341.9,330.45,332.95,332.95,347.7,340.15,89975.0,30135601.25,64050.0,64050.0,1525.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,335.95,30135601.25
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,338.0,346.0,329.8,333.4,334.9,345.25,333.4,3152175.0,1062600251.25,1563125.0,1563125.0,1525.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,335.95,1062600251.25
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,335.0,338.0,324.7,328.75,329.1,333.4,328.75,2626050.0,864237630.0,2806000.0,1242875.0,1525.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,333.3,864237630.0
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,331.4,331.4,321.4,324.0,323.0,332.0,324.0,54900.0,17875058.75,71675.0,42700.0,1525.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,333.3,17875058.75
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,332.3,335.1,322.1,326.2,324.1,332.95,326.2,221125.0,72152248.75,135725.0,71675.0,1525.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,333.3,72152248.75
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,329.95,343.4,329.85,341.85,341.7,328.75,341.85,2427800.0,821225233.75,2923425.0,117425.0,1525.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,341.15,821225233.75
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,328.5,340.2,328.5,340.0,340.0,324.0,340.0,47275.0,15878300.0,86925.0,15250.0,1525.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,341.15,15878300.0
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,328.7,341.95,327.6,340.6,340.1,326.2,340.6,207400.0,69722847.5,135725.0,0.0,1525.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,341.15,69722847.5
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,337.9,342.0,337.2,338.6,338.85,340.6,338.6,76250.0,25886188.75,155550.0,19825.0,1525.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,340.1,25886188.75
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,338.6,344.4,338.6,340.65,340.55,341.85,340.65,1302350.0,444397657.5,3200975.0,277550.0,1525.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,340.1,444397657.5
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,340.0,340.0,336.95,338.5,338.5,340.0,338.5,15250.0,5158083.75,86925.0,0.0,1525.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,340.1,5158083.75
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,337.2,337.2,330.85,332.9,332.9,338.5,332.9,28975.0,9656300.0,96075.0,9150.0,1525.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,333.3,9656300.0
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,336.95,338.0,330.3,333.5,333.9,338.6,333.5,179950.0,59981757.5,193675.0,38125.0,1525.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,333.3,59981757.5
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,340.0,340.85,332.55,334.6,335.2,340.65,334.6,1325225.0,444071612.5,3394650.0,193675.0,1525.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,333.3,444071612.5
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,334.0,358.85,333.75,354.05,354.0,332.9,354.05,146400.0,50213675.0,131150.0,35075.0,1525.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,353.0,50213675.0
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,335.0,361.3,333.3,354.7,356.1,334.6,354.7,6517850.0,2293509872.5,4382850.0,988200.0,1525.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,353.0,2293509872.5
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,333.5,360.3,333.1,355.15,356.95,333.5,355.15,361425.0,125901407.5,205875.0,12200.0,1525.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,353.0,125901407.5
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,357.8,375.2,356.3,373.1,373.0,355.15,373.1,446825.0,163580650.0,288225.0,82350.0,1525.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,371.1,163580650.0
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,354.0,374.1,351.85,372.55,372.6,354.7,372.55,8890750.0,3268249231.25,5881925.0,1499075.0,1525.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,371.1,3268249231.25
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,357.0,374.8,357.0,371.15,373.0,354.05,371.15,61000.0,22402860.0,140300.0,9150.0,1525.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,371.1,22402860.0
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,373.0,377.8,371.05,375.95,374.0,373.1,375.95,553575.0,207500878.75,399550.0,111325.0,1525.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,380.6,207500878.75
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,375.0,377.4,372.0,375.75,373.9,371.15,375.75,39650.0,14879653.75,158600.0,18300.0,1525.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,380.6,14879653.75
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,372.5,378.7,370.3,377.0,376.0,372.55,377.0,5456450.0,2046870783.75,6035950.0,154025.0,1525.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,380.6,2046870783.75
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,374.15,376.0,366.1,373.7,373.5,375.95,373.7,439200.0,163106985.0,581025.0,181475.0,1525.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,379.45,163106985.0
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,376.2,376.2,368.55,373.85,373.85,375.75,373.85,59475.0,22009791.25,158600.0,0.0,1525.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,379.45,22009791.25
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,378.05,378.05,365.4,375.35,375.0,377.0,375.35,4523150.0,1689061940.0,7013475.0,977525.0,1525.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,379.45,1689061940.0
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,379.5,386.8,375.2,378.45,378.4,375.35,378.45,7850700.0,2976001052.5,9618175.0,2604700.0,1525.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,382.35,2976001052.5
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,383.0,383.0,371.35,373.45,372.25,373.85,373.45,157075.0,58815818.75,128100.0,-30500.0,1525.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,382.35,58815818.75
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,380.0,384.45,372.7,376.1,376.5,373.7,376.1,815875.0,307159552.5,767075.0,186050.0,1525.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,382.35,307159552.5
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,377.0,392.95,375.3,389.95,388.45,378.45,389.95,7335250.0,2824583268.75,8864825.0,-753350.0,1525.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,390.6,2824583268.75
FUTSTK,DELHIVERY,27-Feb-2025,0,XX,N,374.9,385.0,371.95,383.65,383.65,373.45,383.65,128100.0,48864278.75,167750.0,39650.0,1525.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,390.6,48864278.75
FUTSTK,DELHIVERY,30-Jan-2025,0,XX,N,375.35,390.5,373.35,387.9,386.0,376.1,387.9,844850.0,323042275.0,582550.0,-184525.0,1525.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,390.6,323042275.0
FUTSTK,DELHIVERY,26-Dec-2024,0,XX,N,390.7,395.5,382.8,389.15,387.75,389.95,389.15,3592900.0,1397778323.75,9474825.0,610000.0,1525.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,393.05,1397778323.75
