FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DIVISLAB,28-Mar-2024,0,XX,N,3791.2,3805.0,3742.3,3770.7,3779.5,3765.15,3770.7,28800.0,108682640.0,103400.0,3200.0,200.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,6373.0,108682640.0
FUTSTK,DIVISLAB,25-Apr-2024,0,XX,N,3809.0,3809.0,3785.2,3785.2,3785.2,3809.0,3786.0,400.0,1518840.0,6800.0,400.0,200.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,6373.0,1518840.0
FUTSTK,DIVISLAB,29-Feb-2024,0,XX,N,3751.85,3779.85,3713.5,3742.35,3751.55,3738.7,3742.35,496600.0,1859545580.0,3833600.0,-20800.0,200.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,6373.0,1859545580.0
FUTSTK,DIVISLAB,25-Apr-2024,0,XX,N,3802.0,3802.0,3755.0,3763.7,3763.7,3785.2,3763.7,2000.0,7532950.0,7400.0,600.0,200.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,6373.0,7532950.0
FUTSTK,DIVISLAB,29-Feb-2024,0,XX,N,3753.45,3779.1,3681.05,3701.5,3703.5,3742.35,3701.5,913600.0,3393157570.0,3892600.0,59000.0,200.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,6373.0,3393157570.0
FUTSTK,DIVISLAB,28-Mar-2024,0,XX,N,3776.05,3805.05,3709.6,3730.0,3731.85,3770.7,3730.0,68400.0,256094150.0,110800.0,7400.0,200.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,6373.0,256094150.0
FUTSTK,DIVISLAB,29-Feb-2024,0,XX,N,3691.5,3707.7,3626.1,3660.95,3659.9,3701.5,3660.95,1588400.0,5806147410.0,3968800.0,76200.0,200.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,6373.0,5806147410.0
FUTSTK,DIVISLAB,28-Mar-2024,0,XX,N,3744.0,3744.0,3653.35,3687.65,3700.5,3730.0,3687.65,70200.0,258601410.0,112400.0,1600.0,200.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,6373.0,258601410.0
FUTSTK,DIVISLAB,25-Apr-2024,0,XX,N,3745.55,3745.55,3700.0,3716.5,3716.5,3763.7,3716.5,2600.0,9650630.0,8200.0,800.0,200.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,6373.0,9650630.0
FUTSTK,DIVISLAB,29-Feb-2024,0,XX,N,3650.0,3827.95,3650.0,3747.05,3746.3,3660.95,3747.05,2823800.0,10644718960.0,3594400.0,-374400.0,200.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,6373.0,10644718960.0
FUTSTK,DIVISLAB,28-Mar-2024,0,XX,N,3706.05,3855.0,3690.5,3768.65,3776.95,3687.65,3768.65,177800.0,675129470.0,112600.0,200.0,200.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,6373.0,675129470.0
