FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6463.15,6477.5,6347.9,6399.0,6403.45,6437.65,6399.0,17500.0,111964700.0,40500.0,2800.0,100.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,14965.0,111964700.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6489.35,6489.35,6405.15,6425.2,6425.2,6489.35,6400.45,1600.0,10312115.0,2400.0,-300.0,100.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,14965.0,10312115.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6391.6,6432.85,6300.0,6347.35,6352.5,6396.65,6347.35,330500.0,2097599295.0,1146500.0,-1200.0,100.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,14965.0,2097599295.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6354.95,6400.0,6240.5,6264.35,6289.95,6347.35,6264.35,246300.0,1551814065.0,1177200.0,30700.0,100.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,14965.0,1551814065.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6414.65,6446.6,6291.0,6308.6,6335.9,6399.0,6308.6,37900.0,240477800.0,57900.0,17400.0,100.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,14965.0,240477800.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6466.6,6466.6,6333.8,6333.8,6333.8,6425.2,6333.8,3100.0,19763420.0,3600.0,1200.0,100.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,14965.0,19763420.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6311.65,6397.0,6311.65,6397.0,6397.0,6333.8,6397.0,500.0,3178140.0,3800.0,200.0,100.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,14965.0,3178140.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6289.95,6322.85,6146.4,6306.1,6299.3,6264.35,6306.1,337200.0,2108449420.0,1173000.0,-4200.0,100.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,14965.0,2108449420.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6332.95,6366.55,6200.0,6356.5,6349.4,6308.6,6356.5,43900.0,276114730.0,69800.0,11900.0,100.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,14965.0,276114730.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6402.0,6426.0,6340.0,6367.95,6341.8,6397.0,6367.95,1400.0,8945295.0,4300.0,500.0,100.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,14965.0,8945295.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6324.75,6396.0,6280.0,6337.1,6315.0,6356.5,6337.1,27700.0,175733555.0,75500.0,5700.0,100.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,14965.0,175733555.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6306.0,6350.0,6230.95,6285.65,6259.9,6306.1,6285.65,308900.0,1945958645.0,1205800.0,32800.0,100.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,14965.0,1945958645.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6341.8,6422.0,6284.0,6363.0,6363.0,6367.95,6380.05,1600.0,10173145.0,4800.0,500.0,100.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,14965.0,10173145.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6290.7,6390.0,6201.0,6370.3,6375.0,6337.1,6370.3,32200.0,203346610.0,76700.0,1200.0,100.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,14965.0,203346610.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6150.2,6344.55,6150.2,6324.2,6320.0,6285.65,6324.2,269800.0,1695227490.0,1218600.0,12800.0,100.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,14965.0,1695227490.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6427.0,6478.95,6363.0,6453.0,6478.95,6363.0,6453.0,1100.0,7057505.0,4900.0,100.0,100.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,14965.0,7057505.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6298.0,6436.2,6280.0,6417.75,6429.0,6370.3,6417.75,31400.0,199769925.0,81000.0,4300.0,100.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,14965.0,199769925.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6249.8,6390.45,6214.0,6372.1,6383.65,6324.2,6372.1,271600.0,1718286575.0,1243000.0,24400.0,100.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,14965.0,1718286575.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6388.2,6502.95,6355.0,6392.85,6398.05,6372.1,6392.85,476500.0,3061473445.0,1287700.0,44700.0,100.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,14965.0,3061473445.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6514.6,6589.35,6460.95,6499.0,6499.0,6453.0,6499.0,2200.0,14329020.0,5800.0,900.0,100.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,14965.0,14329020.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6444.2,6545.0,6403.55,6437.95,6454.85,6417.75,6437.95,53100.0,343331345.0,92200.0,11200.0,100.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,14965.0,343331345.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6399.0,6453.05,6357.95,6406.5,6395.2,6392.85,6406.5,221800.0,1422345885.0,1285800.0,-1900.0,100.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,14965.0,1422345885.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6480.5,6496.9,6400.0,6451.8,6442.55,6437.95,6451.8,43600.0,281236375.0,100300.0,8100.0,100.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,14965.0,281236375.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6525.0,6525.0,6458.05,6495.3,6487.6,6499.0,6495.3,3500.0,22746275.0,6600.0,800.0,100.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,14965.0,22746275.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6440.0,6831.9,6440.0,6775.85,6831.9,6406.5,6775.85,1655900.0,11000517770.0,1391200.0,105400.0,100.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,14965.0,11000517770.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6520.0,6870.0,6517.3,6811.3,6864.85,6451.8,6811.3,246000.0,1645389675.0,119500.0,19200.0,100.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,14965.0,1645389675.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6560.85,6896.55,6560.85,6861.9,6896.55,6495.3,6861.9,17900.0,120756315.0,10200.0,3600.0,100.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,14965.0,120756315.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6801.1,6943.0,6669.75,6714.6,6737.1,6775.85,6714.6,1139100.0,7739577110.0,1335800.0,-55400.0,100.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,14965.0,7739577110.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6836.95,6980.0,6719.2,6758.65,6785.0,6811.3,6758.65,192600.0,1317317420.0,134300.0,14800.0,100.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,14965.0,1317317420.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6861.9,7008.0,6788.0,6824.0,6822.0,6861.9,6824.0,13700.0,94523280.0,14500.0,4300.0,100.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,14965.0,94523280.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6777.55,6897.95,6755.95,6796.9,6781.05,6758.65,6796.9,103000.0,702413495.0,150500.0,16200.0,100.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,14965.0,702413495.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6724.6,6853.85,6701.0,6749.8,6733.4,6714.6,6749.8,434300.0,2941836185.0,1295700.0,-40100.0,100.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,14965.0,2941836185.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6835.0,6907.0,6835.0,6837.85,6837.85,6824.0,6837.85,1300.0,8935560.0,14800.0,300.0,100.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,14965.0,8935560.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6856.9,6919.95,6775.0,6841.1,6846.05,6796.9,6841.1,141500.0,966691310.0,186500.0,36000.0,100.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,14965.0,966691310.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6860.0,6892.0,6820.0,6887.55,6892.0,6837.85,6887.55,900.0,6179895.0,14500.0,-300.0,100.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,14965.0,6179895.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6780.5,6873.95,6725.7,6796.0,6804.3,6749.8,6796.0,323100.0,2192668305.0,1285800.0,-9900.0,100.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,14965.0,2192668305.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6823.95,6939.95,6731.95,6869.85,6865.45,6796.0,6869.85,638500.0,4369290045.0,1088800.0,-197000.0,100.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,14965.0,4369290045.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6873.4,6984.95,6780.3,6918.8,6915.4,6841.1,6918.8,413100.0,2846510240.0,426300.0,239800.0,100.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,14965.0,2846510240.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6901.0,7027.95,6860.0,6963.75,6960.0,6887.55,6963.75,7100.0,49367930.0,16600.0,2100.0,100.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,14965.0,49367930.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,7010.0,7112.0,6980.0,7032.65,7052.25,6963.75,7032.65,13100.0,92547415.0,16500.0,-100.0,100.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,14965.0,92547415.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6905.5,7082.4,6905.5,6985.6,7000.0,6918.8,6985.6,736700.0,5167193760.0,695200.0,268900.0,100.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,14965.0,5167193760.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6895.05,7042.05,6867.45,6942.15,6966.0,6869.85,6942.15,868100.0,6049372150.0,845900.0,-242900.0,100.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,14965.0,6049372150.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6756.6,6894.9,6587.65,6775.5,6765.0,6942.15,6775.5,1306100.0,8825656050.0,441400.0,-404500.0,100.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,14965.0,8825656050.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6755.0,6933.8,6634.2,6816.55,6805.55,6985.6,6816.55,1089400.0,7412557115.0,1047800.0,352600.0,100.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,14965.0,7412557115.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6900.0,6950.0,6700.0,6852.7,6844.95,7032.65,6852.7,8900.0,60761325.0,16700.0,200.0,100.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,14965.0,60761325.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6793.0,6870.0,6572.95,6587.75,6585.7,6816.55,6587.75,699500.0,4700874185.0,1231800.0,184000.0,100.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,14965.0,4700874185.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6748.8,6832.9,6531.1,6550.55,6545.0,6775.5,6550.55,596600.0,3988716905.0,162400.0,-279000.0,100.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,14965.0,3988716905.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6852.7,6900.0,6624.35,6634.4,6631.0,6852.7,6634.4,10000.0,67206805.0,13500.0,-3200.0,100.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,14965.0,67206805.0
FUTSTK,DIXON,29-Feb-2024,0,XX,N,6516.15,6708.4,6475.6,6682.35,6664.1,6550.55,6683.8,305700.0,2028890530.0,37600.0,-124800.0,100.0,29-Feb-2024,2024-02-28T18:30:00.000+00:00,14965.0,2028890530.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6577.75,6750.75,6515.0,6733.6,6724.05,6587.75,6733.6,659600.0,4404960720.0,1327900.0,96100.0,100.0,29-Feb-2024,2024-02-28T18:30:00.000+00:00,14965.0,4404960720.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6655.0,6777.45,6630.0,6772.45,6777.45,6634.4,6772.45,6800.0,45727545.0,14800.0,1300.0,100.0,29-Feb-2024,2024-02-28T18:30:00.000+00:00,14965.0,45727545.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,6762.8,7062.0,6708.2,7035.75,7047.9,6733.6,7035.75,1023500.0,7099983020.0,1430000.0,102100.0,100.0,01-Mar-2024,2024-02-29T18:30:00.000+00:00,14965.0,7099983020.0
FUTSTK,DIXON,30-May-2024,0,XX,N,6950.0,7140.25,6950.0,7115.6,7115.6,6807.5,7115.6,2300.0,16286685.0,1300.0,1300.0,100.0,01-Mar-2024,2024-02-29T18:30:00.000+00:00,14965.0,16286685.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,6777.45,7099.8,6751.0,7073.75,7077.0,6772.45,7073.75,38400.0,268369780.0,26900.0,12100.0,100.0,01-Mar-2024,2024-02-29T18:30:00.000+00:00,14965.0,268369780.0
FUTSTK,DIXON,30-May-2024,0,XX,N,7136.75,7180.5,7086.65,7103.75,7155.0,7115.6,7103.75,1000.0,7141320.0,1600.0,300.0,100.0,02-Mar-2024,2024-03-01T18:30:00.000+00:00,14965.0,7141320.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,7046.95,7119.45,7046.95,7074.45,7075.05,7035.75,7074.45,86600.0,613798295.0,1434100.0,4100.0,100.0,02-Mar-2024,2024-03-01T18:30:00.000+00:00,14965.0,613798295.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,7119.95,7190.8,7084.85,7102.85,7115.0,7073.75,7102.85,2300.0,16362495.0,27800.0,900.0,100.0,02-Mar-2024,2024-03-01T18:30:00.000+00:00,14965.0,16362495.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,7131.85,7245.0,7089.5,7228.15,7220.0,7102.85,7228.15,21700.0,155798305.0,30800.0,3000.0,100.0,04-Mar-2024,2024-03-03T18:30:00.000+00:00,14965.0,155798305.0
FUTSTK,DIXON,30-May-2024,0,XX,N,7155.0,7282.95,7144.05,7275.2,7269.05,7103.75,7275.2,3100.0,22445540.0,3400.0,1800.0,100.0,04-Mar-2024,2024-03-03T18:30:00.000+00:00,14965.0,22445540.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,7100.0,7210.0,7045.05,7191.0,7184.95,7074.45,7191.0,607100.0,4335636265.0,1447200.0,13100.0,100.0,04-Mar-2024,2024-03-03T18:30:00.000+00:00,14965.0,4335636265.0
FUTSTK,DIXON,28-Mar-2024,0,XX,N,7152.85,7180.0,7035.7,7103.75,7128.4,7191.0,7103.75,397300.0,2826494510.0,1390000.0,-57200.0,100.0,05-Mar-2024,2024-03-04T18:30:00.000+00:00,14965.0,2826494510.0
FUTSTK,DIXON,25-Apr-2024,0,XX,N,7218.05,7220.0,7080.0,7149.65,7153.1,7228.15,7149.65,18300.0,130959560.0,29100.0,-1700.0,100.0,05-Mar-2024,2024-03-04T18:30:00.000+00:00,14965.0,130959560.0
FUTSTK,DIXON,30-May-2024,0,XX,N,7220.0,7267.3,7152.0,7193.0,7193.0,7275.2,7193.0,3300.0,23769345.0,2700.0,-700.0,100.0,05-Mar-2024,2024-03-04T18:30:00.000+00:00,14965.0,23769345.0
