FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DLF,29-Feb-2024,0,XX,N,807.85,842.45,807.85,830.5,829.8,801.75,830.5,25758150.0,21448571925.0,40682400.0,-1747350.0,1650.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,725.35,21448571925.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,813.4,848.05,813.4,836.2,836.75,808.05,836.2,1387650.0,1164544755.0,843150.0,133650.0,1650.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,725.35,1164544755.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,819.9,853.0,819.9,842.0,842.0,813.75,842.0,84150.0,71021692.5,62700.0,13200.0,1650.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,725.35,71021692.5
FUTSTK,DLF,25-Apr-2024,0,XX,N,840.0,853.6,840.0,845.35,845.5,842.0,845.35,33000.0,27959415.0,69300.0,6600.0,1650.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,725.35,27959415.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,831.0,843.5,825.55,834.15,835.7,830.5,834.15,11607750.0,9692654647.5,40571850.0,-110550.0,1650.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,725.35,9692654647.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,836.2,849.25,832.25,840.3,841.8,836.2,840.3,508200.0,427606080.0,838200.0,-4950.0,1650.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,725.35,427606080.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,841.1,845.0,818.0,842.1,842.6,840.3,842.1,948750.0,790962232.5,788700.0,-49500.0,1650.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,725.35,790962232.5
FUTSTK,DLF,29-Feb-2024,0,XX,N,831.25,839.2,811.45,836.15,836.6,834.15,836.15,12871650.0,10661103255.0,38738700.0,-1833150.0,1650.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,725.35,10661103255.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,848.4,849.0,829.7,848.0,848.95,845.35,848.0,52800.0,44288310.0,85800.0,16500.0,1650.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,725.35,44288310.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,836.15,839.0,807.4,811.2,812.5,836.15,811.2,9687150.0,7949206980.0,38720550.0,-18150.0,1650.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,725.35,7949206980.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,847.6,848.0,820.0,822.05,824.1,848.0,822.05,70950.0,58921665.0,127050.0,41250.0,1650.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,725.35,58921665.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,840.05,844.45,813.7,816.5,817.95,842.1,816.5,813450.0,672319890.0,914100.0,125400.0,1650.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,725.35,672319890.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,819.6,839.7,808.45,837.75,838.1,816.5,837.75,996600.0,822688350.0,1054350.0,140250.0,1650.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,725.35,822688350.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,813.75,834.1,802.5,832.1,832.8,811.2,832.1,13464000.0,11040129375.0,38999400.0,278850.0,1650.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,725.35,11040129375.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,818.3,845.0,817.0,842.35,844.45,822.05,842.35,72600.0,60427042.5,122100.0,-4950.0,1650.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,725.35,60427042.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,828.1,855.05,826.95,852.7,854.3,837.75,852.7,666600.0,562944360.0,1064250.0,9900.0,1650.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,725.35,562944360.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,835.0,855.0,835.0,854.0,854.0,842.35,854.95,52800.0,44903347.5,110550.0,-11550.0,1650.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,725.35,44903347.5
FUTSTK,DLF,29-Feb-2024,0,XX,N,824.0,850.6,818.1,847.35,849.95,832.1,847.35,11005500.0,9210567877.5,39123150.0,123750.0,1650.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,725.35,9210567877.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,854.8,864.85,849.7,857.85,857.5,852.7,857.85,1047750.0,898032795.0,1093950.0,29700.0,1650.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,725.35,898032795.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,854.9,859.9,843.95,852.45,852.4,847.35,852.45,11644050.0,9910687957.5,37153050.0,-1970100.0,1650.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,725.35,9910687957.5
FUTSTK,DLF,25-Apr-2024,0,XX,N,861.4,866.65,855.7,863.75,863.75,854.0,863.75,34650.0,29877952.5,120450.0,9900.0,1650.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,725.35,29877952.5
FUTSTK,DLF,25-Apr-2024,0,XX,N,865.35,880.0,865.0,872.7,872.0,863.75,872.7,36300.0,31747732.5,130350.0,9900.0,1650.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,725.35,31747732.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,858.75,875.35,855.6,868.7,866.0,857.85,868.7,905850.0,786359805.0,1089000.0,-4950.0,1650.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,725.35,786359805.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,853.0,870.0,849.45,863.05,860.95,852.45,863.05,10942800.0,9433819725.0,35346300.0,-1806750.0,1650.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,725.35,9433819725.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,869.7,871.45,851.85,855.15,856.4,868.7,855.15,998250.0,855997395.0,1245750.0,156750.0,1650.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,725.35,855997395.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,861.5,866.05,845.85,849.2,851.05,863.05,849.2,7816050.0,6659576632.5,33889350.0,-1456950.0,1650.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,725.35,6659576632.5
FUTSTK,DLF,25-Apr-2024,0,XX,N,867.05,867.05,858.5,861.2,861.2,872.7,861.2,49500.0,42674775.0,138600.0,8250.0,1650.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,725.35,42674775.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,861.95,880.0,861.95,875.65,875.65,861.2,875.65,26400.0,23059410.0,150150.0,11550.0,1650.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,725.35,23059410.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,849.2,868.95,846.65,863.85,864.45,849.2,863.85,10840500.0,9341743125.0,33455400.0,-433950.0,1650.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,725.35,9341743125.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,856.9,874.5,856.9,869.7,869.8,855.15,869.7,1178100.0,1022505330.0,1427250.0,181500.0,1650.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,725.35,1022505330.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,864.15,895.75,862.85,885.9,886.0,863.85,885.9,18161550.0,16063208122.5,32615550.0,-839850.0,1650.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,725.35,16063208122.5
FUTSTK,DLF,25-Apr-2024,0,XX,N,881.7,907.05,881.7,897.1,897.0,875.65,897.1,130350.0,116409562.5,173250.0,23100.0,1650.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,725.35,116409562.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,870.0,901.55,870.0,892.1,891.7,869.7,892.1,3597000.0,3203037750.0,1953600.0,526350.0,1650.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,725.35,3203037750.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,890.65,896.5,878.2,894.65,896.05,885.9,894.65,9230100.0,8206902577.5,32011650.0,-603900.0,1650.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,725.35,8206902577.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,895.4,902.6,884.6,900.4,901.95,892.1,900.4,3040950.0,2723454360.0,2755500.0,801900.0,1650.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,725.35,2723454360.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,897.1,907.7,893.5,906.5,907.7,897.1,906.5,59400.0,53564940.0,178200.0,4950.0,1650.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,725.35,53564940.0
FUTSTK,DLF,29-Feb-2024,0,XX,N,898.15,904.1,892.0,898.55,898.1,894.65,898.55,8217000.0,7382766270.0,30333600.0,-1678050.0,1650.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,725.35,7382766270.0
FUTSTK,DLF,25-Apr-2024,0,XX,N,911.0,915.0,904.7,911.0,911.0,906.5,911.0,34650.0,31529767.5,184800.0,6600.0,1650.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,725.35,31529767.5
FUTSTK,DLF,28-Mar-2024,0,XX,N,905.5,910.0,897.8,904.4,903.4,900.4,904.4,4106850.0,3713320215.0,4641450.0,1885950.0,1650.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,725.35,3713320215.0
FUTSTK,DLF,28-Mar-2024,0,XX,N,902.0,917.2,894.9,910.15,910.0,904.4,910.15,16897650.0,15290831160.0,16285500.0,11644050.0,1650.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,725.35,15290831160.0
