FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DRREDDY,27-Apr-2023,0,XX,N,4590.3,4600.9,4590.0,4590.0,4590.0,4572.75,4590.0,875.0,4021400.0,5000.0,625.0,125.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1243.9,4021400.0
FUTSTK,DRREDDY,23-Feb-2023,0,XX,N,4553.4,4565.05,4502.25,4540.0,4536.45,4529.6,4540.0,283250.0,1285897637.5,2152000.0,11250.0,125.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1243.9,1285897637.5
FUTSTK,DRREDDY,29-Mar-2023,0,XX,N,4563.4,4592.95,4534.6,4568.1,4567.0,4555.6,4568.1,34750.0,158850481.25,63250.0,15125.0,125.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1243.9,158850481.25
FUTSTK,DRREDDY,29-Mar-2023,0,XX,N,4579.75,4592.95,4535.0,4556.6,4552.5,4568.1,4556.6,36250.0,165091418.75,72250.0,9000.0,125.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1243.9,165091418.75
FUTSTK,DRREDDY,23-Feb-2023,0,XX,N,4550.3,4566.25,4506.5,4529.3,4522.5,4540.0,4529.3,241875.0,1094788168.75,2119875.0,-32125.0,125.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1243.9,1094788168.75
FUTSTK,DRREDDY,27-Apr-2023,0,XX,N,4568.3,4570.0,4565.2,4565.2,4565.2,4590.0,4583.0,625.0,2855012.5,4875.0,-125.0,125.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1243.9,2855012.5
FUTSTK,DRREDDY,23-Feb-2023,0,XX,N,4548.0,4553.85,4516.65,4522.35,4525.0,4529.3,4522.35,229750.0,1041360125.0,2103750.0,-16125.0,125.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1243.9,1041360125.0
FUTSTK,DRREDDY,29-Mar-2023,0,XX,N,4571.1,4575.8,4546.0,4551.7,4551.0,4556.6,4551.7,70000.0,319194162.5,96750.0,24500.0,125.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1243.9,319194162.5
FUTSTK,DRREDDY,27-Apr-2023,0,XX,N,4583.0,4596.3,4580.0,4596.3,4596.3,4565.2,4581.65,750.0,3442825.0,5375.0,500.0,125.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1243.9,3442825.0
FUTSTK,DRREDDY,27-Apr-2023,0,XX,N,4532.75,4570.0,4530.0,4570.0,4570.0,4596.3,4570.0,750.0,3412062.5,5625.0,250.0,125.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1243.9,3412062.5
