FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ZOMATO,27-Mar-2025,0,XX,N,234.5,236.52,229.5,231.32,231.69,233.26,231.3,962000.0,224587300.0,2688000.0,86000.0,2000.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,229.05,224587300.0
FUTSTK,ZOMATO,27-Feb-2025,0,XX,N,233.0,235.59,227.7,230.16,230.8,231.91,230.16,23392000.0,5440203580.0,131334000.0,1220000.0,2000.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,229.05,5440203580.0
FUTSTK,ZOMATO,24-Apr-2025,0,XX,N,233.5,237.78,230.8,232.88,232.88,234.51,232.9,120000.0,28232520.0,340000.0,-4000.0,2000.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,229.05,28232520.0
FUTSTK,ZOMATO,27-Mar-2025,0,XX,N,233.0,235.71,230.73,235.25,234.71,231.32,235.25,878000.0,205036720.0,2770000.0,82000.0,2000.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,233.9,205036720.0
FUTSTK,ZOMATO,27-Feb-2025,0,XX,N,231.53,234.57,229.66,234.08,233.38,230.16,234.08,18580000.0,4321148320.0,129470000.0,-1864000.0,2000.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,233.9,4321148320.0
FUTSTK,ZOMATO,24-Apr-2025,0,XX,N,234.85,236.85,232.5,236.54,236.85,232.88,236.55,124000.0,29158400.0,356000.0,16000.0,2000.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,233.9,29158400.0
FUTSTK,ZOMATO,27-Mar-2025,0,XX,N,235.4,235.4,226.36,228.58,228.4,235.25,228.6,1280000.0,292761860.0,2868000.0,98000.0,2000.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,227.25,292761860.0
FUTSTK,ZOMATO,24-Apr-2025,0,XX,N,236.5,236.5,227.5,229.89,229.89,236.54,229.9,216000.0,49783080.0,320000.0,-36000.0,2000.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,227.25,49783080.0
FUTSTK,ZOMATO,27-Feb-2025,0,XX,N,233.61,234.99,224.7,227.41,227.25,234.08,227.41,23218000.0,5291799040.0,127356000.0,-2114000.0,2000.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,227.25,5291799040.0
FUTSTK,ZOMATO,27-Feb-2025,0,XX,N,226.0,227.43,214.05,216.36,216.87,227.41,216.36,37178000.0,8094868020.0,128332000.0,976000.0,2000.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,215.45,8094868020.0
FUTSTK,ZOMATO,27-Mar-2025,0,XX,N,228.33,228.33,215.5,217.54,217.7,228.58,217.55,3332000.0,729823920.0,3570000.0,702000.0,2000.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,215.45,729823920.0
