FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,FEDERALBNK,27-Apr-2023,0,XX,N,133.8,133.9,132.55,133.15,133.15,134.6,133.15,120000.0,15972500.0,300000.0,20000.0,5000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,245.06,15972500.0
FUTSTK,FEDERALBNK,29-Mar-2023,0,XX,N,133.45,133.9,131.75,132.3,132.35,133.9,132.3,785000.0,104211000.0,1710000.0,30000.0,5000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,245.06,104211000.0
FUTSTK,FEDERALBNK,23-Feb-2023,0,XX,N,133.05,133.25,131.0,131.65,131.65,133.25,131.65,12840000.0,1695552000.0,68600000.0,710000.0,5000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,245.06,1695552000.0
FUTSTK,FEDERALBNK,27-Apr-2023,0,XX,N,132.85,133.5,132.0,133.35,133.35,133.15,133.35,95000.0,12610000.0,310000.0,10000.0,5000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,245.06,12610000.0
FUTSTK,FEDERALBNK,23-Feb-2023,0,XX,N,131.15,132.4,130.5,132.0,131.7,131.65,132.0,12115000.0,1595052500.0,68450000.0,-150000.0,5000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,245.06,1595052500.0
FUTSTK,FEDERALBNK,29-Mar-2023,0,XX,N,132.2,133.05,131.3,132.6,132.45,132.3,132.6,760000.0,100459000.0,1810000.0,100000.0,5000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,245.06,100459000.0
FUTSTK,FEDERALBNK,29-Mar-2023,0,XX,N,132.15,132.15,130.3,131.3,131.25,132.6,131.3,1000000.0,131104750.0,2090000.0,280000.0,5000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,245.06,131104750.0
FUTSTK,FEDERALBNK,23-Feb-2023,0,XX,N,131.7,131.7,129.5,130.55,130.65,132.0,130.55,15555000.0,2029824500.0,70005000.0,1555000.0,5000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,245.06,2029824500.0
FUTSTK,FEDERALBNK,27-Apr-2023,0,XX,N,131.6,132.5,131.0,131.95,131.9,133.35,131.95,120000.0,15785500.0,360000.0,50000.0,5000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,245.06,15785500.0
FUTSTK,FEDERALBNK,29-Mar-2023,0,XX,N,131.45,133.05,130.85,132.5,132.75,131.3,132.5,810000.0,107190000.0,2090000.0,0.0,5000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,245.06,107190000.0
FUTSTK,FEDERALBNK,27-Apr-2023,0,XX,N,131.95,133.7,131.95,132.7,132.7,131.95,133.45,95000.0,12641250.0,350000.0,-10000.0,5000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,245.06,12641250.0
FUTSTK,FEDERALBNK,23-Feb-2023,0,XX,N,130.0,132.4,130.0,131.75,131.85,130.55,131.75,12025000.0,1583233750.0,68405000.0,-1600000.0,5000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,245.06,1583233750.0
FUTSTK,FEDERALBNK,29-Mar-2023,0,XX,N,132.7,132.7,130.8,131.2,131.2,132.5,131.2,665000.0,87329000.0,2240000.0,150000.0,5000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,245.06,87329000.0
FUTSTK,FEDERALBNK,23-Feb-2023,0,XX,N,131.9,132.2,130.1,130.55,130.45,131.75,130.55,8770000.0,1146358750.0,68690000.0,285000.0,5000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,245.06,1146358750.0
FUTSTK,FEDERALBNK,27-Apr-2023,0,XX,N,132.3,132.3,131.75,131.85,131.85,132.7,131.85,45000.0,5936000.0,365000.0,15000.0,5000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,245.06,5936000.0
FUTSTK,FEDERALBNK,23-Feb-2023,0,XX,N,130.45,130.9,128.05,130.15,129.95,130.55,130.15,14295000.0,1847234000.0,68050000.0,-640000.0,5000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,245.06,1847234000.0
FUTSTK,FEDERALBNK,27-Apr-2023,0,XX,N,131.0,131.85,129.75,131.85,131.85,131.85,131.85,145000.0,18939250.0,380000.0,15000.0,5000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,245.06,18939250.0
FUTSTK,FEDERALBNK,29-Mar-2023,0,XX,N,130.95,131.4,128.8,130.8,130.8,131.2,130.8,1630000.0,211856250.0,2680000.0,440000.0,5000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,245.06,211856250.0
