FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,397.75,401.95,390.15,394.45,394.5,399.05,394.45,991800.0,391242915.0,5562200.0,-59450.0,1450.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1844.2,391242915.0
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,400.7,400.7,393.05,396.7,396.2,401.5,396.7,69600.0,27600532.5,175450.0,13050.0,1450.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1844.2,27600532.5
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,397.45,397.55,395.5,396.15,396.15,392.6,396.15,8700.0,3449260.0,13050.0,4350.0,1450.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1844.2,3449260.0
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,0.0,0.0,0.0,396.15,396.15,396.15,402.85,0.0,0.0,13050.0,0.0,1450.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1844.2,0.0
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,395.85,399.55,390.35,398.6,398.55,394.45,398.6,1322400.0,523780817.5,5798550.0,236350.0,1450.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1844.2,523780817.5
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,398.55,401.0,393.0,400.8,400.7,396.7,400.8,59450.0,23654502.5,191400.0,15950.0,1450.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1844.2,23654502.5
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,399.7,401.5,399.25,401.5,401.5,396.15,401.5,4350.0,1740652.5,14500.0,1450.0,1450.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1844.2,1740652.5
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,398.25,403.9,394.05,396.35,396.9,398.6,396.35,1074450.0,427172537.5,5914550.0,116000.0,1450.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1844.2,427172537.5
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,405.4,405.6,396.5,399.15,399.4,400.8,399.15,44950.0,18026037.5,185600.0,-5800.0,1450.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1844.2,18026037.5
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,399.9,404.25,388.5,401.25,400.9,396.35,401.25,2214150.0,880786477.5,5670950.0,-243600.0,1450.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1844.2,880786477.5
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,408.0,408.0,407.7,407.7,407.7,401.5,406.4,2900.0,1182765.0,14500.0,0.0,1450.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1844.2,1182765.0
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,391.5,404.6,390.8,403.15,403.15,399.15,403.15,47850.0,19130430.0,200100.0,14500.0,1450.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1844.2,19130430.0
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,427.55,427.55,419.45,426.0,426.0,407.7,428.7,14500.0,6182437.5,24650.0,10150.0,1450.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1844.2,6182437.5
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,409.25,426.0,409.25,425.05,425.2,403.15,425.05,321900.0,135325237.5,224750.0,24650.0,1450.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1844.2,135325237.5
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,408.25,424.0,406.05,422.7,423.05,401.25,422.7,7238400.0,3023848270.0,5349050.0,-321900.0,1450.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1844.2,3023848270.0
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,421.6,446.1,420.05,431.05,431.1,422.7,431.05,8006900.0,3483021510.0,5441850.0,92800.0,1450.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1844.2,3483021510.0
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,432.7,450.0,432.7,435.0,435.0,426.0,435.0,30450.0,13361025.0,36250.0,11600.0,1450.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1844.2,13361025.0
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,424.45,448.0,423.85,433.4,433.8,425.05,433.4,624950.0,272697730.0,278400.0,53650.0,1450.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1844.2,272697730.0
FUTSTK,GLENMARK,29-Mar-2023,0,XX,N,430.0,432.7,418.0,431.3,432.1,433.4,431.3,622050.0,264030717.5,377000.0,98600.0,1450.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1844.2,264030717.5
FUTSTK,GLENMARK,27-Apr-2023,0,XX,N,429.05,434.45,421.35,434.0,434.0,435.0,434.0,47850.0,20483570.0,42050.0,5800.0,1450.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1844.2,20483570.0
FUTSTK,GLENMARK,23-Feb-2023,0,XX,N,426.0,430.5,415.3,429.35,428.2,431.05,429.35,4410900.0,1866277527.5,5249000.0,-192850.0,1450.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1844.2,1866277527.5
