FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,GODREJCP,27-Apr-2023,0,XX,N,0.0,0.0,0.0,941.65,941.65,941.65,955.0,0.0,0.0,14000.0,0.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1125.2,0.0
FUTSTK,GODREJCP,23-Feb-2023,0,XX,N,935.9,945.8,934.95,942.95,944.6,941.7,942.95,651000.0,613020800.0,5336000.0,-104000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1125.2,613020800.0
FUTSTK,GODREJCP,29-Mar-2023,0,XX,N,944.95,948.0,942.45,947.75,948.0,944.95,947.75,28000.0,26468600.0,91000.0,10000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1125.2,26468600.0
FUTSTK,GODREJCP,29-Mar-2023,0,XX,N,950.05,952.0,945.7,950.3,950.3,947.75,950.3,13000.0,12325100.0,99000.0,8000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1125.2,12325100.0
FUTSTK,GODREJCP,23-Feb-2023,0,XX,N,937.0,949.2,937.0,945.25,944.7,942.95,945.25,1205000.0,1138384600.0,5347000.0,11000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1125.2,1138384600.0
FUTSTK,GODREJCP,27-Apr-2023,0,XX,N,949.1,949.1,949.1,949.1,949.1,941.65,955.15,1000.0,949100.0,14000.0,0.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1125.2,949100.0
FUTSTK,GODREJCP,23-Feb-2023,0,XX,N,944.7,950.0,939.95,943.3,944.05,945.25,943.3,917000.0,865773900.0,5304000.0,-43000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1125.2,865773900.0
FUTSTK,GODREJCP,29-Mar-2023,0,XX,N,948.0,948.0,945.0,947.6,947.6,950.3,947.6,6000.0,5681650.0,98000.0,-1000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1125.2,5681650.0
FUTSTK,GODREJCP,27-Apr-2023,0,XX,N,957.5,957.5,950.4,950.4,950.4,949.1,955.25,2000.0,1907900.0,15000.0,1000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1125.2,1907900.0
FUTSTK,GODREJCP,27-Apr-2023,0,XX,N,0.0,0.0,0.0,950.4,950.4,950.4,954.6,0.0,0.0,15000.0,0.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1125.2,0.0
