FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,GODREJPROP,28-Apr-2026,0,XX,N,1740.6,1745.2,1694.0,1742.3,1741.0,1722.8,1742.3,20075.0,34666995.0,24475.0,-550.0,275.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,1711.7,34666995.0
FUTSTK,GODREJPROP,30-Mar-2026,0,XX,N,1703.3,1736.9,1674.3,1730.0,1728.5,1710.9,1730.0,81950.0,140595235.0,375100.0,-6050.0,275.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,1711.7,140595235.0
FUTSTK,GODREJPROP,24-Feb-2026,0,XX,N,1698.1,1727.5,1661.5,1719.9,1722.4,1701.5,1719.9,1699225.0,2894458600.0,11411675.0,-264275.0,275.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,1711.7,2894458600.0
FUTSTK,GODREJPROP,28-Apr-2026,0,XX,N,1640.0,1743.7,1640.0,1722.8,1723.4,1585.1,1722.8,24750.0,42131210.0,25025.0,3575.0,275.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,1699.4,42131210.0
FUTSTK,GODREJPROP,30-Mar-2026,0,XX,N,1656.3,1739.2,1655.0,1710.9,1710.1,1570.6,1710.9,206250.0,349417337.5,381150.0,-35475.0,275.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,1699.4,349417337.5
FUTSTK,GODREJPROP,24-Feb-2026,0,XX,N,1646.0,1754.1,1646.0,1701.5,1698.1,1563.5,1701.5,5659775.0,9550800792.5,11675950.0,-421025.0,275.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,1699.4,9550800792.5
FUTSTK,GODREJPROP,28-Apr-2026,0,XX,N,1515.0,1590.0,1515.0,1585.1,1590.0,1534.2,1585.1,11550.0,17955960.0,21450.0,4125.0,275.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,1560.1,17955960.0
FUTSTK,GODREJPROP,30-Mar-2026,0,XX,N,1510.1,1579.2,1508.7,1570.6,1579.2,1525.3,1570.6,71500.0,110758780.0,416625.0,-3025.0,275.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,1560.1,110758780.0
FUTSTK,GODREJPROP,24-Feb-2026,0,XX,N,1500.0,1572.0,1490.5,1563.5,1570.9,1517.5,1563.5,1390125.0,2136584312.5,12096975.0,-221100.0,275.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,1560.1,2136584312.5
FUTSTK,GODREJPROP,30-Mar-2026,0,XX,N,1578.1,1585.0,1488.4,1525.3,1518.2,1590.6,1525.3,149875.0,231065615.0,419650.0,67100.0,275.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,1516.8,231065615.0
FUTSTK,GODREJPROP,24-Feb-2026,0,XX,N,1557.1,1578.3,1476.8,1517.5,1510.0,1580.2,1517.5,1702250.0,2607020432.5,12318075.0,-261525.0,275.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,1516.8,2607020432.5
FUTSTK,GODREJPROP,28-Apr-2026,0,XX,N,1581.1,1587.1,1499.0,1534.2,1525.5,1586.0,1534.2,12100.0,18730387.5,17325.0,7700.0,275.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,1516.8,18730387.5
FUTSTK,GODREJPROP,30-Mar-2026,0,XX,N,1567.6,1601.3,1565.1,1590.6,1589.9,1580.7,1590.6,56375.0,89373377.5,352550.0,10450.0,275.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,1576.8,89373377.5
FUTSTK,GODREJPROP,24-Feb-2026,0,XX,N,1567.9,1592.4,1553.6,1580.2,1581.4,1571.4,1580.2,1970100.0,3103714487.5,12579600.0,-557150.0,275.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,1576.8,3103714487.5
