FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HAL,24-Apr-2025,0,XX,N,3651.0,3674.0,3493.15,3622.95,3629.0,3678.9,3622.95,65550.0,234854205.0,92850.0,5850.0,150.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,3594.15,234854205.0
FUTSTK,HAL,27-Mar-2025,0,XX,N,3610.15,3659.7,3476.2,3600.4,3605.4,3658.4,3600.4,484650.0,1729599375.0,968400.0,39450.0,150.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,3594.15,1729599375.0
FUTSTK,HAL,27-Feb-2025,0,XX,N,3625.0,3640.0,3457.7,3581.3,3590.35,3637.55,3581.3,4262400.0,15166604917.5,9369300.0,154950.0,150.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,3594.15,15166604917.5
FUTSTK,HAL,24-Apr-2025,0,XX,N,3780.0,3780.0,3650.0,3678.9,3671.5,3813.4,3678.9,36750.0,136006095.0,87000.0,12300.0,150.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,3649.45,136006095.0
FUTSTK,HAL,27-Mar-2025,0,XX,N,3785.0,3785.0,3627.8,3658.4,3655.0,3796.05,3658.4,211500.0,777841372.5,928950.0,14550.0,150.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,3649.45,777841372.5
FUTSTK,HAL,27-Feb-2025,0,XX,N,3775.0,3775.0,3607.7,3637.55,3631.85,3774.5,3637.55,1896750.0,6947245852.5,9214350.0,159000.0,150.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,3649.45,6947245852.5
FUTSTK,HAL,27-Mar-2025,0,XX,N,3829.85,3855.0,3765.0,3796.05,3787.6,3828.75,3796.05,161400.0,613956817.5,914400.0,17850.0,150.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,3786.65,613956817.5
FUTSTK,HAL,24-Apr-2025,0,XX,N,3855.0,3871.0,3785.0,3813.4,3812.95,3851.1,3813.4,15000.0,57315817.5,74700.0,4500.0,150.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,3786.65,57315817.5
FUTSTK,HAL,27-Feb-2025,0,XX,N,3815.8,3837.2,3743.6,3774.5,3767.95,3809.75,3774.5,1753050.0,6636761250.0,9055350.0,108900.0,150.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,3786.65,6636761250.0
FUTSTK,HAL,27-Mar-2025,0,XX,N,3795.0,3842.0,3757.1,3828.75,3829.4,3786.0,3828.75,114450.0,435499320.0,896550.0,3000.0,150.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,3818.85,435499320.0
FUTSTK,HAL,27-Feb-2025,0,XX,N,3775.25,3825.0,3738.55,3809.75,3811.05,3766.25,3809.75,1877850.0,7119314347.5,8946450.0,-42600.0,150.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,3818.85,7119314347.5
FUTSTK,HAL,24-Apr-2025,0,XX,N,3805.95,3860.0,3788.0,3851.1,3855.0,3805.35,3851.1,16650.0,63828840.0,70200.0,-3600.0,150.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,3818.85,63828840.0
FUTSTK,HAL,24-Apr-2025,0,XX,N,3858.65,3867.65,3790.0,3805.35,3808.3,3845.85,3805.35,19350.0,73874085.0,73800.0,-750.0,150.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,3771.9,73874085.0
FUTSTK,HAL,27-Feb-2025,0,XX,N,3821.95,3834.0,3740.5,3766.25,3770.05,3804.15,3766.25,1339050.0,5067757672.5,8989050.0,163950.0,150.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,3771.9,5067757672.5
FUTSTK,HAL,27-Mar-2025,0,XX,N,3835.7,3853.2,3760.05,3786.0,3788.5,3823.45,3786.0,101100.0,384360150.0,893550.0,6300.0,150.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,3771.9,384360150.0
FUTSTK,HAL,27-Mar-2025,0,XX,N,3782.0,3864.25,3777.9,3823.45,3819.0,3746.05,3823.45,209250.0,800065680.0,887250.0,12000.0,150.0,05-Feb-2025,2025-02-04T18:30:00.000+00:00,3817.3,800065680.0
FUTSTK,HAL,27-Feb-2025,0,XX,N,3749.9,3847.65,3749.85,3804.15,3802.0,3740.0,3804.15,1932150.0,7361469697.5,8825100.0,-39600.0,150.0,05-Feb-2025,2025-02-04T18:30:00.000+00:00,3817.3,7361469697.5
FUTSTK,HAL,24-Apr-2025,0,XX,N,3799.0,3881.0,3799.0,3845.85,3845.0,3768.1,3845.85,34050.0,130869180.0,74550.0,-3750.0,150.0,05-Feb-2025,2025-02-04T18:30:00.000+00:00,3817.3,130869180.0
FUTSTK,HAL,27-Feb-2025,0,XX,N,3575.0,3748.0,3570.05,3740.0,3748.0,3538.05,3740.0,3426600.0,12624838867.5,8864700.0,-340650.0,150.0,04-Feb-2025,2025-02-03T18:30:00.000+00:00,3729.75,12624838867.5
FUTSTK,HAL,27-Mar-2025,0,XX,N,3610.0,3750.5,3610.0,3746.05,3750.5,3548.25,3746.05,281400.0,1038635475.0,875250.0,-23250.0,150.0,04-Feb-2025,2025-02-03T18:30:00.000+00:00,3729.75,1038635475.0
FUTSTK,HAL,24-Apr-2025,0,XX,N,3649.95,3774.0,3640.0,3768.1,3774.0,3572.75,3768.1,52800.0,196298047.5,78300.0,-10050.0,150.0,04-Feb-2025,2025-02-03T18:30:00.000+00:00,3729.75,196298047.5
FUTSTK,HAL,24-Apr-2025,0,XX,N,3740.0,3740.0,3550.0,3572.75,3570.05,3824.85,3572.75,105150.0,378317152.5,88350.0,39150.0,150.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,3528.55,378317152.5
FUTSTK,HAL,27-Mar-2025,0,XX,N,3730.15,3730.15,3524.0,3548.25,3547.0,3794.55,3548.25,490200.0,1749377100.0,898500.0,163050.0,150.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,3528.55,1749377100.0
FUTSTK,HAL,27-Feb-2025,0,XX,N,3750.0,3771.5,3505.4,3538.05,3538.55,3782.25,3538.05,3937500.0,14048488207.5,9205350.0,215400.0,150.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,3528.55,14048488207.5
FUTSTK,HAL,27-Feb-2025,0,XX,N,3935.0,4045.0,3671.25,3782.25,3780.5,3950.6,3782.25,5803050.0,22544974005.0,8989950.0,226950.0,150.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,3774.95,22544974005.0
FUTSTK,HAL,27-Mar-2025,0,XX,N,3991.0,4063.4,3695.25,3794.55,3794.0,3967.85,3794.55,547650.0,2133594337.5,735450.0,61950.0,150.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,3774.95,2133594337.5
