FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1184.5,1208.9,1181.4,1201.5,1201.85,1184.5,1201.5,1000500.0,1199787775.0,4223500.0,-55000.0,500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1441.1,1199787775.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1200.7,1220.0,1200.7,1216.75,1216.75,1195.35,1218.95,3000.0,3635225.0,5500.0,500.0,500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1441.1,3635225.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1190.05,1214.25,1187.9,1207.35,1207.2,1190.1,1207.35,167500.0,201968150.0,367500.0,69500.0,500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1441.1,201968150.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1196.8,1222.2,1191.95,1219.5,1222.0,1201.5,1219.5,1032500.0,1251740475.0,4335000.0,111500.0,500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1441.1,1251740475.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1216.75,1216.75,1216.75,1235.2,0.0,0.0,5500.0,0.0,500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1441.1,0.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1202.3,1229.1,1199.0,1226.2,1229.1,1207.35,1226.2,82000.0,99847875.0,385500.0,18000.0,500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1441.1,99847875.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1240.0,1243.0,1239.0,1243.0,1243.0,1216.75,1244.25,1500.0,1861000.0,6000.0,500.0,500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1441.1,1861000.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1248.0,1248.0,1218.2,1231.45,1228.1,1219.5,1231.45,762500.0,936407875.0,4303000.0,-32000.0,500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1441.1,936407875.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1229.15,1241.0,1227.45,1238.45,1235.45,1226.2,1238.45,141500.0,174855325.0,443500.0,58000.0,500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1441.1,174855325.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1228.55,1239.15,1225.0,1234.3,1232.05,1238.45,1234.3,358000.0,441356750.0,607500.0,164000.0,500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1441.1,441356750.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1221.85,1231.7,1216.45,1226.4,1225.1,1231.45,1226.4,1120000.0,1372224225.0,4251500.0,-51500.0,500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1441.1,1372224225.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1236.85,1240.0,1234.0,1234.75,1234.75,1243.0,1243.75,3500.0,4329725.0,8000.0,2000.0,500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1441.1,4329725.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1223.5,1230.4,1213.2,1219.4,1216.0,1226.4,1219.4,1641000.0,2003975825.0,3137000.0,-1114500.0,500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1441.1,2003975825.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1230.0,1234.9,1229.1,1230.0,1230.0,1234.75,1231.65,3500.0,4307325.0,10500.0,2500.0,500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1441.1,4307325.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1230.4,1237.65,1222.0,1227.1,1223.6,1234.3,1227.1,1472500.0,1809326350.0,1712000.0,1104500.0,500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1441.1,1809326350.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1221.2,1232.95,1220.5,1224.85,1224.9,1227.1,1224.85,1743000.0,2136892050.0,2862500.0,1150500.0,500.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,1441.1,2136892050.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1236.5,1236.5,1232.35,1232.55,1232.9,1230.0,1232.55,2000.0,2467075.0,12500.0,2000.0,500.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,1441.1,2467075.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1219.05,1225.5,1213.5,1218.5,1215.85,1219.4,1218.5,1757000.0,2142420675.0,1830500.0,-1306500.0,500.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,1441.1,2142420675.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1212.1,1218.0,1195.7,1200.65,1201.85,1218.5,1200.65,1569500.0,1894035575.0,753500.0,-1077000.0,500.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,1441.1,1894035575.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1220.95,1225.0,1202.1,1208.3,1209.0,1224.85,1208.3,1822000.0,2210994200.0,4033000.0,1170500.0,500.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,1441.1,2210994200.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1229.7,1229.7,1215.1,1216.1,1216.1,1232.55,1216.95,5000.0,6089425.0,16500.0,4000.0,500.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,1441.1,6089425.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1206.85,1215.25,1193.7,1208.55,1209.35,1208.3,1208.55,1515500.0,1829519425.0,4620500.0,587500.0,500.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,1441.1,1829519425.0
FUTSTK,HAVELLS,23-Feb-2023,0,XX,N,1205.45,1206.8,1186.5,1201.3,1198.15,1200.65,1200.05,1125000.0,1349594500.0,94500.0,-659000.0,500.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,1441.1,1349594500.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1214.15,1216.9,1205.35,1214.7,1214.7,1216.1,1215.1,5500.0,6660825.0,19000.0,2500.0,500.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,1441.1,6660825.0
FUTSTK,HAVELLS,27-Apr-2023,0,XX,N,1206.5,1210.0,1194.5,1196.75,1194.5,1214.7,1196.75,10000.0,12027700.0,20500.0,1500.0,500.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,1441.1,12027700.0
FUTSTK,HAVELLS,25-May-2023,0,XX,N,0.0,0.0,0.0,1221.85,0.0,1221.85,1202.2,0.0,0.0,0.0,0.0,500.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,1441.1,0.0
FUTSTK,HAVELLS,29-Mar-2023,0,XX,N,1207.8,1207.85,1186.8,1189.3,1189.95,1208.55,1189.3,771500.0,923367000.0,4676500.0,56000.0,500.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,1441.1,923367000.0
