FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HDFCAMC,27-Apr-2023,0,XX,N,1932.0,1932.0,1924.4,1924.4,1924.4,1934.15,1934.1,600.0,1156920.0,8700.0,0.0,300.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,5393.5,1156920.0
FUTSTK,HDFCAMC,29-Mar-2023,0,XX,N,1925.4,1933.35,1909.85,1919.25,1918.05,1926.95,1919.25,16800.0,32220990.0,99300.0,3600.0,300.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,5393.5,32220990.0
FUTSTK,HDFCAMC,23-Feb-2023,0,XX,N,1929.75,1929.75,1899.65,1911.75,1909.3,1920.95,1911.75,259800.0,496589085.0,1901700.0,10800.0,300.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,5393.5,496589085.0
FUTSTK,HDFCAMC,27-Apr-2023,0,XX,N,1915.45,1930.75,1915.45,1929.4,1928.0,1924.4,1929.4,1500.0,2888235.0,9000.0,300.0,300.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,5393.5,2888235.0
FUTSTK,HDFCAMC,23-Feb-2023,0,XX,N,1900.05,1924.55,1892.35,1920.05,1918.7,1911.75,1920.05,187800.0,359526180.0,1904700.0,3000.0,300.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,5393.5,359526180.0
FUTSTK,HDFCAMC,29-Mar-2023,0,XX,N,1915.7,1930.25,1914.0,1925.55,1926.0,1919.25,1925.55,19800.0,38063400.0,103800.0,4500.0,300.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,5393.5,38063400.0
FUTSTK,HDFCAMC,23-Feb-2023,0,XX,N,1916.2,1935.8,1905.45,1925.5,1926.75,1920.05,1925.5,254700.0,490403805.0,1893000.0,-11700.0,300.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,5393.5,490403805.0
FUTSTK,HDFCAMC,29-Mar-2023,0,XX,N,1920.0,1942.9,1919.45,1934.5,1936.7,1925.55,1934.5,22200.0,42926790.0,105900.0,2100.0,300.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,5393.5,42926790.0
FUTSTK,HDFCAMC,27-Apr-2023,0,XX,N,1938.3,1942.0,1935.85,1942.0,1942.0,1929.4,1947.15,900.0,1744845.0,8400.0,-600.0,300.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,5393.5,1744845.0
FUTSTK,HDFCAMC,27-Apr-2023,0,XX,N,1955.0,1955.0,1935.0,1937.85,1937.85,1942.0,1937.85,1500.0,2913855.0,9300.0,900.0,300.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,5393.5,2913855.0
FUTSTK,HDFCAMC,29-Mar-2023,0,XX,N,1938.5,1954.85,1925.0,1935.35,1936.15,1934.5,1935.35,30300.0,58844535.0,117000.0,11100.0,300.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,5393.5,58844535.0
FUTSTK,HDFCAMC,23-Feb-2023,0,XX,N,1933.5,1952.9,1918.05,1928.8,1929.4,1925.5,1928.8,304200.0,588115560.0,1867500.0,-25500.0,300.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,5393.5,588115560.0
