FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HDFCLIFE,23-Feb-2023,0,XX,N,516.75,518.55,509.2,513.65,513.35,516.45,513.65,2863300.0,1470458660.0,21277300.0,-130900.0,1100.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,764.0,1470458660.0
FUTSTK,HDFCLIFE,27-Apr-2023,0,XX,N,517.45,520.55,516.0,518.65,517.85,522.05,518.65,31900.0,16532450.0,218900.0,8800.0,1100.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,764.0,16532450.0
FUTSTK,HDFCLIFE,29-Mar-2023,0,XX,N,519.7,519.7,512.05,516.55,516.35,519.05,516.55,349800.0,180392795.0,1262800.0,102300.0,1100.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,764.0,180392795.0
FUTSTK,HDFCLIFE,23-Feb-2023,0,XX,N,512.0,520.4,511.0,519.5,518.3,513.65,519.5,3430900.0,1773683395.0,21078200.0,-199100.0,1100.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,764.0,1773683395.0
FUTSTK,HDFCLIFE,27-Apr-2023,0,XX,N,521.0,524.55,520.0,524.55,524.55,518.65,524.55,8800.0,4586065.0,217800.0,-1100.0,1100.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,764.0,4586065.0
FUTSTK,HDFCLIFE,29-Mar-2023,0,XX,N,514.8,522.95,514.65,522.1,521.85,516.55,522.1,606100.0,314492640.0,1548800.0,286000.0,1100.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,764.0,314492640.0
FUTSTK,HDFCLIFE,23-Feb-2023,0,XX,N,520.0,522.4,514.5,515.2,515.4,519.5,515.2,3796100.0,1964172760.0,20435800.0,-642400.0,1100.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,764.0,1964172760.0
FUTSTK,HDFCLIFE,27-Apr-2023,0,XX,N,524.0,527.0,520.95,521.6,521.6,524.55,521.7,16500.0,8651005.0,213400.0,-4400.0,1100.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,764.0,8651005.0
FUTSTK,HDFCLIFE,29-Mar-2023,0,XX,N,522.85,524.8,517.1,518.0,518.25,522.1,518.0,2139500.0,1113024330.0,2853400.0,1304600.0,1100.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,764.0,1113024330.0
FUTSTK,HDFCLIFE,27-Apr-2023,0,XX,N,518.9,518.9,508.0,509.4,509.25,521.6,509.4,48400.0,24778050.0,221100.0,7700.0,1100.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,764.0,24778050.0
