FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HEROMOTOCO,27-Apr-2023,0,XX,N,2568.7,2586.7,2566.85,2566.95,2567.0,2592.25,2566.95,3300.0,8491320.0,13500.0,2100.0,300.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,6002.5,8491320.0
FUTSTK,HEROMOTOCO,29-Mar-2023,0,XX,N,2578.35,2582.0,2548.0,2556.0,2558.6,2576.9,2556.0,123300.0,316006125.0,224400.0,41700.0,300.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,6002.5,316006125.0
FUTSTK,HEROMOTOCO,23-Feb-2023,0,XX,N,2571.9,2580.1,2540.95,2551.95,2557.0,2570.35,2551.95,695100.0,1778792565.0,2895000.0,6900.0,300.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,6002.5,1778792565.0
FUTSTK,HEROMOTOCO,27-Apr-2023,0,XX,N,2564.0,2579.0,2564.0,2579.0,2579.0,2566.95,2607.95,2700.0,6932190.0,15000.0,1500.0,300.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,6002.5,6932190.0
FUTSTK,HEROMOTOCO,29-Mar-2023,0,XX,N,2559.8,2585.0,2551.35,2583.4,2583.0,2556.0,2583.4,175800.0,451054530.0,261900.0,37500.0,300.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,6002.5,451054530.0
FUTSTK,HEROMOTOCO,23-Feb-2023,0,XX,N,2549.25,2581.55,2546.2,2578.75,2577.6,2551.95,2578.75,921000.0,2359415160.0,2891100.0,-3900.0,300.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,6002.5,2359415160.0
FUTSTK,HEROMOTOCO,29-Mar-2023,0,XX,N,2597.55,2597.55,2557.45,2567.05,2565.0,2583.4,2567.05,182400.0,468945525.0,357000.0,95100.0,300.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,6002.5,468945525.0
FUTSTK,HEROMOTOCO,27-Apr-2023,0,XX,N,2581.0,2582.3,2571.0,2574.15,2574.15,2579.0,2591.95,3000.0,7730880.0,15600.0,600.0,300.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,6002.5,7730880.0
FUTSTK,HEROMOTOCO,23-Feb-2023,0,XX,N,2588.4,2588.4,2552.9,2563.2,2562.95,2578.75,2563.2,682800.0,1751883270.0,3042900.0,151800.0,300.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,6002.5,1751883270.0
FUTSTK,HEROMOTOCO,23-Feb-2023,0,XX,N,2508.9,2539.9,2499.2,2537.15,2532.1,2563.2,2537.15,1012800.0,2555521290.0,2910300.0,-132600.0,300.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,6002.5,2555521290.0
