FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,498.4,547.95,492.85,544.25,545.0,503.7,544.25,32262300.0,16966299555.0,32464800.0,1752300.0,2700.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,471.9,16966299555.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,499.7,550.65,497.3,547.2,547.35,506.85,547.2,1771200.0,939617550.0,1768500.0,45900.0,2700.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,471.9,939617550.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,502.7,553.5,502.7,551.75,552.75,510.2,551.75,167400.0,89869230.0,232200.0,-40500.0,2700.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,471.9,89869230.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,551.7,585.5,544.6,580.4,580.3,547.2,580.4,3234600.0,1851496245.0,2025000.0,256500.0,2700.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,471.9,1851496245.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,547.4,582.2,541.0,577.05,576.1,544.25,577.05,38372400.0,21825098055.0,32510700.0,45900.0,2700.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,471.9,21825098055.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,550.2,589.0,550.2,584.6,584.8,551.75,584.6,901800.0,522820305.0,718200.0,486000.0,2700.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,471.9,522820305.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,580.05,595.95,561.0,567.45,566.05,577.05,567.45,37508400.0,21594183120.0,31325400.0,-1185300.0,2700.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,471.9,21594183120.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,586.0,601.15,570.0,575.45,574.8,584.6,575.45,270000.0,157763970.0,772200.0,54000.0,2700.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,471.9,157763970.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,584.0,599.25,564.45,571.2,570.0,580.4,571.2,2448900.0,1421757225.0,2308500.0,283500.0,2700.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,471.9,1421757225.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,572.8,577.3,564.3,564.85,564.3,575.45,564.85,83700.0,47710755.0,777600.0,5400.0,2700.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,471.9,47710755.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,568.0,571.2,554.5,556.45,556.5,567.45,556.45,17825400.0,10025809425.0,32132700.0,807300.0,2700.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,471.9,10025809425.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,566.8,574.85,558.55,560.05,560.0,571.2,560.05,1320300.0,747137250.0,2573100.0,264600.0,2700.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,471.9,747137250.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,554.4,568.65,540.1,565.2,567.45,556.45,565.2,26943300.0,14936807565.0,32632200.0,499500.0,2700.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,471.9,14936807565.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,556.2,572.0,544.2,569.1,571.8,560.05,569.1,3242700.0,1809381510.0,3080700.0,507600.0,2700.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,471.9,1809381510.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,564.2,575.6,550.0,574.15,575.6,564.85,574.15,110700.0,62051265.0,769500.0,-8100.0,2700.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,471.9,62051265.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,566.0,570.9,531.5,543.3,546.6,565.2,543.3,22909500.0,12687844320.0,30755700.0,-1876500.0,2700.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,471.9,12687844320.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,571.25,574.25,536.05,547.4,550.5,569.1,547.4,3323700.0,1855167570.0,3491100.0,410400.0,2700.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,471.9,1855167570.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,577.7,577.7,551.0,553.6,554.6,574.15,553.6,81000.0,45564660.0,788400.0,18900.0,2700.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,471.9,45564660.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,544.7,555.1,533.45,544.05,545.0,547.4,544.05,5707800.0,3090470895.0,4965300.0,1474200.0,2700.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,471.9,3090470895.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,541.95,552.45,528.2,540.7,541.65,543.3,540.7,18883800.0,10151206335.0,29686500.0,-1069200.0,2700.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,471.9,10151206335.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,556.3,556.3,539.8,548.65,549.55,553.6,548.65,302400.0,165028455.0,815400.0,27000.0,2700.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,471.9,165028455.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,540.3,544.75,525.85,531.2,530.45,544.05,531.2,5826600.0,3100754790.0,6893100.0,1927800.0,2700.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,471.9,3100754790.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,548.15,548.15,530.0,535.6,535.6,548.65,535.6,294300.0,157790835.0,861300.0,45900.0,2700.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,471.9,157790835.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,539.2,540.85,522.0,527.5,526.5,540.7,527.5,14199300.0,7502116725.0,28182600.0,-1503900.0,2700.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,471.9,7502116725.0
FUTSTK,HINDPETRO,25-Apr-2024,0,XX,N,534.4,552.0,520.3,550.45,551.0,535.6,550.45,529200.0,284554755.0,869400.0,8100.0,2700.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,471.9,284554755.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,529.0,547.9,515.2,546.1,546.1,531.2,546.1,19666800.0,10476816210.0,14131800.0,7238700.0,2700.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,471.9,10476816210.0
FUTSTK,HINDPETRO,29-Feb-2024,0,XX,N,526.6,544.7,511.65,542.45,542.7,527.5,542.45,26497800.0,13984923375.0,23068800.0,-5113800.0,2700.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,471.9,13984923375.0
FUTSTK,HINDPETRO,28-Mar-2024,0,XX,N,546.5,550.45,527.1,533.95,532.55,546.1,533.95,13375800.0,7196360220.0,18500400.0,4368600.0,2700.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,471.9,7196360220.0
