FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HINDUNILVR,27-Apr-2023,0,XX,N,2635.0,2635.0,2619.0,2620.9,2620.9,2624.15,2620.9,1800.0,4732125.0,10500.0,-300.0,300.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2433.7,4732125.0
FUTSTK,HINDUNILVR,29-Mar-2023,0,XX,N,2608.3,2623.45,2598.8,2601.8,2600.4,2603.85,2601.8,67200.0,175403325.0,176100.0,11100.0,300.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2433.7,175403325.0
FUTSTK,HINDUNILVR,23-Feb-2023,0,XX,N,2577.1,2606.5,2577.1,2585.1,2585.0,2588.45,2585.1,1112400.0,2886097410.0,7912800.0,5700.0,300.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2433.7,2886097410.0
FUTSTK,HINDUNILVR,27-Apr-2023,0,XX,N,2585.75,2592.0,2580.0,2588.8,2588.0,2620.9,2588.8,14700.0,37992630.0,11100.0,600.0,300.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2433.7,37992630.0
FUTSTK,HINDUNILVR,29-Mar-2023,0,XX,N,2585.05,2585.05,2561.0,2571.75,2571.55,2601.8,2571.75,497700.0,1278950790.0,472800.0,296700.0,300.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2433.7,1278950790.0
FUTSTK,HINDUNILVR,23-Feb-2023,0,XX,N,2574.9,2574.95,2543.4,2555.6,2555.0,2585.1,2555.6,1616400.0,4126559340.0,7992300.0,79500.0,300.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2433.7,4126559340.0
FUTSTK,HINDUNILVR,27-Apr-2023,0,XX,N,2582.7,2587.0,2564.0,2567.0,2564.15,2588.8,2567.0,24300.0,62472405.0,29400.0,18300.0,300.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2433.7,62472405.0
FUTSTK,HINDUNILVR,23-Feb-2023,0,XX,N,2556.25,2566.7,2529.6,2533.3,2531.0,2555.6,2533.3,1756800.0,4465852965.0,8143800.0,151500.0,300.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2433.7,4465852965.0
FUTSTK,HINDUNILVR,29-Mar-2023,0,XX,N,2578.35,2583.5,2545.7,2549.1,2548.7,2571.75,2549.1,881700.0,2254734510.0,1081800.0,609000.0,300.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2433.7,2254734510.0
FUTSTK,HINDUNILVR,23-Feb-2023,0,XX,N,2525.05,2550.0,2511.1,2520.55,2516.05,2533.3,2520.55,1629300.0,4111138455.0,7610700.0,-533100.0,300.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2433.7,4111138455.0
