FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1142.0,1142.0,1140.0,1140.0,1140.0,1152.8,1140.0,1275.0,1455200.0,3400.0,425.0,425.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2004.1,1455200.0
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1153.95,1155.0,1129.25,1130.0,1130.0,1146.65,1130.45,9350.0,10637558.75,55675.0,5950.0,425.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2004.1,10637558.75
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1143.65,1148.5,1121.0,1125.1,1125.6,1139.15,1125.1,308975.0,348884795.0,3402550.0,30175.0,425.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2004.1,348884795.0
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1130.0,1139.9,1123.25,1136.45,1134.35,1125.1,1136.45,292400.0,331469803.75,3426350.0,23800.0,425.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2004.1,331469803.75
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1140.0,1140.0,1140.0,1148.4,0.0,0.0,3400.0,0.0,425.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2004.1,0.0
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1133.95,1146.9,1133.0,1144.25,1144.0,1130.0,1144.25,9350.0,10655472.5,58225.0,2550.0,425.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2004.1,10655472.5
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1137.5,1152.0,1136.0,1148.8,1151.3,1144.25,1148.8,21675.0,24793331.25,59925.0,1700.0,425.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2004.1,24793331.25
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1152.7,1156.0,1152.7,1155.5,1156.0,1140.0,1155.5,2550.0,2942572.5,3825.0,425.0,425.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2004.1,2942572.5
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1122.05,1145.5,1122.05,1141.35,1140.9,1136.45,1141.35,246925.0,280922428.75,3451425.0,25075.0,425.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2004.1,280922428.75
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1161.0,1161.0,1161.0,1161.0,1161.0,1155.5,1169.75,425.0,493425.0,4250.0,425.0,425.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2004.1,493425.0
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1141.3,1155.45,1140.15,1153.85,1153.85,1141.35,1153.85,343825.0,395234721.25,3392775.0,-58650.0,425.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2004.1,395234721.25
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1153.95,1161.5,1149.95,1160.55,1159.85,1148.8,1160.55,19125.0,22122716.25,53125.0,-6800.0,425.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2004.1,22122716.25
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1161.45,1163.4,1160.0,1163.4,1163.4,1161.0,1159.65,5525.0,6424682.5,8500.0,4250.0,425.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2004.1,6424682.5
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1151.95,1153.0,1141.35,1144.45,1142.4,1153.85,1144.45,213350.0,244803378.75,3356225.0,-36550.0,425.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2004.1,244803378.75
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1156.6,1160.3,1149.2,1150.95,1149.2,1160.55,1150.95,11900.0,13718702.5,52275.0,-850.0,425.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,2004.1,13718702.5
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1165.0,1165.0,1165.0,1165.0,1165.0,1163.4,1157.85,425.0,495125.0,8075.0,-425.0,425.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2004.1,495125.0
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1142.95,1153.3,1141.35,1143.45,1141.35,1144.45,1143.45,168300.0,193085575.0,3347725.0,-8500.0,425.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2004.1,193085575.0
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1157.65,1160.1,1154.0,1154.05,1154.05,1150.95,1151.3,5950.0,6882768.75,52700.0,425.0,425.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2004.1,6882768.75
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1145.0,1152.5,1136.8,1142.9,1142.6,1154.05,1142.9,80325.0,91759433.75,101150.0,48450.0,425.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2004.1,91759433.75
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1150.0,1151.0,1150.0,1151.0,1151.0,1165.0,1151.0,1275.0,1467100.0,9350.0,1275.0,425.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2004.1,1467100.0
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1136.45,1145.0,1128.5,1135.4,1135.0,1143.45,1135.4,536350.0,608480532.5,3286100.0,-61625.0,425.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2004.1,608480532.5
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1140.0,1140.85,1131.0,1131.5,1131.0,1151.0,1131.5,3400.0,3857278.75,12750.0,3400.0,425.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2004.1,3857278.75
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1142.05,1145.3,1120.6,1125.95,1123.0,1142.9,1125.95,230775.0,260711596.25,219725.0,118575.0,425.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2004.1,260711596.25
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1137.65,1139.55,1112.2,1118.3,1114.8,1135.4,1118.3,561000.0,629164241.25,3329450.0,43350.0,425.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2004.1,629164241.25
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1132.15,1132.15,1132.15,1132.15,1132.15,1131.5,1132.15,850.0,962327.5,13600.0,850.0,425.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2004.1,962327.5
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1112.35,1120.9,1110.7,1117.1,1115.0,1118.3,1117.1,396100.0,442465545.0,3181125.0,-148325.0,425.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2004.1,442465545.0
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1120.0,1128.3,1118.35,1124.5,1123.9,1125.95,1124.5,217600.0,244613382.5,329800.0,110075.0,425.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2004.1,244613382.5
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1117.15,1122.5,1110.45,1113.7,1114.05,1117.1,1113.7,717400.0,800705418.75,2697050.0,-484075.0,425.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2004.1,800705418.75
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1121.45,1129.85,1117.0,1121.15,1120.45,1124.5,1121.15,695300.0,780982380.0,831725.0,501925.0,425.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2004.1,780982380.0
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1132.5,1132.5,1128.0,1128.0,1128.0,1132.15,1128.35,3400.0,3837537.5,16575.0,2975.0,425.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2004.1,3837537.5
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1121.2,1128.5,1105.2,1108.45,1107.25,1121.15,1108.45,1286050.0,1439301791.25,1794350.0,962625.0,425.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2004.1,1439301791.25
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1129.05,1129.95,1111.0,1113.0,1111.0,1128.0,1113.0,6375.0,7167625.0,22100.0,5525.0,425.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2004.1,7167625.0
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1114.2,1121.55,1098.55,1101.65,1101.05,1113.7,1101.65,1194250.0,1328250290.0,1742925.0,-954125.0,425.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2004.1,1328250290.0
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1101.0,1109.0,1096.5,1102.5,1103.1,1108.45,1102.5,1844075.0,2033906328.75,2874275.0,1079925.0,425.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2004.1,2033906328.75
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1094.3,1102.5,1090.1,1096.55,1096.6,1101.65,1096.55,1415675.0,1552128113.75,611150.0,-1131775.0,425.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2004.1,1552128113.75
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1113.0,1116.0,1100.0,1110.65,1111.5,1113.0,1110.65,12325.0,13676160.0,23375.0,1275.0,425.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2004.1,13676160.0
FUTSTK,ICICIGI,29-Mar-2023,0,XX,N,1104.1,1110.7,1087.8,1101.75,1099.65,1102.5,1101.75,926500.0,1017507800.0,3342200.0,467925.0,425.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2004.1,1017507800.0
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1094.9,1109.2,1094.9,1109.2,1109.2,1110.65,1107.8,5100.0,5640238.75,24650.0,1275.0,425.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2004.1,5640238.75
FUTSTK,ICICIGI,23-Feb-2023,0,XX,N,1096.0,1103.05,1080.15,1096.1,1090.5,1096.55,1094.1,808350.0,882061426.25,76075.0,-535075.0,425.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2004.1,882061426.25
FUTSTK,ICICIGI,27-Apr-2023,0,XX,N,1108.5,1109.95,1102.35,1104.05,1103.95,1109.2,1104.05,9350.0,10340505.0,26350.0,1700.0,425.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,2004.1,10340505.0
