FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,IDEA,25-Apr-2024,0,XX,N,14.8,15.7,14.65,15.35,15.3,14.7,15.35,5440000.0,83248000.0,11920000.0,1040000.0,80000.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,9.97,83248000.0
FUTSTK,IDEA,29-Feb-2024,0,XX,N,14.55,15.5,14.3,15.05,15.0,14.35,15.05,838640000.0,12501440000.0,1854240000.0,84400000.0,80000.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,9.97,12501440000.0
FUTSTK,IDEA,28-Mar-2024,0,XX,N,14.7,15.65,14.5,15.2,15.15,14.5,15.2,78960000.0,1182664000.0,105360000.0,8240000.0,80000.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,9.97,1182664000.0
FUTSTK,IDEA,28-Mar-2024,0,XX,N,15.3,15.35,14.9,15.0,15.0,15.2,15.0,40960000.0,616552000.0,118080000.0,12720000.0,80000.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,9.97,616552000.0
FUTSTK,IDEA,29-Feb-2024,0,XX,N,15.15,15.2,14.7,14.9,14.9,15.05,14.9,425840000.0,6359276000.0,1904240000.0,50000000.0,80000.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,9.97,6359276000.0
FUTSTK,IDEA,25-Apr-2024,0,XX,N,15.15,15.5,15.0,15.2,15.2,15.35,15.2,2080000.0,31568000.0,12400000.0,480000.0,80000.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,9.97,31568000.0
FUTSTK,IDEA,25-Apr-2024,0,XX,N,15.2,16.0,14.8,15.9,15.8,15.2,15.9,4000000.0,61448000.0,12480000.0,80000.0,80000.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,9.97,61448000.0
FUTSTK,IDEA,29-Feb-2024,0,XX,N,15.0,15.75,14.4,15.6,15.65,14.9,15.6,829600000.0,12572224000.0,1930880000.0,26640000.0,80000.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,9.97,12572224000.0
FUTSTK,IDEA,28-Mar-2024,0,XX,N,15.05,15.9,14.55,15.75,15.75,15.0,15.75,95440000.0,1463176000.0,145760000.0,27680000.0,80000.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,9.97,1463176000.0
FUTSTK,IDEA,25-Apr-2024,0,XX,N,15.9,15.9,14.6,14.8,14.7,15.9,14.8,6000000.0,91048000.0,15120000.0,2640000.0,80000.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,9.97,91048000.0
FUTSTK,IDEA,29-Feb-2024,0,XX,N,15.75,15.8,14.35,14.5,14.5,15.6,14.5,641360000.0,9595832000.0,1970560000.0,39680000.0,80000.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,9.97,9595832000.0
FUTSTK,IDEA,28-Mar-2024,0,XX,N,15.75,15.75,14.5,14.65,14.6,15.75,14.65,67040000.0,1013208000.0,173360000.0,27600000.0,80000.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,9.97,1013208000.0
