FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,IEX,23-Feb-2023,0,XX,N,139.1,140.65,137.85,138.7,138.6,140.3,138.7,3015000.0,418600875.0,37132500.0,607500.0,3750.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,141.12,418600875.0
FUTSTK,IEX,27-Apr-2023,0,XX,N,141.5,141.5,139.85,140.15,140.15,142.05,140.2,26250.0,3689062.5,161250.0,18750.0,3750.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,141.12,3689062.5
FUTSTK,IEX,29-Mar-2023,0,XX,N,141.2,141.2,138.7,139.55,139.55,141.1,139.55,303750.0,42412875.0,1713750.0,105000.0,3750.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,141.12,42412875.0
FUTSTK,IEX,23-Feb-2023,0,XX,N,138.95,139.05,137.3,138.7,138.35,138.7,138.7,2550000.0,352701375.0,37072500.0,-60000.0,3750.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,141.12,352701375.0
FUTSTK,IEX,27-Apr-2023,0,XX,N,139.2,140.6,139.2,140.2,140.15,140.15,140.2,67500.0,9448500.0,210000.0,48750.0,3750.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,141.12,9448500.0
FUTSTK,IEX,29-Mar-2023,0,XX,N,139.55,139.8,138.2,139.2,139.15,139.55,139.2,491250.0,68299312.5,1721250.0,7500.0,3750.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,141.12,68299312.5
FUTSTK,IEX,29-Mar-2023,0,XX,N,139.8,139.8,136.95,137.15,137.1,139.2,137.15,1188750.0,163296562.5,2186250.0,465000.0,3750.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,141.12,163296562.5
FUTSTK,IEX,23-Feb-2023,0,XX,N,139.2,139.3,136.1,136.35,136.4,138.7,136.35,3326250.0,454466437.5,38070000.0,997500.0,3750.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,141.12,454466437.5
FUTSTK,IEX,27-Apr-2023,0,XX,N,138.45,138.75,137.95,138.0,137.95,140.2,138.0,82500.0,11403562.5,288750.0,78750.0,3750.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,141.12,11403562.5
FUTSTK,IEX,23-Feb-2023,0,XX,N,136.35,137.15,134.7,135.5,135.8,136.35,135.5,3783750.0,512403000.0,38426250.0,356250.0,3750.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,141.12,512403000.0
