FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,522.5,534.85,522.5,534.85,534.85,516.6,532.35,52000.0,27559300.0,88000.0,-14000.0,2000.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,27559300.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,511.9,528.95,511.1,526.45,526.95,509.05,526.45,10572000.0,5513530400.0,14374000.0,-702000.0,2000.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,5513530400.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,517.8,531.9,517.1,530.3,530.75,512.55,530.3,478000.0,251312300.0,462000.0,26000.0,2000.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,251312300.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,525.6,531.6,524.2,526.65,527.1,526.45,526.65,5196000.0,2745453300.0,13320000.0,-1054000.0,2000.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,2745453300.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,529.65,535.0,528.9,530.25,531.0,530.3,530.25,270000.0,143697800.0,498000.0,36000.0,2000.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,143697800.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,537.8,537.8,533.9,533.95,534.0,534.85,533.95,20000.0,10734900.0,96000.0,8000.0,2000.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,10734900.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,533.0,542.55,528.95,539.5,539.55,530.25,539.5,646000.0,346876800.0,506000.0,8000.0,2000.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,346876800.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,525.15,538.85,525.15,535.55,535.7,526.65,535.55,10158000.0,5410434700.0,13724000.0,404000.0,2000.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,5410434700.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,537.0,544.6,533.65,539.55,539.55,533.95,540.5,26000.0,13993600.0,102000.0,6000.0,2000.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,,13993600.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,536.0,539.6,528.4,531.3,530.0,535.55,531.3,10334000.0,5512541100.0,14354000.0,630000.0,2000.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,5512541100.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,544.15,544.15,540.0,540.0,540.0,539.55,537.55,8000.0,4344900.0,106000.0,4000.0,2000.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,4344900.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,537.15,543.3,532.25,534.5,534.2,539.5,534.5,428000.0,230112900.0,516000.0,10000.0,2000.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,,230112900.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,530.0,533.2,517.35,525.55,525.7,531.3,525.55,6096000.0,3197959900.0,13826000.0,-528000.0,2000.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,,3197959900.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,533.35,535.65,521.8,529.5,529.35,534.5,529.5,336000.0,177518800.0,568000.0,52000.0,2000.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,,177518800.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,530.0,533.6,530.0,533.6,533.6,540.0,533.6,6000.0,3192400.0,108000.0,2000.0,2000.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,,3192400.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,531.2,536.75,529.0,536.75,536.75,533.6,536.75,22000.0,11690500.0,108000.0,0.0,2000.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,,11690500.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,518.85,529.75,517.35,529.0,528.65,525.55,529.0,4748000.0,2488516400.0,14556000.0,730000.0,2000.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,,2488516400.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,523.3,532.9,521.6,532.35,532.45,529.5,532.35,786000.0,413919600.0,820000.0,252000.0,2000.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,,413919600.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,532.55,535.3,531.0,532.25,531.95,532.35,532.25,220000.0,117303100.0,828000.0,8000.0,2000.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,,117303100.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,528.9,532.15,527.05,528.8,528.0,529.0,528.8,3792000.0,2007779600.0,14748000.0,192000.0,2000.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,,2007779600.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,536.75,542.1,535.85,536.05,536.25,536.75,536.05,70000.0,37672100.0,154000.0,46000.0,2000.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,,37672100.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,530.15,541.5,526.35,538.0,537.85,528.8,538.0,5582000.0,2989550100.0,15168000.0,420000.0,2000.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,,2989550100.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,532.25,544.4,530.35,541.4,541.8,532.25,541.4,534000.0,287280900.0,910000.0,82000.0,2000.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,,287280900.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,538.6,548.4,538.6,545.45,545.6,536.05,545.45,38000.0,20674900.0,162000.0,8000.0,2000.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,,20674900.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,550.5,551.0,550.15,550.85,550.9,545.45,550.85,22000.0,12117700.0,152000.0,-10000.0,2000.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,,12117700.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,540.9,548.0,540.7,546.7,546.25,541.4,546.7,406000.0,221489300.0,980000.0,70000.0,2000.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,,221489300.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,537.7,545.0,536.05,543.2,542.85,538.0,543.2,5032000.0,2726741600.0,14548000.0,-620000.0,2000.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,,2726741600.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,546.05,554.25,546.05,551.85,550.55,546.7,551.85,424000.0,233778900.0,1044000.0,64000.0,2000.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,,233778900.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,554.25,557.5,554.25,555.0,555.0,550.85,555.0,22000.0,12223600.0,156000.0,4000.0,2000.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,,12223600.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,542.75,551.25,542.75,548.55,547.3,543.2,548.55,4612000.0,2526331600.0,14628000.0,80000.0,2000.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,,2526331600.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,559.0,566.7,559.0,564.15,562.0,555.0,564.15,16000.0,8984600.0,154000.0,-2000.0,2000.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,,8984600.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,552.05,568.3,551.25,560.4,559.75,551.85,560.4,1308000.0,732568200.0,1232000.0,188000.0,2000.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,,732568200.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,548.0,564.55,547.55,556.5,556.0,548.55,556.5,7866000.0,4374398900.0,14602000.0,-26000.0,2000.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,,4374398900.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,560.4,585.95,556.15,582.25,583.0,560.4,582.25,3358000.0,1932433500.0,1908000.0,676000.0,2000.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,,1932433500.0
FUTSTK,INDHOTEL,29-Feb-2024,0,XX,N,559.35,582.65,552.25,578.05,579.2,556.5,578.05,13410000.0,7663921800.0,14260000.0,-342000.0,2000.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,,7663921800.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,572.5,587.8,556.9,585.8,586.4,564.15,585.8,132000.0,75872600.0,108000.0,-46000.0,2000.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,,75872600.0
FUTSTK,INDHOTEL,28-Mar-2024,0,XX,N,585.0,604.85,582.0,597.2,597.85,582.25,597.2,5764000.0,3442647800.0,3966000.0,2058000.0,2000.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,,3442647800.0
FUTSTK,INDHOTEL,25-Apr-2024,0,XX,N,586.9,608.2,586.9,601.7,602.45,585.8,601.7,76000.0,45637700.0,136000.0,28000.0,2000.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,,45637700.0
