FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INDIANB,28-Apr-2026,0,XX,N,887.55,892.75,887.55,888.1,888.45,879.05,888.1,8000.0,7109450.0,21000.0,-2000.0,1000.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,879.25,7109450.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,877.0,888.25,872.9,885.55,885.45,874.35,885.55,62000.0,54661300.0,329000.0,-3000.0,1000.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,879.25,54661300.0
FUTSTK,INDIANB,24-Feb-2026,0,XX,N,868.0,886.75,867.4,882.6,881.1,871.05,882.6,1773000.0,1556264150.0,8043000.0,-65000.0,1000.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,879.25,1556264150.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,884.2,884.2,863.25,874.35,872.7,841.9,874.35,94000.0,82168150.0,332000.0,10000.0,1000.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,870.1,82168150.0
FUTSTK,INDIANB,28-Apr-2026,0,XX,N,882.25,882.25,873.8,879.05,879.05,843.75,879.05,57000.0,50104800.0,23000.0,2000.0,1000.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,870.1,50104800.0
FUTSTK,INDIANB,24-Feb-2026,0,XX,N,871.1,895.25,859.2,871.05,869.05,838.35,871.05,3352000.0,2925001600.0,8108000.0,93000.0,1000.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,870.1,2925001600.0
FUTSTK,INDIANB,24-Feb-2026,0,XX,N,835.05,849.8,809.2,838.35,841.9,844.2,838.35,6153000.0,5079361400.0,8015000.0,-1095000.0,1000.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,834.8,5079361400.0
FUTSTK,INDIANB,28-Apr-2026,0,XX,N,842.1,852.4,816.0,843.75,845.0,850.0,843.75,23000.0,19031700.0,21000.0,-2000.0,1000.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,834.8,19031700.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,831.05,853.25,813.55,841.9,844.0,851.75,841.9,291000.0,241610900.0,322000.0,56000.0,1000.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,834.8,241610900.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,899.0,909.0,836.1,851.75,847.8,913.4,851.75,472000.0,410603850.0,266000.0,109000.0,1000.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,843.15,410603850.0
FUTSTK,INDIANB,24-Feb-2026,0,XX,N,908.0,908.0,830.0,844.2,846.9,912.0,844.2,4051000.0,3541582950.0,9110000.0,-192000.0,1000.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,843.15,3541582950.0
FUTSTK,INDIANB,28-Apr-2026,0,XX,N,897.75,908.6,840.05,850.0,844.9,917.35,850.0,45000.0,39060200.0,23000.0,-13000.0,1000.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,843.15,39060200.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,906.0,926.65,905.7,913.4,913.55,916.35,913.4,79000.0,72296950.0,157000.0,6000.0,1000.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,911.7,72296950.0
FUTSTK,INDIANB,24-Feb-2026,0,XX,N,909.0,924.0,900.05,912.0,911.35,912.0,912.0,3301000.0,3016154950.0,9302000.0,-213000.0,1000.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,911.7,3016154950.0
FUTSTK,INDIANB,28-Apr-2026,0,XX,N,930.0,930.0,914.1,917.35,916.6,920.75,917.35,14000.0,12882550.0,36000.0,1000.0,1000.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,911.7,12882550.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,904.7,921.9,903.35,916.35,917.4,904.25,916.35,128000.0,117106150.0,151000.0,11000.0,1000.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,909.5,117106150.0
FUTSTK,INDIANB,24-Feb-2026,0,XX,N,899.2,919.0,898.15,912.0,913.5,901.0,912.0,3753000.0,3418253250.0,9515000.0,-147000.0,1000.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,909.5,3418253250.0
FUTSTK,INDIANB,28-Apr-2026,0,XX,N,920.0,924.05,913.1,920.75,920.85,908.7,920.75,45000.0,41501350.0,35000.0,32000.0,1000.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,909.5,41501350.0
FUTSTK,INDIANB,30-Mar-2026,0,XX,N,886.15,906.4,880.45,904.25,906.0,886.0,904.25,97000.0,86920600.0,140000.0,23000.0,1000.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,898.35,86920600.0
