FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INDUSINDBK,25-Apr-2024,0,XX,N,1566.45,1576.05,1565.0,1565.0,1565.0,1565.85,1565.0,3500.0,5495325.0,11500.0,500.0,500.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,,5495325.0
FUTSTK,INDUSINDBK,29-Feb-2024,0,XX,N,1533.95,1557.6,1528.5,1541.15,1536.05,1544.3,1541.15,4519000.0,6984616850.0,23448500.0,-303000.0,500.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,,6984616850.0
FUTSTK,INDUSINDBK,28-Mar-2024,0,XX,N,1540.95,1567.45,1540.95,1551.3,1548.5,1555.15,1551.3,118500.0,184392075.0,433000.0,13000.0,500.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,,184392075.0
FUTSTK,INDUSINDBK,25-Apr-2024,0,XX,N,1560.0,1563.2,1540.0,1543.2,1541.9,1565.0,1543.2,12500.0,19390625.0,18500.0,7000.0,500.0,06-Feb-2024,2024-02-05T18:30:00.000+00:00,,19390625.0
FUTSTK,INDUSINDBK,28-Mar-2024,0,XX,N,1554.7,1556.95,1525.0,1530.7,1534.75,1551.3,1530.7,319000.0,490535725.0,544500.0,111500.0,500.0,06-Feb-2024,2024-02-05T18:30:00.000+00:00,,490535725.0
FUTSTK,INDUSINDBK,29-Feb-2024,0,XX,N,1560.0,1560.0,1513.65,1520.35,1521.25,1541.15,1520.35,4004000.0,6112332875.0,23907500.0,459000.0,500.0,06-Feb-2024,2024-02-05T18:30:00.000+00:00,,6112332875.0
FUTSTK,INDUSINDBK,29-Feb-2024,0,XX,N,1528.6,1529.8,1501.15,1525.0,1529.3,1520.35,1525.0,4162000.0,6321996250.0,23977000.0,69500.0,500.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,6321996250.0
FUTSTK,INDUSINDBK,28-Mar-2024,0,XX,N,1537.5,1540.65,1512.85,1537.05,1540.0,1530.7,1537.05,178000.0,271925500.0,553500.0,9000.0,500.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,271925500.0
FUTSTK,INDUSINDBK,25-Apr-2024,0,XX,N,1543.1,1547.45,1525.5,1547.45,1547.45,1543.2,1547.45,15500.0,23823325.0,23000.0,4500.0,500.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,,23823325.0
FUTSTK,INDUSINDBK,29-Feb-2024,0,XX,N,1528.05,1549.1,1476.4,1484.3,1490.7,1525.0,1484.3,6242000.0,9429500750.0,24075000.0,98000.0,500.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,9429500750.0
FUTSTK,INDUSINDBK,28-Mar-2024,0,XX,N,1544.65,1559.9,1490.05,1496.3,1502.05,1537.05,1496.3,391000.0,594870775.0,628000.0,74500.0,500.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,594870775.0
FUTSTK,INDUSINDBK,25-Apr-2024,0,XX,N,1562.5,1568.35,1502.05,1507.55,1511.1,1547.45,1507.55,36000.0,55206000.0,32500.0,9500.0,500.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,,55206000.0
