FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INDUSTOWER,27-Apr-2023,0,XX,N,157.5,160.7,156.75,157.95,159.0,160.9,157.95,134400.0,21234360.0,313600.0,36400.0,2800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,397.0,21234360.0
FUTSTK,INDUSTOWER,23-Feb-2023,0,XX,N,162.95,162.95,155.3,159.05,159.65,161.05,159.05,12182800.0,1932538160.0,28193200.0,-772800.0,2800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,397.0,1932538160.0
FUTSTK,INDUSTOWER,29-Mar-2023,0,XX,N,160.15,160.95,154.8,158.2,158.85,160.5,158.2,1439200.0,227052560.0,2931600.0,431200.0,2800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,397.0,227052560.0
FUTSTK,INDUSTOWER,23-Feb-2023,0,XX,N,159.8,165.45,157.45,161.05,161.35,159.05,161.05,11152400.0,1803882220.0,28635600.0,442400.0,2800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,397.0,1803882220.0
FUTSTK,INDUSTOWER,27-Apr-2023,0,XX,N,157.5,164.0,157.5,160.05,160.25,157.95,160.05,98000.0,15729420.0,330400.0,16800.0,2800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,397.0,15729420.0
FUTSTK,INDUSTOWER,29-Mar-2023,0,XX,N,158.15,164.3,156.9,160.2,160.15,158.2,160.2,2074800.0,333106060.0,3578400.0,646800.0,2800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,397.0,333106060.0
FUTSTK,INDUSTOWER,23-Feb-2023,0,XX,N,161.4,163.85,156.9,158.6,159.5,161.05,158.6,9016000.0,1436287020.0,29128400.0,492800.0,2800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,397.0,1436287020.0
FUTSTK,INDUSTOWER,29-Mar-2023,0,XX,N,160.5,161.65,155.85,157.55,158.45,160.2,157.55,982800.0,155157520.0,3855600.0,277200.0,2800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,397.0,155157520.0
FUTSTK,INDUSTOWER,27-Apr-2023,0,XX,N,161.0,161.0,156.5,157.6,157.75,160.05,157.6,114800.0,18135600.0,369600.0,39200.0,2800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,397.0,18135600.0
FUTSTK,INDUSTOWER,27-Apr-2023,0,XX,N,161.0,167.4,160.95,166.7,166.8,157.6,166.7,361200.0,59177860.0,394800.0,25200.0,2800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,397.0,59177860.0
FUTSTK,INDUSTOWER,23-Feb-2023,0,XX,N,160.7,168.4,160.5,167.75,167.45,158.6,167.75,20627600.0,3412737720.0,25516400.0,-3612000.0,2800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,397.0,3412737720.0
FUTSTK,INDUSTOWER,29-Mar-2023,0,XX,N,159.2,167.7,159.2,166.95,166.7,157.55,166.95,3147200.0,515954460.0,3911600.0,56000.0,2800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,397.0,515954460.0
FUTSTK,INDUSTOWER,27-Apr-2023,0,XX,N,165.25,167.5,161.6,162.9,163.0,166.7,162.9,70000.0,11508840.0,392000.0,-2800.0,2800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,397.0,11508840.0
FUTSTK,INDUSTOWER,29-Mar-2023,0,XX,N,166.25,167.6,161.15,162.85,163.4,166.95,162.85,2422000.0,394562560.0,4936400.0,1024800.0,2800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,397.0,394562560.0
FUTSTK,INDUSTOWER,23-Feb-2023,0,XX,N,167.75,168.7,162.2,163.9,164.75,167.75,163.9,8674400.0,1428549920.0,25132800.0,-383600.0,2800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,397.0,1428549920.0
FUTSTK,INDUSTOWER,29-Mar-2023,0,XX,N,163.95,166.15,162.05,165.0,165.6,162.85,165.0,2419200.0,397746020.0,5619600.0,683200.0,2800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,397.0,397746020.0
