FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INFY,25-Apr-2024,0,XX,N,1683.75,1699.95,1664.85,1695.2,1694.0,1713.25,1695.2,77200.0,129538740.0,130800.0,11600.0,400.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,1545.0,129538740.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1669.7,1671.9,1638.15,1669.7,1669.1,1688.9,1669.7,7456000.0,12328556060.0,22880800.0,-494800.0,400.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,1545.0,12328556060.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1675.0,1683.8,1651.0,1681.7,1678.7,1701.1,1681.7,540800.0,900439720.0,853200.0,25600.0,400.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,1545.0,900439720.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1708.0,1715.9,1692.05,1706.55,1709.5,1695.2,1706.55,98400.0,167765060.0,139600.0,8800.0,400.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,1545.0,167765060.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1680.0,1691.65,1668.6,1683.85,1686.4,1669.7,1683.85,5490000.0,9231124940.0,22570400.0,-310400.0,400.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,1545.0,9231124940.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1691.55,1703.35,1678.9,1693.5,1697.0,1681.7,1693.5,1179200.0,1992672540.0,1458400.0,605200.0,400.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,1545.0,1992672540.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1709.25,1722.0,1706.95,1714.6,1713.3,1693.5,1714.6,486400.0,833537200.0,1492400.0,34000.0,400.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,1545.0,833537200.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1720.0,1733.3,1720.0,1727.7,1726.3,1706.55,1727.7,36400.0,62846980.0,135200.0,-4400.0,400.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,1545.0,62846980.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1696.3,1711.9,1692.0,1703.9,1702.15,1683.85,1703.9,5598400.0,9531515120.0,22403600.0,-166800.0,400.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,1545.0,9531515120.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1707.35,1711.7,1688.6,1701.1,1700.0,1703.9,1701.1,5137200.0,8744047660.0,21789200.0,-614400.0,400.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,1545.0,8744047660.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1717.0,1722.65,1701.0,1712.15,1710.5,1714.6,1712.15,792000.0,1356349160.0,1677200.0,184800.0,400.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,1545.0,1356349160.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1727.7,1736.0,1714.0,1725.9,1725.3,1727.7,1725.9,28800.0,49761580.0,148000.0,12800.0,400.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,1545.0,49761580.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1704.05,1708.5,1685.0,1697.15,1698.0,1712.15,1697.15,742000.0,1257744580.0,1856000.0,178800.0,400.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,1545.0,1257744580.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1692.85,1697.2,1672.75,1686.05,1687.45,1701.1,1686.05,4149600.0,6988477480.0,21416800.0,-372400.0,400.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,1545.0,6988477480.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1719.85,1720.0,1700.0,1711.7,1711.85,1725.9,1711.7,64800.0,110811540.0,178400.0,30400.0,400.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,1545.0,110811540.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1695.0,1695.05,1659.5,1667.85,1666.0,1697.15,1667.85,1411600.0,2364079320.0,2439200.0,583200.0,400.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,1545.0,2364079320.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1700.1,1700.1,1674.0,1682.8,1679.8,1711.7,1682.8,85200.0,143839660.0,223600.0,45200.0,400.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,1545.0,143839660.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1674.35,1674.45,1647.55,1655.9,1653.8,1686.05,1655.9,4981600.0,8281148920.0,21772800.0,356000.0,400.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,1545.0,8281148920.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1675.8,1693.8,1660.05,1691.1,1690.0,1667.85,1691.1,3142000.0,5266876340.0,3654800.0,1215600.0,400.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,1545.0,5266876340.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1666.3,1683.0,1649.0,1679.85,1679.35,1655.9,1679.85,8268800.0,13785189520.0,20684800.0,-1088000.0,400.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,1545.0,13785189520.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1685.15,1706.0,1674.85,1703.5,1702.0,1682.8,1703.5,100400.0,169800360.0,225200.0,1600.0,400.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,1545.0,169800360.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1702.0,1715.0,1700.0,1701.55,1701.5,1703.5,1701.55,47600.0,81287720.0,244000.0,18800.0,400.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,1545.0,81287720.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1703.7,1706.0,1685.45,1688.75,1688.5,1691.1,1688.75,3357600.0,5685829780.0,5446000.0,1791200.0,400.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,1545.0,5685829780.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1696.1,1696.85,1675.2,1678.15,1677.05,1679.85,1678.15,5786400.0,9734591880.0,19071200.0,-1613600.0,400.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,1545.0,9734591880.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1695.0,1695.0,1672.0,1685.45,1685.3,1701.55,1685.45,87200.0,146716520.0,282800.0,38800.0,400.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,1545.0,146716520.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1686.35,1686.35,1658.5,1673.05,1672.95,1688.75,1673.05,7399200.0,12344959380.0,10369200.0,4923200.0,400.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,1545.0,12344959380.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1676.35,1676.4,1647.65,1662.5,1663.0,1678.15,1662.5,9000400.0,14922186380.0,14812000.0,-4259200.0,400.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,1545.0,14922186380.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1674.5,1683.45,1665.55,1675.5,1676.0,1673.05,1675.5,8860800.0,14817906740.0,16487200.0,6118000.0,400.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,1545.0,14817906740.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1694.0,1694.0,1680.0,1690.05,1690.0,1685.45,1690.05,44800.0,75521520.0,298400.0,15600.0,400.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,1545.0,75521520.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1664.5,1672.9,1655.0,1665.05,1665.2,1662.5,1665.05,9320000.0,15488277600.0,8609200.0,-6202800.0,400.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,1545.0,15488277600.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1677.45,1696.7,1671.1,1681.25,1677.0,1675.5,1681.25,9665200.0,16276929560.0,21615600.0,5128400.0,400.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,1545.0,16276929560.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1691.0,1709.0,1688.0,1692.4,1689.0,1690.05,1692.4,138000.0,234293160.0,330000.0,31600.0,400.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,1545.0,234293160.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1669.15,1685.9,1662.05,1670.5,1664.55,1665.05,1670.5,7735600.0,12946089940.0,3442000.0,-5167200.0,400.0,28-Feb-2024,2024-02-27T18:30:00.000+00:00,1545.0,12946089940.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1656.75,1688.3,1656.75,1682.85,1685.0,1681.25,1682.85,13182400.0,22071488380.0,25255200.0,3639600.0,400.0,29-Feb-2024,2024-02-28T18:30:00.000+00:00,1545.0,22071488380.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1685.0,1699.7,1676.05,1695.85,1698.55,1692.4,1695.85,117200.0,197809140.0,355200.0,25200.0,400.0,29-Feb-2024,2024-02-28T18:30:00.000+00:00,1545.0,197809140.0
FUTSTK,INFY,29-Feb-2024,0,XX,N,1663.9,1681.1,1650.85,1671.05,1678.8,1670.5,1673.9,5092000.0,8467838220.0,424000.0,-3018000.0,400.0,29-Feb-2024,2024-02-28T18:30:00.000+00:00,1545.0,8467838220.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1692.5,1692.55,1673.0,1674.4,1674.9,1695.85,1674.4,246400.0,414081560.0,455200.0,100000.0,400.0,01-Mar-2024,2024-02-29T18:30:00.000+00:00,1545.0,414081560.0
FUTSTK,INFY,30-May-2024,0,XX,N,1700.0,1700.0,1683.0,1683.9,1684.5,1704.9,1683.9,14000.0,23654500.0,10400.0,10400.0,400.0,01-Mar-2024,2024-02-29T18:30:00.000+00:00,1545.0,23654500.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1682.95,1682.95,1659.0,1661.15,1662.15,1682.85,1661.15,9554000.0,15934505240.0,26145600.0,890400.0,400.0,01-Mar-2024,2024-02-29T18:30:00.000+00:00,1545.0,15934505240.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1664.9,1667.0,1661.0,1665.0,1665.0,1661.15,1665.0,780000.0,1298388860.0,26242800.0,97200.0,400.0,02-Mar-2024,2024-03-01T18:30:00.000+00:00,1545.0,1298388860.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1677.0,1687.05,1674.9,1677.75,1678.8,1674.4,1677.75,21200.0,35565180.0,458800.0,3600.0,400.0,02-Mar-2024,2024-03-01T18:30:00.000+00:00,1545.0,35565180.0
FUTSTK,INFY,30-May-2024,0,XX,N,1684.5,1689.35,1681.0,1685.6,1689.0,1683.9,1685.6,2800.0,4720900.0,11600.0,1200.0,400.0,02-Mar-2024,2024-03-01T18:30:00.000+00:00,1545.0,4720900.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1667.9,1668.6,1638.15,1641.15,1641.0,1665.0,1641.15,6014800.0,9921386260.0,27040800.0,798000.0,400.0,04-Mar-2024,2024-03-03T18:30:00.000+00:00,1545.0,9921386260.0
FUTSTK,INFY,30-May-2024,0,XX,N,1684.9,1684.9,1661.3,1663.8,1663.7,1685.6,1663.8,41600.0,69453180.0,36800.0,25200.0,400.0,04-Mar-2024,2024-03-03T18:30:00.000+00:00,1545.0,69453180.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1674.85,1678.05,1650.8,1653.15,1652.75,1677.75,1653.15,338800.0,563051740.0,593200.0,134400.0,400.0,04-Mar-2024,2024-03-03T18:30:00.000+00:00,1545.0,563051740.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1654.3,1656.0,1616.5,1622.65,1623.15,1653.15,1622.65,590000.0,962157020.0,771600.0,178400.0,400.0,05-Mar-2024,2024-03-04T18:30:00.000+00:00,1545.0,962157020.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1638.35,1644.0,1606.0,1610.8,1611.3,1641.15,1610.8,7463200.0,12071122000.0,28108000.0,1067200.0,400.0,05-Mar-2024,2024-03-04T18:30:00.000+00:00,1545.0,12071122000.0
FUTSTK,INFY,30-May-2024,0,XX,N,1663.8,1665.55,1630.0,1633.45,1635.45,1663.8,1633.45,74400.0,122060940.0,84400.0,47600.0,400.0,05-Mar-2024,2024-03-04T18:30:00.000+00:00,1545.0,122060940.0
FUTSTK,INFY,30-May-2024,0,XX,N,1626.9,1650.0,1608.45,1647.6,1647.2,1633.45,1647.6,66000.0,107639240.0,118400.0,34000.0,400.0,06-Mar-2024,2024-03-05T18:30:00.000+00:00,1545.0,107639240.0
FUTSTK,INFY,25-Apr-2024,0,XX,N,1622.2,1639.5,1596.75,1636.85,1637.9,1622.65,1636.85,511200.0,826004000.0,834800.0,63200.0,400.0,06-Mar-2024,2024-03-05T18:30:00.000+00:00,1545.0,826004000.0
FUTSTK,INFY,28-Mar-2024,0,XX,N,1610.3,1628.0,1584.3,1625.25,1626.3,1610.8,1625.25,11985200.0,19233548980.0,28944400.0,836400.0,400.0,06-Mar-2024,2024-03-05T18:30:00.000+00:00,1545.0,19233548980.0
