FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INOXWIND,29-May-2025,0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,158.37,
FUTSTK,INOXWIND,24-Apr-2025,0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,158.37,
FUTSTK,INOXWIND,26-Jun-2025,0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,158.37,
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,166.93,166.93,161.92,161.92,161.92,161.27,165.68,51600.0,8472526.5,29025.0,29025.0,3225.0,28-Mar-2025,2025-03-27T18:30:00.000+00:00,163.04,8472526.5
FUTSTK,INOXWIND,29-May-2025,0,XX,N,161.6,167.95,160.85,162.49,161.89,160.38,162.49,861075.0,141573146.25,512775.0,512775.0,3225.0,28-Mar-2025,2025-03-27T18:30:00.000+00:00,163.04,141573146.25
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,164.0,171.0,162.9,163.96,163.99,159.24,163.96,6088800.0,1014734833.5,3179850.0,3179850.0,3225.0,28-Mar-2025,2025-03-27T18:30:00.000+00:00,163.04,1014734833.5
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,163.99,165.1,156.52,157.53,158.85,163.96,157.53,2031750.0,324989603.25,3976425.0,796575.0,3225.0,01-Apr-2025,2025-03-31T18:30:00.000+00:00,156.73,324989603.25
FUTSTK,INOXWIND,29-May-2025,0,XX,N,160.28,161.0,155.03,155.39,155.03,162.49,155.39,167700.0,26613699.75,564375.0,51600.0,3225.0,01-Apr-2025,2025-03-31T18:30:00.000+00:00,156.73,26613699.75
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,159.88,159.88,156.99,156.99,156.99,161.92,159.17,6450.0,1021905.75,32250.0,3225.0,3225.0,01-Apr-2025,2025-03-31T18:30:00.000+00:00,156.73,1021905.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,157.44,161.8,154.96,160.13,159.78,157.53,160.13,1751175.0,277632155.25,4073175.0,96750.0,3225.0,02-Apr-2025,2025-04-01T18:30:00.000+00:00,159.98,277632155.25
FUTSTK,INOXWIND,29-May-2025,0,XX,N,155.39,161.15,154.42,159.22,159.0,155.39,159.22,448275.0,70921716.75,796575.0,232200.0,3225.0,02-Apr-2025,2025-04-01T18:30:00.000+00:00,159.98,70921716.75
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,0.0,0.0,0.0,156.99,156.99,156.99,162.44,0.0,0.0,32250.0,0.0,3225.0,02-Apr-2025,2025-04-01T18:30:00.000+00:00,159.98,0.0
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,159.5,162.04,159.5,162.04,162.04,156.99,160.94,6450.0,1036966.5,38700.0,6450.0,3225.0,03-Apr-2025,2025-04-02T18:30:00.000+00:00,158.56,1036966.5
FUTSTK,INOXWIND,29-May-2025,0,XX,N,157.34,162.8,157.34,158.67,158.49,159.22,158.67,396675.0,63819589.5,973950.0,177375.0,3225.0,03-Apr-2025,2025-04-02T18:30:00.000+00:00,158.56,63819589.5
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,158.9,163.3,158.53,159.26,159.23,160.13,159.26,1793100.0,289092934.5,4569825.0,496650.0,3225.0,03-Apr-2025,2025-04-02T18:30:00.000+00:00,158.56,289092934.5
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,151.0,151.5,148.0,151.5,151.5,162.04,151.5,16125.0,2420394.75,45150.0,6450.0,3225.0,04-Apr-2025,2025-04-03T18:30:00.000+00:00,153.85,2420394.75
FUTSTK,INOXWIND,29-May-2025,0,XX,N,155.01,155.01,148.5,151.89,153.25,158.67,151.89,280575.0,42426261.75,964275.0,-9675.0,3225.0,04-Apr-2025,2025-04-03T18:30:00.000+00:00,153.85,42426261.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,159.18,159.18,149.63,153.92,155.38,159.26,153.92,3982875.0,608773704.0,4298925.0,-270900.0,3225.0,04-Apr-2025,2025-04-03T18:30:00.000+00:00,153.85,608773704.0
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,139.0,142.99,138.0,141.38,141.18,153.92,141.38,2838000.0,399750843.75,4724625.0,425700.0,3225.0,07-Apr-2025,2025-04-06T18:30:00.000+00:00,140.88,399750843.75
FUTSTK,INOXWIND,29-May-2025,0,XX,N,138.96,142.0,137.0,140.14,140.06,151.89,140.14,638550.0,89307087.0,986850.0,22575.0,3225.0,07-Apr-2025,2025-04-06T18:30:00.000+00:00,140.88,89307087.0
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,139.01,140.39,137.44,140.39,140.39,151.5,143.06,48375.0,6726930.75,77400.0,32250.0,3225.0,07-Apr-2025,2025-04-06T18:30:00.000+00:00,140.88,6726930.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,148.5,150.49,142.11,144.66,144.33,141.38,144.66,2041425.0,294595494.0,4889100.0,164475.0,3225.0,08-Apr-2025,2025-04-07T18:30:00.000+00:00,144.74,294595494.0
FUTSTK,INOXWIND,29-May-2025,0,XX,N,144.87,145.21,140.99,143.2,143.2,140.14,143.2,486975.0,69437184.75,1051350.0,64500.0,3225.0,08-Apr-2025,2025-04-07T18:30:00.000+00:00,144.74,69437184.75
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,143.77,144.39,141.6,142.15,142.15,140.39,146.94,25800.0,3689013.0,99975.0,22575.0,3225.0,08-Apr-2025,2025-04-07T18:30:00.000+00:00,144.74,3689013.0
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,139.0,139.0,138.91,138.91,138.91,142.15,143.23,16125.0,2241084.75,109650.0,9675.0,3225.0,09-Apr-2025,2025-04-08T18:30:00.000+00:00,141.15,2241084.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,144.0,144.47,139.97,141.2,141.43,144.66,141.2,1931775.0,272937393.75,5130975.0,241875.0,3225.0,09-Apr-2025,2025-04-08T18:30:00.000+00:00,141.15,272937393.75
FUTSTK,INOXWIND,29-May-2025,0,XX,N,143.3,143.3,138.68,139.98,139.99,143.2,139.98,535350.0,74870858.25,1170675.0,119325.0,3225.0,09-Apr-2025,2025-04-08T18:30:00.000+00:00,141.15,74870858.25
FUTSTK,INOXWIND,29-May-2025,0,XX,N,143.25,150.42,143.25,149.55,149.89,139.98,149.55,1248075.0,185013251.25,1660875.0,490200.0,3225.0,11-Apr-2025,2025-04-10T18:30:00.000+00:00,151.59,185013251.25
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,143.66,148.08,143.66,147.42,147.42,138.91,153.75,61275.0,8978980.5,112875.0,3225.0,3225.0,11-Apr-2025,2025-04-10T18:30:00.000+00:00,151.59,8978980.5
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,145.0,152.2,143.66,151.25,151.65,141.2,151.25,6537075.0,977166647.25,5798550.0,667575.0,3225.0,11-Apr-2025,2025-04-10T18:30:00.000+00:00,151.59,977166647.25
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,156.19,158.39,155.61,158.1,158.1,147.42,163.51,58050.0,9142681.5,125775.0,12900.0,3225.0,15-Apr-2025,2025-04-14T18:30:00.000+00:00,161.33,9142681.5
FUTSTK,INOXWIND,29-May-2025,0,XX,N,156.3,159.8,154.72,157.84,157.86,149.55,157.84,2854125.0,451031439.75,2054325.0,393450.0,3225.0,15-Apr-2025,2025-04-14T18:30:00.000+00:00,161.33,451031439.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,153.5,162.0,153.5,160.25,160.68,151.25,160.25,7211100.0,1152761447.25,5824350.0,25800.0,3225.0,15-Apr-2025,2025-04-14T18:30:00.000+00:00,161.33,1152761447.25
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,160.19,165.73,159.95,164.82,164.76,160.25,164.82,4637550.0,758765293.5,5982375.0,158025.0,3225.0,16-Apr-2025,2025-04-15T18:30:00.000+00:00,164.68,758765293.5
FUTSTK,INOXWIND,29-May-2025,0,XX,N,158.95,163.23,157.94,162.39,162.24,157.84,162.39,2915400.0,470354220.75,2796075.0,741750.0,3225.0,16-Apr-2025,2025-04-15T18:30:00.000+00:00,164.68,470354220.75
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,158.1,161.89,156.29,161.89,161.89,158.1,161.89,132225.0,21047640.0,167700.0,41925.0,3225.0,16-Apr-2025,2025-04-15T18:30:00.000+00:00,164.68,21047640.0
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,161.58,161.58,157.6,159.7,159.3,161.89,159.7,74175.0,11891736.0,206400.0,38700.0,3225.0,17-Apr-2025,2025-04-16T18:30:00.000+00:00,162.85,11891736.0
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,163.83,165.86,161.57,163.3,163.24,164.82,163.3,2921850.0,478758216.0,6246825.0,264450.0,3225.0,17-Apr-2025,2025-04-16T18:30:00.000+00:00,162.85,478758216.0
FUTSTK,INOXWIND,29-May-2025,0,XX,N,162.39,163.37,158.79,161.75,161.85,162.39,161.75,1964025.0,318157827.75,4002225.0,1206150.0,3225.0,17-Apr-2025,2025-04-16T18:30:00.000+00:00,162.85,318157827.75
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,168.0,168.3,163.5,163.72,163.6,159.7,163.72,151575.0,24961209.75,245100.0,38700.0,3225.0,21-Apr-2025,2025-04-20T18:30:00.000+00:00,167.46,24961209.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,168.74,173.2,166.9,167.95,168.03,163.3,167.95,9197700.0,1558773112.5,5775975.0,-470850.0,3225.0,21-Apr-2025,2025-04-20T18:30:00.000+00:00,167.46,1558773112.5
FUTSTK,INOXWIND,29-May-2025,0,XX,N,165.9,170.0,164.69,165.98,166.59,161.75,165.98,8001225.0,1334798829.75,6004950.0,2002725.0,3225.0,21-Apr-2025,2025-04-20T18:30:00.000+00:00,167.46,1334798829.75
FUTSTK,INOXWIND,29-May-2025,0,XX,N,168.13,171.6,164.9,168.58,167.7,165.98,168.58,7839975.0,1318010092.5,8575275.0,2570325.0,3225.0,22-Apr-2025,2025-04-21T18:30:00.000+00:00,168.95,1318010092.5
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,168.51,171.92,165.88,169.25,168.4,167.95,169.25,6356475.0,1073362592.25,5350275.0,-425700.0,3225.0,22-Apr-2025,2025-04-21T18:30:00.000+00:00,168.95,1073362592.25
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,165.85,168.87,163.6,166.0,166.0,163.72,166.0,135450.0,22435325.25,258000.0,12900.0,3225.0,22-Apr-2025,2025-04-21T18:30:00.000+00:00,168.95,22435325.25
FUTSTK,INOXWIND,29-May-2025,0,XX,N,168.55,177.99,168.47,175.71,174.99,168.58,175.71,11890575.0,2070478218.75,12180825.0,3605550.0,3225.0,23-Apr-2025,2025-04-22T18:30:00.000+00:00,174.55,2070478218.75
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,171.0,174.65,167.5,173.13,173.1,166.0,173.13,228975.0,39341936.25,287025.0,29025.0,3225.0,23-Apr-2025,2025-04-22T18:30:00.000+00:00,174.55,39341936.25
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,169.55,176.95,169.24,175.16,174.58,169.25,175.16,6866025.0,1192714940.25,5195475.0,-154800.0,3225.0,23-Apr-2025,2025-04-22T18:30:00.000+00:00,174.55,1192714940.25
FUTSTK,INOXWIND,29-May-2025,0,XX,N,176.0,181.6,171.76,180.34,180.91,175.71,180.34,16189500.0,2901726161.25,16534575.0,4353750.0,3225.0,24-Apr-2025,2025-04-23T18:30:00.000+00:00,180.3,2901726161.25
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,173.13,179.88,173.1,178.72,179.2,173.13,178.72,551475.0,98287131.75,541800.0,254775.0,3225.0,24-Apr-2025,2025-04-23T18:30:00.000+00:00,180.3,98287131.75
FUTSTK,INOXWIND,24-Apr-2025,0,XX,N,175.55,183.25,173.5,180.35,182.5,175.16,180.31,5743725.0,1026406205.25,3689400.0,-1506075.0,3225.0,24-Apr-2025,2025-04-23T18:30:00.000+00:00,180.3,1026406205.25
FUTSTK,INOXWIND,31-Jul-2025,0,FF,,,,,,,,,,,,,,24-Apr-2025,2025-04-23T18:30:00.000+00:00,180.3,
FUTSTK,INOXWIND,31-Jul-2025,0,XX,N,176.0,176.0,165.24,171.81,171.81,183.6,175.26,45150.0,7634639.25,35475.0,35475.0,3225.0,25-Apr-2025,2025-04-24T18:30:00.000+00:00,172.14,7634639.25
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,178.73,178.97,165.11,170.79,170.68,178.72,170.79,1025550.0,174497461.5,899775.0,357975.0,3225.0,25-Apr-2025,2025-04-24T18:30:00.000+00:00,172.14,174497461.5
FUTSTK,INOXWIND,29-May-2025,0,XX,N,180.43,181.99,166.06,172.72,172.5,180.34,172.72,20243325.0,3498235706.25,21043125.0,4508550.0,3225.0,25-Apr-2025,2025-04-24T18:30:00.000+00:00,172.14,3498235706.25
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,170.21,174.89,170.21,173.64,173.77,170.79,173.64,203175.0,35290175.25,938475.0,38700.0,3225.0,28-Apr-2025,2025-04-27T18:30:00.000+00:00,174.26,35290175.25
FUTSTK,INOXWIND,31-Jul-2025,0,XX,N,169.0,174.0,169.0,174.0,174.0,171.81,177.3,6450.0,1106175.0,35475.0,0.0,3225.0,28-Apr-2025,2025-04-27T18:30:00.000+00:00,174.26,1106175.0
FUTSTK,INOXWIND,29-May-2025,0,XX,N,171.45,177.59,170.37,175.23,175.5,172.72,175.23,7898025.0,1381934043.0,21420450.0,377325.0,3225.0,28-Apr-2025,2025-04-27T18:30:00.000+00:00,174.26,1381934043.0
FUTSTK,INOXWIND,26-Jun-2025,0,XX,N,175.36,176.0,171.9,173.0,172.57,173.64,173.0,232200.0,40176921.0,1002975.0,64500.0,3225.0,29-Apr-2025,2025-04-28T18:30:00.000+00:00,174.58,40176921.0
