FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,IREDA,24-Apr-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,166.51,
FUTSTK,IREDA,27-Mar-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,166.51,
FUTSTK,IREDA,29-May-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,166.51,
FUTSTK,IREDA,29-May-2025,0,XX,N,154.16,154.66,144.08,135.04,144.08,169.51,135.04,104400.0,15217634.0,72500.0,72500.0,2900.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,156.02,15217634.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,153.17,153.89,138.5,140.3,138.63,168.35,140.3,1044000.0,152772058.0,507500.0,507500.0,2900.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,156.02,152772058.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,160.0,160.0,142.76,145.6,145.0,167.41,145.6,15512100.0,2330333019.0,6078400.0,6078400.0,2900.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,156.02,2330333019.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,142.0,142.0,128.28,134.7,134.94,140.3,134.7,2143100.0,285820056.0,1093300.0,585800.0,2900.0,03-Mar-2025,2025-03-02T18:30:00.000+00:00,147.31,285820056.0
FUTSTK,IREDA,29-May-2025,0,XX,N,144.25,144.25,124.5,131.16,130.8,135.04,131.16,551000.0,70971932.0,397300.0,324800.0,2900.0,03-Mar-2025,2025-03-02T18:30:00.000+00:00,147.31,70971932.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,154.0,154.0,134.45,141.07,141.3,145.6,141.07,15213400.0,2124366841.0,9210400.0,3132000.0,2900.0,03-Mar-2025,2025-03-02T18:30:00.000+00:00,147.31,2124366841.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,139.55,144.46,135.91,136.91,136.61,141.07,136.91,13693800.0,1913002313.0,13516900.0,4306500.0,2900.0,04-Mar-2025,2025-03-03T18:30:00.000+00:00,144.64,1913002313.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,134.5,138.7,129.53,130.3,130.01,134.7,130.3,3105900.0,414493085.0,2459200.0,1365900.0,2900.0,04-Mar-2025,2025-03-03T18:30:00.000+00:00,144.64,414493085.0
FUTSTK,IREDA,29-May-2025,0,XX,N,131.0,134.83,126.0,126.28,126.27,131.16,126.28,574200.0,74614332.0,788800.0,391500.0,2900.0,04-Mar-2025,2025-03-03T18:30:00.000+00:00,144.64,74614332.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,132.38,136.5,129.6,135.11,135.95,130.3,135.11,3010200.0,401348835.0,3201600.0,742400.0,2900.0,05-Mar-2025,2025-03-04T18:30:00.000+00:00,147.26,401348835.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,139.53,143.2,136.33,141.85,142.51,136.91,141.85,15845600.0,2224496649.0,14908900.0,1392000.0,2900.0,05-Mar-2025,2025-03-04T18:30:00.000+00:00,147.26,2224496649.0
FUTSTK,IREDA,29-May-2025,0,XX,N,129.5,132.27,126.05,131.13,131.27,126.28,131.13,478500.0,61859900.0,983100.0,194300.0,2900.0,05-Mar-2025,2025-03-04T18:30:00.000+00:00,147.26,61859900.0
FUTSTK,IREDA,29-May-2025,0,XX,N,135.5,135.55,132.17,134.52,133.91,131.13,134.52,298700.0,40156039.0,1154200.0,171100.0,2900.0,06-Mar-2025,2025-03-05T18:30:00.000+00:00,149.86,40156039.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,145.26,146.7,143.45,145.58,145.25,141.85,145.58,8262100.0,1200149195.0,15686100.0,777200.0,2900.0,06-Mar-2025,2025-03-05T18:30:00.000+00:00,149.86,1200149195.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,139.11,139.49,136.58,138.55,138.16,135.11,138.55,1882100.0,260736071.0,3793200.0,591600.0,2900.0,06-Mar-2025,2025-03-05T18:30:00.000+00:00,149.86,260736071.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,138.06,144.0,136.89,139.15,138.75,138.55,139.15,4167300.0,588235333.0,5718800.0,1925600.0,2900.0,07-Mar-2025,2025-03-06T18:30:00.000+00:00,149.59,588235333.0
FUTSTK,IREDA,29-May-2025,0,XX,N,135.4,138.9,132.5,134.75,134.3,134.52,134.75,469800.0,63874008.0,1171600.0,17400.0,2900.0,07-Mar-2025,2025-03-06T18:30:00.000+00:00,149.59,63874008.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,144.63,151.0,143.71,146.09,145.52,145.58,146.09,9227800.0,1358818693.0,16663400.0,977300.0,2900.0,07-Mar-2025,2025-03-06T18:30:00.000+00:00,149.59,1358818693.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,145.35,146.1,139.23,140.54,139.63,146.09,140.54,6217600.0,892751921.0,17597200.0,933800.0,2900.0,10-Mar-2025,2025-03-09T18:30:00.000+00:00,143.95,892751921.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,138.57,139.8,132.65,134.6,133.38,139.15,134.6,1890800.0,260207111.0,6626500.0,907700.0,2900.0,10-Mar-2025,2025-03-09T18:30:00.000+00:00,143.95,260207111.0
FUTSTK,IREDA,29-May-2025,0,XX,N,134.85,135.67,128.85,129.99,129.6,134.75,129.99,226200.0,29993888.0,1284700.0,113100.0,2900.0,10-Mar-2025,2025-03-09T18:30:00.000+00:00,143.95,29993888.0
FUTSTK,IREDA,29-May-2025,0,XX,N,129.6,132.85,128.92,132.7,132.85,129.99,132.7,98600.0,12856715.0,1331100.0,46400.0,2900.0,11-Mar-2025,2025-03-10T18:30:00.000+00:00,141.98,12856715.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,136.06,136.06,129.5,135.6,136.0,134.6,135.6,1890800.0,252099436.0,7105000.0,478500.0,2900.0,11-Mar-2025,2025-03-10T18:30:00.000+00:00,141.98,252099436.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,137.39,141.45,135.52,141.17,141.22,140.54,141.17,5507100.0,766143402.0,17690000.0,92800.0,2900.0,11-Mar-2025,2025-03-10T18:30:00.000+00:00,141.98,766143402.0
FUTSTK,IREDA,24-Apr-2025,0,XX,N,135.72,136.47,130.69,133.2,133.25,135.6,133.2,1945900.0,258865832.0,7638600.0,533600.0,2900.0,12-Mar-2025,2025-03-11T18:30:00.000+00:00,141.26,258865832.0
FUTSTK,IREDA,27-Mar-2025,0,XX,N,140.78,142.17,136.67,139.14,139.14,141.17,139.14,4228200.0,587613573.0,18531000.0,841000.0,2900.0,12-Mar-2025,2025-03-11T18:30:00.000+00:00,141.26,587613573.0
