FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,IRFC,FUTSTK,,139.88072204589844,140.2671269759742,141.76447187572347,138.96299928166604,47979360,139.88072204589844,4250,YFINANCE
01-Apr-2025,IRFC,FUTSTK,,122.04005432128906,120.49959080406954,122.85444144771988,120.05805958345053,17763188,122.04005432128906,4250,YFINANCE
01-Apr-2026,IRFC,FUTSTK,,91.98999786376953,90.83000183105469,92.77999877929688,89.41000366210938,20132244,91.98999786376953,4250,YFINANCE
01-Aug-2023,IRFC,FUTSTK,,38.37107849121094,36.949927435980904,39.50800005822977,36.76043990578209,381693749,38.37107849121094,4250,YFINANCE
01-Aug-2024,IRFC,FUTSTK,,183.33261108398438,188.0371580675606,189.00318511078547,181.303948397051,35027956,183.33261108398438,4250,YFINANCE
01-Aug-2025,IRFC,FUTSTK,,124.50283813476562,125.92555652243416,126.64183392888535,123.99262410534071,8796099,124.50283813476562,4250,YFINANCE
01-Dec-2023,IRFC,FUTSTK,,72.83843231201172,72.40371576950558,74.62558066622421,72.25881762553747,34411168,72.83843231201172,4250,YFINANCE
01-Dec-2025,IRFC,FUTSTK,,115.85956573486328,116.33452501597145,117.64065360249184,115.51324519094152,5036657,115.85956573486328,4250,YFINANCE
01-Feb-2024,IRFC,FUTSTK,,164.12799072265625,173.88486987279074,177.02445780104946,162.48574767749383,165894732,164.12799072265625,4250,YFINANCE
01-Feb-2025,IRFC,FUTSTK,,137.70074462890625,148.11458779116467,151.64438612020803,135.68232268110623,76893891,137.70074462890625,4250,YFINANCE
01-Jan-2024,IRFC,FUTSTK,,96.98912048339844,96.60270817665149,98.92117464693146,96.02309340163193,102849848,96.98912048339844,4250,YFINANCE
01-Jan-2025,IRFC,FUTSTK,,146.60321044921875,145.96939983986726,149.07990586092464,144.67254230464565,19810452,146.60321044921875,4250,YFINANCE
01-Jan-2026,IRFC,FUTSTK,,124.46814727783203,123.99318799577601,124.8936289609912,122.70685346589649,16340819,124.46814727783203,4250,YFINANCE
01-Jul-2024,IRFC,FUTSTK,,165.9248046875,167.8858384656962,167.8858384656962,165.67364295516273,26142598,165.9248046875,4250,YFINANCE
