FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ITC,27-Apr-2023,0,XX,N,374.0,386.2,374.0,385.25,385.0,373.65,385.25,489600.0,187242960.0,572800.0,200000.0,1600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,407.85,187242960.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,371.8,384.3,371.25,383.35,383.0,371.35,383.35,5217600.0,1983218000.0,5185600.0,1985600.0,1600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,407.85,1983218000.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,370.0,381.8,368.7,380.8,380.65,369.05,380.8,39931200.0,15077656320.0,61262400.0,9542400.0,1600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,407.85,15077656320.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,383.05,384.8,381.0,384.3,384.0,383.35,384.3,2936000.0,1123174000.0,6168000.0,982400.0,1600.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,407.85,1123174000.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,384.8,387.0,383.25,386.3,386.0,385.25,386.3,270400.0,103994640.0,563200.0,-9600.0,1600.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,407.85,103994640.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,379.0,382.55,378.55,381.95,381.55,380.8,381.95,16220800.0,6167829040.0,59513600.0,-1748800.0,1600.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,407.85,6167829040.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,385.05,386.95,384.0,384.4,384.4,384.3,384.4,4049600.0,1561838960.0,8094400.0,1926400.0,1600.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,407.85,1561838960.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,382.4,384.65,381.5,382.1,382.05,381.95,382.1,11614400.0,4450362080.0,57145600.0,-2368000.0,1600.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,407.85,4450362080.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,386.3,389.0,386.3,386.7,386.5,386.3,386.7,171200.0,66386480.0,601600.0,38400.0,1600.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,407.85,66386480.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,383.05,386.8,382.55,385.25,384.95,384.4,385.25,4726400.0,1820801760.0,10179200.0,2084800.0,1600.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,407.85,1820801760.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,386.55,388.55,385.6,387.35,387.0,386.7,387.35,187200.0,72511760.0,604800.0,3200.0,1600.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,407.85,72511760.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,380.0,384.3,379.95,382.6,382.7,382.1,382.6,9548800.0,3654911520.0,55065600.0,-2080000.0,1600.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,407.85,3654911520.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,385.9,389.05,383.0,385.15,384.9,385.25,385.15,20902400.0,8056695360.0,26715200.0,16536000.0,1600.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,407.85,8056695360.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,387.35,391.0,385.2,387.45,387.6,387.35,387.45,171200.0,66402400.0,616000.0,11200.0,1600.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,407.85,66402400.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,380.6,386.75,380.45,382.65,382.95,382.6,382.65,24326400.0,9319120000.0,41454400.0,-13611200.0,1600.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,407.85,9319120000.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,383.6,384.75,382.0,382.5,383.05,382.65,382.5,20280000.0,7779893680.0,30299200.0,-11155200.0,1600.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,407.85,7779893680.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,386.0,387.15,384.25,384.75,385.1,385.15,384.75,18412800.0,7107369360.0,37612800.0,10897600.0,1600.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,407.85,7107369360.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,388.0,389.4,386.85,387.15,387.35,387.45,387.15,225600.0,87613520.0,678400.0,62400.0,1600.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,407.85,87613520.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,382.75,384.65,380.2,383.35,384.15,382.5,383.35,18504000.0,7079307840.0,20633600.0,-9665600.0,1600.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,407.85,7079307840.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,384.15,386.9,382.55,385.45,386.1,384.75,385.45,19139200.0,7365866000.0,45278400.0,7665600.0,1600.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,407.85,7365866000.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,387.35,389.1,385.1,388.25,388.3,387.15,388.25,324800.0,125748000.0,769600.0,91200.0,1600.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,407.85,125748000.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,386.3,395.2,384.4,389.15,388.4,385.45,389.15,42328000.0,16533076160.0,57566400.0,12288000.0,1600.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,407.85,16533076160.0
FUTSTK,ITC,27-Apr-2023,0,XX,N,389.0,397.5,387.05,391.35,391.05,388.25,391.35,905600.0,355897840.0,894400.0,124800.0,1600.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,407.85,355897840.0
FUTSTK,ITC,23-Feb-2023,0,XX,N,384.2,392.8,382.2,386.3,385.2,383.35,387.6,32734400.0,12716549040.0,7016000.0,-13617600.0,1600.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,407.85,12716549040.0
FUTSTK,ITC,25-May-2023,0,XX,N,388.0,390.7,384.1,387.85,387.95,394.65,387.85,108800.0,42227680.0,75200.0,75200.0,1600.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,407.85,42227680.0
FUTSTK,ITC,29-Mar-2023,0,XX,N,389.25,389.45,381.15,384.75,385.15,389.15,384.75,19534400.0,7516092480.0,60155200.0,2588800.0,1600.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,407.85,7516092480.0
