FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,588.55,593.35,580.8,591.55,590.3,586.6,591.55,3265000.0,1920713375.0,18850000.0,-58750.0,1250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,1920713375.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,589.1,595.95,583.9,594.35,593.25,589.15,594.35,343750.0,202872750.0,652500.0,136250.0,1250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,202872750.0
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,590.15,595.25,588.35,595.25,595.25,592.3,595.25,10000.0,5920875.0,50000.0,-3750.0,1250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,5920875.0
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,599.6,602.7,590.6,592.2,592.2,595.25,595.85,35000.0,20910562.5,55000.0,5000.0,1250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,20910562.5
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,588.05,597.95,583.0,588.9,590.0,591.55,588.9,4106250.0,2421601812.5,19153750.0,303750.0,1250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,2421601812.5
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,591.0,600.0,585.7,591.85,592.1,594.35,591.85,416250.0,246419812.5,748750.0,96250.0,1250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,246419812.5
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,597.5,609.0,597.5,608.65,608.65,592.2,609.95,28750.0,17300687.5,77500.0,22500.0,1250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,17300687.5
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,590.9,605.4,590.7,603.7,603.5,588.9,603.7,5177500.0,3101033062.5,19555000.0,401250.0,1250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,3101033062.5
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,594.95,608.35,593.75,607.2,607.0,591.85,607.2,741250.0,446496250.0,1082500.0,333750.0,1250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,446496250.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,604.8,613.8,590.65,594.7,594.5,607.2,594.7,5116250.0,3069556000.0,5112500.0,4030000.0,1250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,3069556000.0
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,599.05,610.45,587.2,591.05,591.0,603.7,591.05,9493750.0,5670677062.5,15731250.0,-3823750.0,1250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,5670677062.5
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,613.0,613.45,597.7,598.3,599.0,608.65,598.3,27500.0,16602875.0,75000.0,-2500.0,1250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,16602875.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,584.8,604.75,584.8,599.1,598.4,594.7,599.1,7408750.0,4443190937.5,10320000.0,5207500.0,1250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,4443190937.5
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,587.6,601.25,585.75,595.3,594.3,591.05,595.3,8841250.0,5267215875.0,11207500.0,-4523750.0,1250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,5267215875.0
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,594.7,605.7,594.7,603.0,603.0,598.3,602.65,16250.0,9785062.5,86250.0,11250.0,1250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,,9785062.5
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,605.85,614.0,594.0,597.05,598.2,603.0,597.05,63750.0,38540375.0,96250.0,10000.0,1250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,38540375.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,603.25,612.35,590.5,594.5,594.65,599.1,594.5,8506250.0,5109168562.5,15021250.0,4701250.0,1250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,5109168562.5
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,600.25,608.4,586.4,590.65,590.15,595.3,590.65,9536250.0,5694982500.0,6330000.0,-4877500.0,1250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,5694982500.0
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,589.15,590.0,568.05,572.55,573.45,590.65,572.55,6325000.0,3646827625.0,2770000.0,-3560000.0,1250.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,3646827625.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,592.1,593.6,571.9,575.95,577.0,594.5,575.95,7001250.0,4064260875.0,17823750.0,2802500.0,1250.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,4064260875.0
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,594.4,594.4,575.0,578.4,577.0,597.05,578.4,158750.0,92347500.0,151250.0,55000.0,1250.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,,92347500.0
FUTSTK,JINDALSTEL,23-Feb-2023,0,XX,N,575.95,586.8,572.5,581.3,585.05,572.55,580.65,4320000.0,2503411875.0,502500.0,-2267500.0,1250.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,,2503411875.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,579.8,590.25,575.6,583.75,585.2,575.95,583.75,6293750.0,3669565437.5,19868750.0,2045000.0,1250.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,,3669565437.5
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,585.05,592.1,584.0,587.85,585.25,578.4,587.85,37500.0,22042875.0,152500.0,1250.0,1250.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,,22042875.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,585.9,587.7,560.65,563.45,564.15,583.75,563.45,7333750.0,4163448875.0,20177500.0,308750.0,1250.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,4163448875.0
FUTSTK,JINDALSTEL,25-May-2023,0,XX,N,568.0,570.65,568.0,570.65,570.65,591.2,570.65,2500.0,1423312.5,2500.0,2500.0,1250.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,1423312.5
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,582.05,582.05,564.25,567.2,567.85,587.85,567.2,192500.0,109837500.0,166250.0,13750.0,1250.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,109837500.0
FUTSTK,JINDALSTEL,29-Mar-2023,0,XX,N,561.15,561.55,547.5,557.0,557.05,563.45,557.0,10298750.0,5718811500.0,17758750.0,-2418750.0,1250.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,,5718811500.0
FUTSTK,JINDALSTEL,27-Apr-2023,0,XX,N,560.2,564.5,552.0,561.0,561.05,567.2,561.0,4078750.0,2287276625.0,3943750.0,3777500.0,1250.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,,2287276625.0
