FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,333.45,338.2,333.45,334.45,334.35,331.45,334.45,229350.0,77056485.0,198000.0,198000.0,1650.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,328.35,77056485.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,331.25,336.75,331.25,332.55,332.05,329.6,332.55,384450.0,128489542.5,287100.0,287100.0,1650.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,328.35,128489542.5
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,330.0,334.5,327.2,330.6,330.5,327.25,330.6,10279500.0,3410838337.5,8038800.0,8038800.0,1650.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,328.35,3410838337.5
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,330.0,334.9,330.0,334.15,334.55,332.55,334.15,328350.0,109504395.0,485100.0,198000.0,1650.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,329.7,109504395.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,332.2,337.0,332.15,336.25,336.35,334.45,336.25,165000.0,55287787.5,300300.0,102300.0,1650.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,329.7,55287787.5
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,328.1,332.7,327.2,331.9,332.05,330.6,331.9,4281750.0,1417358910.0,10489050.0,2450250.0,1650.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,329.7,1417358910.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,337.35,348.0,337.35,346.8,348.0,336.25,346.8,268950.0,92452717.5,419100.0,118800.0,1650.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,340.35,92452717.5
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,334.45,345.75,334.45,344.55,345.25,334.15,344.55,468600.0,159349987.5,511500.0,26400.0,1650.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,340.35,159349987.5
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,333.0,343.55,332.35,342.15,343.0,331.9,342.15,8205450.0,2782509840.0,12657150.0,2168100.0,1650.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,340.35,2782509840.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,348.0,352.9,347.3,351.4,351.1,346.8,351.4,151800.0,53120265.0,455400.0,36300.0,1650.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,345.2,53120265.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,346.25,351.0,344.9,349.15,349.0,344.55,349.15,851400.0,295754497.5,876150.0,364650.0,1650.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,345.2,295754497.5
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,343.9,348.9,342.4,346.85,346.7,342.15,346.85,10830600.0,3741948210.0,16706250.0,4049100.0,1650.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,345.2,3741948210.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,347.9,348.7,341.05,343.15,343.0,346.85,343.15,6283200.0,2164381395.0,19273650.0,2567400.0,1650.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,341.5,2164381395.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,351.4,352.6,345.9,347.8,347.8,351.4,347.8,158400.0,55327470.0,556050.0,100650.0,1650.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,341.5,55327470.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,349.2,351.0,344.0,345.8,345.6,349.15,345.8,447150.0,155114025.0,1112100.0,235950.0,1650.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,341.5,155114025.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,345.8,346.25,342.6,343.2,342.8,345.8,343.2,435600.0,149726940.0,1344750.0,232650.0,1650.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,338.9,149726940.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,347.55,347.55,345.0,345.3,345.0,347.8,345.3,430650.0,148968765.0,773850.0,217800.0,1650.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,338.9,148968765.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,344.0,344.0,340.1,340.6,340.55,343.15,340.6,4656300.0,1590557842.5,20511150.0,1237500.0,1650.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,338.9,1590557842.5
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,340.05,342.8,337.75,338.4,338.5,340.6,338.4,4143150.0,1407734625.0,21824550.0,1313400.0,1650.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,336.85,1407734625.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,342.1,344.85,340.1,340.6,340.1,343.2,340.6,495000.0,169332817.5,1519650.0,174900.0,1650.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,336.85,169332817.5
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,343.4,347.0,342.55,342.95,342.55,345.3,342.95,216150.0,74538997.5,844800.0,70950.0,1650.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,336.85,74538997.5
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,340.6,341.75,337.65,338.9,338.25,340.6,338.9,353100.0,119861280.0,1663200.0,143550.0,1650.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,335.1,119861280.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,336.6,339.35,335.15,336.55,336.0,338.4,336.55,3752100.0,1263055860.0,23055450.0,1230900.0,1650.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,335.1,1263055860.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,342.95,342.95,340.0,341.0,340.65,342.95,341.0,92400.0,31515825.0,876150.0,31350.0,1650.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,335.1,31515825.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,337.75,349.25,337.75,346.85,347.1,338.9,346.85,1447050.0,498385552.5,1846350.0,183150.0,1650.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,343.0,498385552.5
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,336.35,347.0,334.3,344.45,344.8,336.55,344.45,13818750.0,4734620385.0,26315850.0,3260400.0,1650.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,343.0,4734620385.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,340.4,351.05,340.35,349.05,349.6,341.0,349.05,321750.0,111614167.5,912450.0,36300.0,1650.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,343.0,111614167.5
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,347.75,349.9,340.5,341.75,342.15,346.85,341.75,663300.0,228399765.0,2069100.0,222750.0,1650.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,338.3,228399765.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,346.0,347.8,337.8,339.1,339.5,344.45,339.1,8344050.0,2850824460.0,27866850.0,1551000.0,1650.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,338.3,2850824460.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,350.4,352.0,342.8,344.4,345.0,349.05,344.4,283800.0,98233245.0,1087350.0,174900.0,1650.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,338.3,98233245.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,340.0,344.0,333.95,343.05,342.15,341.75,343.05,1692900.0,575670562.5,2679600.0,610500.0,1650.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,339.75,575670562.5
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,342.0,345.9,336.0,345.05,344.25,344.4,345.05,267300.0,91249785.0,1166550.0,79200.0,1650.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,339.75,91249785.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,336.7,341.5,330.9,340.15,339.45,339.1,340.15,9284550.0,3127239720.0,27178800.0,-688050.0,1650.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,339.75,3127239720.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,339.25,343.5,338.4,341.45,341.35,340.15,341.45,3534300.0,1208304735.0,27267900.0,89100.0,1650.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,340.35,1208304735.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,342.7,345.9,342.7,344.05,343.65,343.05,344.05,1143450.0,393873480.0,3151500.0,471900.0,1650.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,340.35,393873480.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,347.0,348.0,345.9,346.3,346.0,345.05,346.3,128700.0,44591250.0,1212750.0,46200.0,1650.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,340.35,44591250.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,345.4,346.8,342.0,342.25,342.05,346.3,342.25,188100.0,64727355.0,1291950.0,79200.0,1650.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,337.1,64727355.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,339.35,342.1,336.35,337.55,337.6,341.45,337.55,3771900.0,1278223980.0,27145800.0,-122100.0,1650.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,337.1,1278223980.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,343.3,344.55,339.0,340.15,340.2,344.05,340.15,1410750.0,481816087.5,3658050.0,506550.0,1650.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,337.1,481816087.5
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,340.5,340.5,328.5,330.0,330.25,342.25,330.0,475200.0,158447025.0,1547700.0,255750.0,1650.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,324.6,158447025.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,336.1,337.6,323.5,324.5,325.3,337.55,324.5,9134400.0,2996015880.0,26571600.0,-574200.0,1650.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,324.6,2996015880.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,338.45,338.9,326.05,327.25,328.0,340.15,327.25,3339600.0,1102907520.0,5403750.0,1745700.0,1650.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,324.6,1102907520.0
FUTSTK,JIOFIN,26-Dec-2024,0,XX,N,318.75,320.5,310.5,314.05,314.35,324.5,314.05,9596400.0,3021458715.0,26048550.0,-523050.0,1650.0,19-Dec-2024,2024-12-18T18:30:00.000+00:00,313.0,3021458715.0
FUTSTK,JIOFIN,30-Jan-2025,0,XX,N,320.25,322.9,313.2,316.3,316.6,327.25,316.3,6217200.0,1973277735.0,8522250.0,3118500.0,1650.0,19-Dec-2024,2024-12-18T18:30:00.000+00:00,313.0,1973277735.0
FUTSTK,JIOFIN,27-Feb-2025,0,XX,N,324.65,325.0,315.5,318.7,318.5,330.0,318.7,770550.0,246898987.5,2042700.0,495000.0,1650.0,19-Dec-2024,2024-12-18T18:30:00.000+00:00,313.0,246898987.5
