FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,JSWENERGY,26-Dec-2024,0,XX,N,674.4,675.7,652.2,659.1,659.0,666.45,659.1,514500.0,339769125.0,294000.0,294000.0,750.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,654.65,339769125.0
FUTSTK,JSWENERGY,27-Feb-2025,0,XX,N,0.0,0.0,0.0,675.0,0.0,675.0,666.55,0.0,0.0,0.0,0.0,750.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,654.65,0.0
FUTSTK,JSWENERGY,30-Jan-2025,0,XX,N,0.0,0.0,0.0,671.2,0.0,671.2,662.85,0.0,0.0,0.0,0.0,750.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,654.65,0.0
FUTSTK,JSWENERGY,30-Jan-2025,0,XX,N,660.75,660.75,650.55,652.7,652.5,671.2,652.7,16500.0,10791862.5,7500.0,7500.0,750.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,645.65,10791862.5
FUTSTK,JSWENERGY,26-Dec-2024,0,XX,N,651.1,663.0,646.1,649.35,648.9,659.1,649.35,1151250.0,748359412.5,951000.0,657000.0,750.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,645.65,748359412.5
FUTSTK,JSWENERGY,27-Feb-2025,0,XX,N,0.0,0.0,0.0,675.0,0.0,675.0,656.1,0.0,0.0,0.0,0.0,750.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,645.65,0.0
FUTSTK,JSWENERGY,27-Feb-2025,0,XX,N,666.7,666.7,654.05,655.75,655.75,675.0,655.75,22500.0,14856637.5,21000.0,21000.0,750.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,642.95,14856637.5
FUTSTK,JSWENERGY,30-Jan-2025,0,XX,N,660.0,662.0,650.0,650.65,650.5,652.7,650.65,20250.0,13260787.5,21000.0,13500.0,750.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,642.95,13260787.5
FUTSTK,JSWENERGY,26-Dec-2024,0,XX,N,648.15,660.6,645.7,646.3,647.4,649.35,646.3,924000.0,601751587.5,1438500.0,487500.0,750.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,642.95,601751587.5
FUTSTK,JSWENERGY,26-Dec-2024,0,XX,N,654.7,656.1,642.9,651.55,651.4,646.3,651.55,1204500.0,782510812.5,1841250.0,402750.0,750.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,648.4,782510812.5
