FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,715.0,738.05,710.0,729.2,729.0,711.55,729.2,1119875.0,810813912.5,571175.0,571175.0,775.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,724.45,810813912.5
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,725.7,736.2,719.7,733.65,734.75,716.65,733.65,10075.0,7347697.5,2325.0,2325.0,775.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,724.45,7347697.5
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,724.35,726.85,724.35,726.85,726.85,720.65,737.6,3100.0,2249360.0,3100.0,3100.0,775.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,724.45,2249360.0
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,733.0,733.0,729.0,729.0,729.0,726.85,729.0,1550.0,1133050.0,4650.0,1550.0,775.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,722.1,1133050.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,739.65,746.35,726.5,728.7,731.5,733.65,728.7,9300.0,6858091.25,8525.0,6200.0,775.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,722.1,6858091.25
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,728.85,745.3,720.45,726.6,726.0,729.2,726.6,1173350.0,859552383.75,996650.0,425475.0,775.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,722.1,859552383.75
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,731.8,734.45,721.85,730.75,730.3,726.6,730.75,715325.0,522924197.5,1274875.0,278225.0,775.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,726.85,522924197.5
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,734.85,737.55,732.55,735.0,735.6,728.7,735.0,20925.0,15384253.75,17825.0,9300.0,775.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,726.85,15384253.75
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,735.4,735.4,735.4,735.4,735.4,729.0,738.5,775.0,569935.0,3875.0,-775.0,775.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,726.85,569935.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,733.4,733.4,705.7,724.1,723.4,735.0,724.1,102300.0,73277528.75,46500.0,28675.0,775.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,722.75,73277528.75
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,720.0,730.0,710.0,730.0,730.0,735.4,730.0,3100.0,2226575.0,4650.0,775.0,775.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,722.75,2226575.0
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,737.7,737.7,701.5,721.3,719.95,730.75,721.3,3389075.0,2424933963.75,2746600.0,1471725.0,775.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,722.75,2424933963.75
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,726.65,727.4,714.75,723.5,724.5,724.1,723.5,28675.0,20684672.5,48050.0,1550.0,775.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,720.65,20684672.5
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,721.25,726.8,712.0,720.8,720.4,721.3,720.8,1496525.0,1076917137.5,3326300.0,579700.0,775.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,720.65,1076917137.5
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,726.7,726.7,726.7,726.7,726.7,730.0,726.7,775.0,563192.5,5425.0,775.0,775.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,720.65,563192.5
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,740.0,756.0,739.75,747.5,747.5,726.7,741.85,8525.0,6381505.0,11625.0,6200.0,775.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,730.5,6381505.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,726.0,757.0,726.0,738.65,741.05,723.5,738.65,150350.0,111709933.75,79825.0,31775.0,775.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,730.5,111709933.75
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,715.6,753.7,715.6,734.6,736.3,720.8,734.6,4040075.0,2990345327.5,4440750.0,1114450.0,775.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,730.5,2990345327.5
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,742.45,784.0,742.45,782.2,784.0,738.65,782.2,289075.0,222802812.5,113150.0,33325.0,775.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,775.45,222802812.5
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,735.05,780.6,735.05,777.85,780.3,734.6,777.85,6127925.0,4703153220.0,5917125.0,1476375.0,775.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,775.45,4703153220.0
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,756.85,787.3,756.85,785.95,786.0,747.5,785.95,36425.0,28296528.75,27125.0,15500.0,775.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,775.45,28296528.75
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,782.5,782.5,750.1,763.35,761.9,782.2,763.35,277450.0,211461152.5,145700.0,32550.0,775.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,758.9,211461152.5
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,785.95,785.95,755.0,768.05,770.7,785.95,768.05,22475.0,17258823.75,28675.0,1550.0,775.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,758.9,17258823.75
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,776.55,781.75,745.25,759.1,757.65,777.85,759.1,5172350.0,3913852222.5,5872950.0,-44175.0,775.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,758.9,3913852222.5
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,769.35,777.7,766.9,773.95,773.3,768.05,773.95,11625.0,8973570.0,27125.0,-1550.0,775.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,762.95,8973570.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,763.35,773.4,760.0,769.95,770.9,763.35,769.95,131750.0,101275333.75,137175.0,-8525.0,775.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,762.95,101275333.75
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,757.45,769.95,754.65,765.9,765.7,759.1,765.9,2002600.0,1530548158.75,5664475.0,-208475.0,775.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,762.95,1530548158.75
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,777.25,790.15,764.5,770.25,770.25,773.95,770.25,21700.0,16845981.25,29450.0,2325.0,775.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,760.1,16845981.25
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,760.35,787.0,755.15,762.85,760.1,765.9,762.85,3365050.0,2597465200.0,6042675.0,378200.0,775.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,760.1,2597465200.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,770.2,789.95,760.3,767.85,766.65,769.95,767.85,260400.0,202360211.25,141825.0,4650.0,775.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,760.1,202360211.25
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,755.0,762.0,749.8,757.9,757.55,770.25,757.9,10075.0,7607361.25,28675.0,-775.0,775.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,747.1,7607361.25
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,767.1,770.05,744.75,754.65,754.05,767.85,754.65,156550.0,118118990.0,158875.0,17050.0,775.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,747.1,118118990.0
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,758.5,764.0,738.5,749.45,749.95,762.85,749.45,1632150.0,1222900090.0,5826450.0,-216225.0,775.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,747.1,1222900090.0
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,751.9,767.85,751.9,766.1,765.05,749.45,766.1,1516675.0,1156903608.75,6073675.0,247225.0,775.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,763.25,1156903608.75
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,769.0,772.4,769.0,772.4,772.4,757.9,773.6,4650.0,3584530.0,28675.0,0.0,775.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,763.25,3584530.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,758.85,772.8,758.85,771.55,769.15,754.65,771.55,147250.0,113098385.0,193750.0,34875.0,775.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,763.25,113098385.0
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,763.95,771.55,755.1,757.6,757.6,766.1,757.6,1090425.0,831974241.25,5928750.0,-144925.0,775.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,756.35,831974241.25
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,769.15,776.0,761.35,763.1,762.45,771.55,763.1,128650.0,98952232.5,196075.0,2325.0,775.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,756.35,98952232.5
FUTSTK,KALYANKJIL,27-Feb-2025,0,XX,N,772.95,773.65,765.7,765.7,765.7,772.4,766.5,3100.0,2388550.0,28675.0,0.0,775.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,756.35,2388550.0
FUTSTK,KALYANKJIL,26-Dec-2024,0,XX,N,755.85,759.95,735.15,753.9,751.75,757.6,753.9,2005700.0,1502006730.0,5632700.0,-296050.0,775.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,754.2,1502006730.0
FUTSTK,KALYANKJIL,30-Jan-2025,0,XX,N,764.35,764.35,741.0,758.75,759.7,763.1,758.75,225525.0,170135401.25,278225.0,82150.0,775.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,754.2,170135401.25
