FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KAYNES,28-Aug-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,6027.0,
FUTSTK,KAYNES,31-Jul-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,6027.0,
FUTSTK,KAYNES,26-Jun-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,6027.0,
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,6030.0,6060.0,5965.5,5963.0,5968.0,6096.5,5963.0,500.0,2998100.0,200.0,200.0,100.0,30-May-2025,2025-05-29T18:30:00.000+00:00,5980.0,2998100.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,6090.0,6090.0,6000.0,6000.0,6000.0,6127.5,6078.5,400.0,2421500.0,400.0,400.0,100.0,30-May-2025,2025-05-29T18:30:00.000+00:00,5980.0,2421500.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,6060.0,6066.0,5901.0,5934.0,5938.0,6057.0,5934.0,43100.0,257310700.0,25500.0,25500.0,100.0,30-May-2025,2025-05-29T18:30:00.000+00:00,5980.0,257310700.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5968.0,5968.0,5776.5,5797.0,5776.5,5963.0,5797.0,1700.0,10004100.0,1400.0,1200.0,100.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,5821.0,10004100.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5900.0,5900.0,5891.0,5891.0,5891.0,6000.0,5914.0,200.0,1179100.0,600.0,200.0,100.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,5821.0,1179100.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5867.0,5984.5,5756.0,5806.0,5780.0,5934.0,5806.0,64200.0,378291200.0,41800.0,16300.0,100.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,5821.0,378291200.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5806.0,5880.0,5696.0,5733.0,5740.0,5806.0,5733.0,87900.0,507438550.0,79500.0,37700.0,100.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,5788.0,507438550.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5821.0,5883.0,5700.0,5719.5,5703.0,5797.0,5719.5,7100.0,40873650.0,4500.0,3100.0,100.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,5788.0,40873650.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5860.0,5901.0,5707.5,5722.0,5707.5,5891.0,5722.0,1600.0,9291200.0,1600.0,1000.0,100.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,5788.0,9291200.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5774.5,5792.5,5549.0,5770.5,5743.5,5719.5,5770.5,9100.0,51970150.0,6200.0,1700.0,100.0,04-Jun-2025,2025-06-03T18:30:00.000+00:00,5737.5,51970150.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5765.5,5832.5,5525.5,5762.5,5755.0,5733.0,5762.5,153700.0,882273700.0,117200.0,37700.0,100.0,04-Jun-2025,2025-06-03T18:30:00.000+00:00,5737.5,882273700.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5657.5,5799.5,5657.5,5761.5,5761.5,5722.0,5761.5,700.0,4018100.0,1400.0,-200.0,100.0,04-Jun-2025,2025-06-03T18:30:00.000+00:00,5737.5,4018100.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5760.0,5915.0,5668.0,5681.5,5697.0,5762.5,5681.5,125700.0,725154900.0,143000.0,25800.0,100.0,05-Jun-2025,2025-06-04T18:30:00.000+00:00,5658.5,725154900.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5899.5,5899.5,5697.0,5697.0,5697.0,5761.5,5745.0,500.0,2885750.0,1600.0,200.0,100.0,05-Jun-2025,2025-06-04T18:30:00.000+00:00,5658.5,2885750.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5766.0,5903.0,5684.0,5692.0,5708.0,5770.5,5692.0,7800.0,44832750.0,9100.0,2900.0,100.0,05-Jun-2025,2025-06-04T18:30:00.000+00:00,5658.5,44832750.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5625.0,5762.5,5625.0,5748.5,5748.5,5697.0,5748.5,400.0,2277300.0,1600.0,0.0,100.0,06-Jun-2025,2025-06-05T18:30:00.000+00:00,5731.5,2277300.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5684.0,5799.0,5613.0,5763.0,5781.5,5681.5,5763.0,154700.0,883685650.0,137900.0,-5100.0,100.0,06-Jun-2025,2025-06-05T18:30:00.000+00:00,5731.5,883685650.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5673.5,5788.0,5612.5,5771.5,5780.5,5692.0,5771.5,10300.0,58636800.0,10600.0,1500.0,100.0,06-Jun-2025,2025-06-05T18:30:00.000+00:00,5731.5,58636800.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5780.5,5787.5,5680.0,5691.0,5703.5,5771.5,5691.0,8200.0,46893100.0,16200.0,5600.0,100.0,09-Jun-2025,2025-06-08T18:30:00.000+00:00,5654.0,46893100.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5795.0,5815.5,5659.5,5673.0,5683.5,5763.0,5673.0,119000.0,678670800.0,170000.0,32100.0,100.0,09-Jun-2025,2025-06-08T18:30:00.000+00:00,5654.0,678670800.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5748.5,5748.5,5695.0,5695.0,5695.0,5748.5,5731.0,400.0,2288900.0,1900.0,300.0,100.0,09-Jun-2025,2025-06-08T18:30:00.000+00:00,5654.0,2288900.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5702.0,5705.5,5585.5,5612.0,5618.0,5673.0,5612.0,85900.0,483839250.0,193300.0,23300.0,100.0,10-Jun-2025,2025-06-09T18:30:00.000+00:00,5583.5,483839250.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5695.0,5695.0,5637.5,5682.0,5690.0,5695.0,5682.0,1700.0,9639150.0,3500.0,1600.0,100.0,10-Jun-2025,2025-06-09T18:30:00.000+00:00,5583.5,9639150.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5695.0,5695.0,5618.0,5644.5,5666.5,5691.0,5644.5,9800.0,55380200.0,20200.0,4000.0,100.0,10-Jun-2025,2025-06-09T18:30:00.000+00:00,5583.5,55380200.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5633.5,5692.5,5546.5,5595.5,5587.5,5612.0,5595.5,150000.0,842483700.0,227000.0,33700.0,100.0,11-Jun-2025,2025-06-10T18:30:00.000+00:00,5576.0,842483700.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5710.0,5710.0,5600.0,5600.0,5600.0,5682.0,5650.0,600.0,3393350.0,4100.0,600.0,100.0,11-Jun-2025,2025-06-10T18:30:00.000+00:00,5576.0,3393350.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5686.5,5716.0,5552.0,5616.0,5630.0,5644.5,5616.0,15300.0,85990200.0,24000.0,3800.0,100.0,11-Jun-2025,2025-06-10T18:30:00.000+00:00,5576.0,85990200.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5668.0,5668.0,5520.5,5520.5,5520.5,5600.0,5548.5,800.0,4453350.0,4700.0,600.0,100.0,12-Jun-2025,2025-06-11T18:30:00.000+00:00,5476.5,4453350.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5600.0,5649.0,5483.0,5503.5,5491.0,5616.0,5503.5,8200.0,45619100.0,27500.0,3500.0,100.0,12-Jun-2025,2025-06-11T18:30:00.000+00:00,5476.5,45619100.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5574.5,5633.0,5470.5,5485.0,5471.5,5595.5,5485.0,109500.0,605088050.0,229900.0,2900.0,100.0,12-Jun-2025,2025-06-11T18:30:00.000+00:00,5476.5,605088050.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5332.5,5557.5,5327.5,5519.0,5515.0,5503.5,5519.0,16100.0,88153700.0,31100.0,3600.0,100.0,13-Jun-2025,2025-06-12T18:30:00.000+00:00,5475.5,88153700.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5342.0,5547.0,5322.0,5487.5,5485.0,5485.0,5487.5,154800.0,839930250.0,243700.0,13800.0,100.0,13-Jun-2025,2025-06-12T18:30:00.000+00:00,5475.5,839930250.0
FUTSTK,KAYNES,28-Aug-2025,0,XX,N,5407.5,5552.0,5407.5,5548.0,5552.0,5520.5,5548.0,1000.0,5513250.0,5500.0,800.0,100.0,13-Jun-2025,2025-06-12T18:30:00.000+00:00,5475.5,5513250.0
FUTSTK,KAYNES,26-Jun-2025,0,XX,N,5473.0,5629.0,5378.0,5609.5,5629.0,5487.5,5609.5,222900.0,1227963600.0,272400.0,28700.0,100.0,16-Jun-2025,2025-06-15T18:30:00.000+00:00,5597.5,1227963600.0
FUTSTK,KAYNES,31-Jul-2025,0,XX,N,5485.5,5653.5,5408.5,5632.5,5653.5,5519.0,5632.5,21200.0,117089400.0,33100.0,2000.0,100.0,16-Jun-2025,2025-06-15T18:30:00.000+00:00,5597.5,117089400.0
