FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KEI,30-Jan-2025,0,XX,N,4470.9,4470.9,4329.75,4358.75,4358.75,4361.85,4358.75,450.0,1973910.0,300.0,300.0,150.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,4313.25,1973910.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,0.0,0.0,0.0,4386.35,0.0,4386.35,4391.5,0.0,0.0,0.0,0.0,150.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,4313.25,0.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4380.0,4380.0,4218.6,4331.25,4328.1,4330.75,4331.25,63000.0,271592332.5,39750.0,39750.0,150.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,4313.25,271592332.5
FUTSTK,KEI,27-Feb-2025,0,XX,N,0.0,0.0,0.0,4386.35,0.0,4386.35,4425.55,0.0,0.0,0.0,0.0,150.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,4354.9,0.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4363.1,4449.0,4265.65,4374.5,4376.9,4331.25,4374.5,59550.0,260770942.5,53250.0,13500.0,150.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,4354.9,260770942.5
FUTSTK,KEI,30-Jan-2025,0,XX,N,4409.9,4447.4,4390.0,4396.35,4402.65,4358.75,4396.35,1800.0,7966470.0,1650.0,1350.0,150.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,4354.9,7966470.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4352.85,4401.05,4325.0,4346.5,4337.6,4374.5,4346.5,58050.0,253285822.5,65700.0,12450.0,150.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,4340.25,253285822.5
FUTSTK,KEI,30-Jan-2025,0,XX,N,4376.0,4408.4,4363.55,4379.35,4386.9,4396.35,4379.35,5700.0,25051050.0,5100.0,3450.0,150.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,4340.25,25051050.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,0.0,0.0,0.0,4386.35,0.0,4386.35,4409.85,0.0,0.0,0.0,0.0,150.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,4340.25,0.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,4525.0,4525.0,4525.0,4525.0,4525.0,4386.35,4490.25,150.0,678750.0,150.0,150.0,150.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,4420.2,678750.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4398.9,4554.65,4387.05,4429.75,4421.05,4346.5,4429.75,355800.0,1593897570.0,153450.0,87750.0,150.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,4420.2,1593897570.0
FUTSTK,KEI,30-Jan-2025,0,XX,N,4437.9,4576.6,4437.9,4454.2,4446.1,4379.35,4454.2,9600.0,43363650.0,7800.0,2700.0,150.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,4420.2,43363650.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4408.25,4514.9,4390.25,4470.85,4483.55,4429.75,4470.85,179700.0,804014617.5,125550.0,-27900.0,150.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,4454.0,804014617.5
FUTSTK,KEI,27-Feb-2025,0,XX,N,0.0,0.0,0.0,4525.0,4525.0,4525.0,4523.75,0.0,0.0,150.0,0.0,150.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,4454.0,0.0
FUTSTK,KEI,30-Jan-2025,0,XX,N,4444.95,4534.0,4444.95,4508.75,4500.1,4454.2,4508.75,7050.0,31600747.5,7800.0,0.0,150.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,4454.0,31600747.5
FUTSTK,KEI,26-Dec-2024,0,XX,N,4470.9,4535.65,4468.55,4508.4,4503.05,4470.85,4508.4,105600.0,476258452.5,112350.0,-13200.0,150.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,4500.35,476258452.5
FUTSTK,KEI,30-Jan-2025,0,XX,N,4531.45,4555.0,4516.8,4546.55,4546.55,4508.75,4546.55,3600.0,16333740.0,7650.0,-150.0,150.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,4500.35,16333740.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,0.0,0.0,0.0,4525.0,4525.0,4525.0,4569.9,0.0,0.0,150.0,0.0,150.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,4500.35,0.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4503.05,4584.7,4480.9,4508.85,4502.25,4508.4,4508.85,100200.0,452039760.0,129450.0,17100.0,150.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,4487.8,452039760.0
FUTSTK,KEI,30-Jan-2025,0,XX,N,4533.7,4538.9,4532.45,4537.9,4537.6,4546.55,4537.9,7200.0,32654145.0,8100.0,450.0,150.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,4487.8,32654145.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,4540.8,4566.3,4540.8,4566.3,4566.3,4525.0,4554.7,300.0,1366065.0,150.0,0.0,150.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,4487.8,1366065.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4504.15,4579.85,4408.45,4564.7,4579.85,4508.85,4564.7,265500.0,1195485562.5,160800.0,31350.0,150.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,4559.2,1195485562.5
FUTSTK,KEI,30-Jan-2025,0,XX,N,4470.0,4595.55,4455.0,4590.5,4595.55,4537.9,4590.5,2100.0,9467325.0,8100.0,0.0,150.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,4559.2,9467325.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,4565.0,4565.0,4565.0,4565.0,4565.0,4566.3,4626.35,150.0,684750.0,150.0,0.0,150.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,4559.2,684750.0
FUTSTK,KEI,30-Jan-2025,0,XX,N,4587.9,4628.9,4504.5,4603.15,4584.0,4590.5,4603.15,24900.0,114347707.5,17550.0,9450.0,150.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,4630.95,114347707.5
FUTSTK,KEI,26-Dec-2024,0,XX,N,4553.7,4605.35,4470.2,4586.45,4588.0,4564.7,4586.45,351600.0,1599741630.0,250800.0,90000.0,150.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,4630.95,1599741630.0
FUTSTK,KEI,27-Feb-2025,0,XX,N,4618.4,4618.4,4615.0,4616.7,4615.0,4565.0,4616.7,300.0,1385010.0,300.0,150.0,150.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,4630.95,1385010.0
FUTSTK,KEI,30-Jan-2025,0,XX,N,4601.4,4603.0,4514.6,4549.05,4545.15,4603.15,4549.05,15600.0,71039355.0,21450.0,3900.0,150.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,4543.55,71039355.0
FUTSTK,KEI,26-Dec-2024,0,XX,N,4634.5,4634.5,4505.1,4540.1,4525.9,4586.45,4540.1,228300.0,1037833582.5,271800.0,21000.0,150.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,4543.55,1037833582.5
FUTSTK,KEI,27-Feb-2025,0,XX,N,4582.95,4582.95,4582.95,4582.95,4582.95,4616.7,4608.6,150.0,687442.5,450.0,150.0,150.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,4543.55,687442.5
