FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1798.05,1800.0,1791.0,1794.75,1794.9,1797.2,1794.75,6800.0,12212260.0,90000.0,4000.0,400.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2087.8,12212260.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1786.3,1789.0,1777.5,1782.8,1784.05,1786.2,1782.8,229200.0,408616460.0,633200.0,99600.0,400.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2087.8,408616460.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1771.2,1777.75,1765.45,1771.3,1771.4,1774.85,1771.3,4118400.0,7294469620.0,39860000.0,-224800.0,400.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,2087.8,7294469620.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1769.15,1789.4,1760.95,1786.0,1785.15,1771.3,1786.0,4677600.0,8321064940.0,39554800.0,-305200.0,400.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2087.8,8321064940.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1779.8,1800.9,1774.0,1797.6,1797.6,1782.8,1797.6,427600.0,765805940.0,733600.0,100400.0,400.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2087.8,765805940.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1790.0,1812.0,1790.0,1809.65,1809.15,1794.75,1809.65,30000.0,54177260.0,92000.0,2000.0,400.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,2087.8,54177260.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1816.5,1825.75,1813.0,1814.75,1814.35,1809.65,1814.75,40000.0,72751420.0,104800.0,12800.0,400.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2087.8,72751420.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1790.4,1803.5,1786.65,1791.55,1795.2,1786.0,1791.55,12522000.0,22486254560.0,32514400.0,-7040400.0,400.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2087.8,22486254560.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1799.25,1815.35,1797.65,1803.45,1805.25,1797.6,1803.45,7833200.0,14159757600.0,8064800.0,7331200.0,400.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,2087.8,14159757600.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1807.2,1814.85,1778.2,1786.2,1791.15,1814.75,1786.2,68800.0,123368300.0,142400.0,37600.0,400.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2087.8,123368300.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1785.05,1791.45,1752.95,1762.65,1766.5,1791.55,1762.65,8634800.0,15304456320.0,30067200.0,-2447200.0,400.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2087.8,15304456320.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1796.65,1803.6,1765.15,1774.35,1778.0,1803.45,1774.35,4451200.0,7940219760.0,11486800.0,3422000.0,400.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,2087.8,7940219760.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1778.35,1778.75,1742.5,1749.7,1749.9,1774.35,1749.7,13056000.0,23003257700.0,22432400.0,10945600.0,400.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2087.8,23003257700.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1786.75,1788.75,1755.0,1762.55,1761.7,1786.2,1762.55,58400.0,103472820.0,175600.0,33200.0,400.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2087.8,103472820.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1762.4,1766.95,1730.45,1737.5,1738.85,1762.65,1737.5,15520000.0,27157607560.0,19715200.0,-10352000.0,400.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,2087.8,27157607560.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1752.65,1754.85,1736.35,1743.2,1746.65,1749.7,1743.2,7978400.0,13933921120.0,28735200.0,6302800.0,400.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2087.8,13933921120.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1762.0,1764.0,1751.0,1756.55,1755.95,1762.55,1756.55,60000.0,105479080.0,208000.0,32400.0,400.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2087.8,105479080.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1740.05,1742.95,1724.2,1731.3,1734.0,1737.5,1731.3,10101200.0,17522395340.0,13667200.0,-6048000.0,400.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,2087.8,17522395340.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1748.45,1748.45,1722.0,1724.95,1724.0,1756.55,1724.95,120800.0,209002500.0,259200.0,51200.0,400.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2087.8,209002500.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1722.7,1727.6,1697.6,1702.1,1700.0,1731.3,1702.1,9160400.0,15648466840.0,8010800.0,-5656400.0,400.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2087.8,15648466840.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1733.2,1740.65,1710.0,1712.45,1711.0,1743.2,1712.45,11123200.0,19117288900.0,34838800.0,6103600.0,400.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,2087.8,19117288900.0
FUTSTK,KOTAKBANK,23-Feb-2023,0,XX,N,1704.2,1711.7,1685.0,1703.9,1703.95,1702.1,1707.15,9895200.0,16837487420.0,885200.0,-7125600.0,400.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2087.8,16837487420.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1714.5,1722.9,1696.5,1717.0,1718.75,1712.45,1717.0,11886400.0,20362011080.0,41705600.0,6866800.0,400.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2087.8,20362011080.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1725.0,1735.0,1709.1,1731.9,1732.35,1724.95,1731.9,128800.0,222520380.0,336000.0,76800.0,400.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,2087.8,222520380.0
FUTSTK,KOTAKBANK,29-Mar-2023,0,XX,N,1712.0,1732.9,1705.75,1708.9,1708.8,1717.0,1708.9,3432800.0,5901433920.0,41646000.0,-59600.0,400.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,2087.8,5901433920.0
FUTSTK,KOTAKBANK,27-Apr-2023,0,XX,N,1733.35,1744.4,1717.0,1720.1,1719.2,1731.9,1720.1,138000.0,238820180.0,368000.0,32000.0,400.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,2087.8,238820180.0
