FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,LICHSGFIN,FUTSTK,,616.9441528320312,598.6646500798857,618.6896604125619,595.6100266109084,1573234,616.9441528320312,1000,YFINANCE
01-Apr-2025,LICHSGFIN,FUTSTK,,551.7338256835938,551.7829484116238,558.7600552013997,547.6556196156122,574944,551.7338256835938,1000,YFINANCE
01-Apr-2026,LICHSGFIN,FUTSTK,,515.5499877929688,511.0,517.7999877929688,504.25,1766925,515.5499877929688,1000,YFINANCE
01-Aug-2023,LICHSGFIN,FUTSTK,,397.22900390625,397.7991948795447,402.3131608330248,394.8532323517868,3894870,397.22900390625,1000,YFINANCE
01-Aug-2024,LICHSGFIN,FUTSTK,,734.6212158203125,748.1005280763127,755.2765167002127,733.1181415211568,1632602,734.6212158203125,1000,YFINANCE
01-Aug-2025,LICHSGFIN,FUTSTK,,560.3815307617188,575.8098461910109,576.84166340575,550.7020140641068,2495374,560.3815307617188,1000,YFINANCE
01-Dec-2023,LICHSGFIN,FUTSTK,,477.7874450683594,478.6601988205913,487.77568279904966,475.94492875443456,3804499,477.7874450683594,1000,YFINANCE
01-Dec-2025,LICHSGFIN,FUTSTK,,550.6500244140625,550.9000244140625,554.75,549.0499877929688,289709,550.6500244140625,1000,YFINANCE
01-Feb-2024,LICHSGFIN,FUTSTK,,610.5923461914062,606.4224473572948,615.5864351303409,601.1859251925537,5463844,610.5923461914062,1000,YFINANCE
01-Feb-2025,LICHSGFIN,FUTSTK,,574.5814819335938,588.634001184794,590.255471089472,567.4569468608229,2887781,574.5814819335938,1000,YFINANCE
01-Jan-2024,LICHSGFIN,FUTSTK,,546.0081787109375,522.0072858664737,551.7781021616125,522.0072858664737,6193413,546.0081787109375,1000,YFINANCE
01-Jan-2025,LICHSGFIN,FUTSTK,,589.9114379882812,587.9951719070945,593.8913383237268,585.3419450027351,777096,589.9114379882812,1000,YFINANCE
01-Jan-2026,LICHSGFIN,FUTSTK,,535.8499755859375,539.6500244140625,539.9500122070312,534.2000122070312,698194,535.8499755859375,1000,YFINANCE
01-Jul-2024,LICHSGFIN,FUTSTK,,791.6414794921875,776.0772772967532,796.3931946789394,770.9377044380601,3206810,791.6414794921875,1000,YFINANCE
01-Jul-2025,LICHSGFIN,FUTSTK,,600.7702026367188,608.1404107003682,608.1404107003682,597.5273230844944,1400114,600.7702026367188,1000,YFINANCE
01-Jun-2023,LICHSGFIN,FUTSTK,,358.36138916015625,355.36792278434217,360.4995835716117,354.2275408311188,926549,358.36138916015625,1000,YFINANCE
01-Mar-2023,LICHSGFIN,FUTSTK,,339.1176452636719,334.508642542059,340.16299057183943,332.0378342685134,1022685,339.1176452636719,1000,YFINANCE
01-Mar-2024,LICHSGFIN,FUTSTK,,629.1142578125,630.6658068734097,635.0781391917395,626.8838838420162,877615,629.1142578125,1000,YFINANCE
01-Nov-2023,LICHSGFIN,FUTSTK,,443.50738525390625,446.46505901156166,451.2652491102111,441.47094007284585,3460388,443.50738525390625,1000,YFINANCE
01-Nov-2024,LICHSGFIN,FUTSTK,,623.077392578125,619.048369398719,626.4185776382968,616.5916333188599,194439,623.077392578125,1000,YFINANCE
01-Oct-2024,LICHSGFIN,FUTSTK,,647.84130859375,652.902208943687,657.1769057596819,646.1215933263414,1014301,647.84130859375,1000,YFINANCE
01-Oct-2025,LICHSGFIN,FUTSTK,,577.2000122070312,565.0,578.5,564.5499877929688,919596,577.2000122070312,1000,YFINANCE
01-Sep-2023,LICHSGFIN,FUTSTK,,420.08831787109375,412.1364959931943,422.6581042214477,410.68189659557123,6572052,420.08831787109375,1000,YFINANCE
01-Sep-2025,LICHSGFIN,FUTSTK,,563.4000244140625,555.2000122070312,564.0499877929688,554.0999755859375,678306,563.4000244140625,1000,YFINANCE
02-Apr-2024,LICHSGFIN,FUTSTK,,619.7562866210938,618.689604082279,623.4897938825463,611.56209078247,1608600,619.7562866210938,1000,YFINANCE
02-Apr-2025,LICHSGFIN,FUTSTK,,555.8611450195312,553.207857983043,556.7946567729481,542.4473416555077,688464,555.8611450195312,1000,YFINANCE
02-Apr-2026,LICHSGFIN,FUTSTK,,517.4000244140625,510.0,518.8499755859375,501.75,1731934,517.4000244140625,1000,YFINANCE
02-Aug-2023,LICHSGFIN,FUTSTK,,393.7603759765625,396.2311841478695,397.94172803509593,389.43645442649597,3740226,393.7603759765625,1000,YFINANCE
02-Aug-2024,LICHSGFIN,FUTSTK,,725.9420776367188,722.4510626199851,737.8698405174658,718.5721307401462,2233217,725.9420776367188,1000,YFINANCE
02-Dec-2024,LICHSGFIN,FUTSTK,,616.0020141601562,627.9417761489185,627.9417761489185,613.0539307040581,1028942,616.0020141601562,1000,YFINANCE
02-Dec-2025,LICHSGFIN,FUTSTK,,554.6500244140625,550.0,556.4000244140625,548.5999755859375,2401015,554.6500244140625,1000,YFINANCE
02-Feb-2024,LICHSGFIN,FUTSTK,,615.0531005859375,615.6834506550359,622.9564475086339,606.0830711331666,2873863,615.0531005859375,1000,YFINANCE
02-Feb-2026,LICHSGFIN,FUTSTK,,496.3500061035156,507.6000061035156,508.0,488.1000061035156,5746786,496.3500061035156,1000,YFINANCE
02-Jan-2024,LICHSGFIN,FUTSTK,,542.6625366210938,546.6384772395909,551.1962339545498,536.5047560469635,2659755,542.6625366210938,1000,YFINANCE
02-Jan-2025,LICHSGFIN,FUTSTK,,595.5619506835938,589.4692331872558,597.5273395547409,586.6685780374345,1316441,595.5619506835938,1000,YFINANCE
02-Jan-2026,LICHSGFIN,FUTSTK,,545.5499877929688,536.25,547.75,536.25,988536,545.5499877929688,1000,YFINANCE
02-Jul-2024,LICHSGFIN,FUTSTK,,771.3741455078125,793.2416133537815,794.502254446978,764.1496226439851,3268240,771.3741455078125,1000,YFINANCE
02-Jul-2025,LICHSGFIN,FUTSTK,,598.657470703125,601.4090031662738,605.7820054628562,595.0214892437563,1038538,598.657470703125,1000,YFINANCE
02-Jun-2023,LICHSGFIN,FUTSTK,,360.3570251464844,359.4542203950127,361.44987421329154,357.9337208667471,730890,360.3570251464844,1000,YFINANCE
02-Jun-2025,LICHSGFIN,FUTSTK,,591.9751586914062,584.7031957941672,593.8422421528153,581.7551124540286,1331928,591.9751586914062,1000,YFINANCE
02-Mar-2023,LICHSGFIN,FUTSTK,,337.2645263671875,339.1176397927303,340.92322038618966,336.59932772808025,687727,337.2645263671875,1000,YFINANCE
02-Mar-2026,LICHSGFIN,FUTSTK,,527.9500122070312,525.0,534.9500122070312,521.5499877929688,1733321,527.9500122070312,1000,YFINANCE
02-May-2023,LICHSGFIN,FUTSTK,,337.5021057128906,327.09624356669786,338.64248767463795,327.0012069030326,1961296,337.5021057128906,1000,YFINANCE
02-May-2024,LICHSGFIN,FUTSTK,,648.8483276367188,654.6182508332777,662.327640032861,645.8421790071529,2269415,648.8483276367188,1000,YFINANCE
02-May-2025,LICHSGFIN,FUTSTK,,590.9924926757812,589.4201454980538,602.784826603634,588.535756440812,906483,590.9924926757812,1000,YFINANCE
02-Nov-2023,LICHSGFIN,FUTSTK,,435.1191711425781,448.9863400004979,450.92580583203346,427.652215853606,5955955,435.1191711425781,1000,YFINANCE
02-Sep-2024,LICHSGFIN,FUTSTK,,663.9083251953125,662.9256307767411,668.9692254425185,658.5035058931695,1104837,663.9083251953125,1000,YFINANCE
02-Sep-2025,LICHSGFIN,FUTSTK,,556.4500122070312,564.0,566.0,555.25,1063167,556.4500122070312,1000,YFINANCE
03-Apr-2023,LICHSGFIN,FUTSTK,,316.9754333496094,315.26488940842836,317.6406609940231,311.5111587027414,716360,316.9754333496094,1000,YFINANCE
03-Apr-2024,LICHSGFIN,FUTSTK,,621.9867553710938,618.4956811398185,624.5080374371782,612.8712417085352,1187104,621.9867553710938,1000,YFINANCE
03-Apr-2025,LICHSGFIN,FUTSTK,,563.3787231445312,550.3088987939568,569.8645425819489,549.8175515628908,1663351,563.3787231445312,1000,YFINANCE
03-Aug-2023,LICHSGFIN,FUTSTK,,374.7541809082031,392.9050799366813,399.8898245487564,371.3330643424451,6424734,374.7541809082031,1000,YFINANCE
03-Dec-2024,LICHSGFIN,FUTSTK,,624.3549194335938,616.0020162792475,632.8061280241616,616.0020162792475,1006739,624.3549194335938,1000,YFINANCE
03-Dec-2025,LICHSGFIN,FUTSTK,,549.4000244140625,554.5999755859375,554.9000244140625,545.5,1627288,549.4000244140625,1000,YFINANCE
03-Feb-2025,LICHSGFIN,FUTSTK,,547.9503784179688,567.5551438715516,571.8299005376645,545.3953969463594,3721631,547.9503784179688,1000,YFINANCE
03-Feb-2026,LICHSGFIN,FUTSTK,,509.20001220703125,511.0,523.9000244140625,504.20001220703125,2291494,509.20001220703125,1000,YFINANCE
03-Jan-2024,LICHSGFIN,FUTSTK,,540.7230834960938,543.0504663125547,545.5232735626672,538.3472850562192,1506526,540.7230834960938,1000,YFINANCE
03-Jan-2025,LICHSGFIN,FUTSTK,,598.9031372070312,597.920442769077,606.8138154367817,596.4955238382615,883434,598.9031372070312,1000,YFINANCE
03-Jul-2023,LICHSGFIN,FUTSTK,,376.79736328125,374.42159175993066,377.7001680597983,371.9032797475556,1442820,376.79736328125,1000,YFINANCE
03-Jul-2024,LICHSGFIN,FUTSTK,,775.3499755859375,776.707625403755,784.5139638866987,771.180135699502,1670552,775.3499755859375,1000,YFINANCE
03-Jul-2025,LICHSGFIN,FUTSTK,,598.8048095703125,601.4089737258842,601.9003209266407,596.4955017183198,1183645,598.8048095703125,1000,YFINANCE
03-Jun-2024,LICHSGFIN,FUTSTK,,660.3396606445312,649.7210730606807,664.7519337061143,631.82948839033,5954520,660.3396606445312,1000,YFINANCE
03-Jun-2025,LICHSGFIN,FUTSTK,,597.5764770507812,594.5301482167716,603.7183174249215,592.3190856820812,2969033,597.5764770507812,1000,YFINANCE
03-Mar-2023,LICHSGFIN,FUTSTK,,341.0182800292969,338.78504880218617,343.8216732708872,338.1673539524201,1161080,341.0182800292969,1000,YFINANCE
03-Mar-2025,LICHSGFIN,FUTSTK,,492.1825256347656,491.34722934698476,494.3444354502194,475.329321666055,2527437,492.1825256347656,1000,YFINANCE
03-May-2023,LICHSGFIN,FUTSTK,,338.1197814941406,336.1716605036824,340.87569957972823,335.07881143583717,1073926,338.1197814941406,1000,YFINANCE
03-May-2024,LICHSGFIN,FUTSTK,,634.2537841796875,651.660501373886,655.4424833159073,624.992846927782,2650534,634.2537841796875,1000,YFINANCE
03-Nov-2023,LICHSGFIN,FUTSTK,,448.4045104980469,438.27081891927537,455.77448684236316,435.4585696870421,5172857,448.4045104980469,1000,YFINANCE
03-Nov-2025,LICHSGFIN,FUTSTK,,575.5499877929688,572.9500122070312,577.4000244140625,571.0,949133,575.5499877929688,1000,YFINANCE
03-Oct-2023,LICHSGFIN,FUTSTK,,462.853515625,449.47121302932464,466.4415393033552,445.05894003563685,5517553,462.853515625,1000,YFINANCE
03-Oct-2024,LICHSGFIN,FUTSTK,,625.583251953125,643.5666080571875,644.5493024900255,619.1466154138176,2143072,625.583251953125,1000,YFINANCE
03-Oct-2025,LICHSGFIN,FUTSTK,,578.4500122070312,579.0,583.4500122070312,574.0499877929688,863724,578.4500122070312,1000,YFINANCE
03-Sep-2024,LICHSGFIN,FUTSTK,,682.0390625,671.6716481778933,683.1691850949352,666.2668287704632,3808579,682.0390625,1000,YFINANCE
03-Sep-2025,LICHSGFIN,FUTSTK,,557.0999755859375,556.7000122070312,559.7999877929688,555.6500244140625,691081,557.0999755859375,1000,YFINANCE
04-Apr-2024,LICHSGFIN,FUTSTK,,624.362548828125,626.6899316303843,640.9934929325865,622.4230828888434,3145305,624.362548828125,1000,YFINANCE
04-Apr-2025,LICHSGFIN,FUTSTK,,552.1268310546875,565.0492865561874,567.0146753789916,547.90125708144,1073812,552.1268310546875,1000,YFINANCE
04-Aug-2023,LICHSGFIN,FUTSTK,,405.44915771484375,370.6203533830451,412.19635456383537,370.6203533830451,29720946,405.44915771484375,1000,YFINANCE
04-Aug-2025,LICHSGFIN,FUTSTK,,580.821533203125,560.3815009722977,584.4083918786846,560.3815009722977,2853738,580.821533203125,1000,YFINANCE
04-Dec-2023,LICHSGFIN,FUTSTK,,492.1879577636719,486.8059516103216,495.14566108258555,482.05426596955897,3584148,492.1879577636719,1000,YFINANCE
04-Dec-2024,LICHSGFIN,FUTSTK,,627.2047119140625,627.9417327271225,633.8378992316026,623.1265060902342,1077571,627.2047119140625,1000,YFINANCE
04-Dec-2025,LICHSGFIN,FUTSTK,,546.9500122070312,549.3499755859375,551.2000122070312,544.7000122070312,1547387,546.9500122070312,1000,YFINANCE
04-Feb-2025,LICHSGFIN,FUTSTK,,566.5233764648438,554.4362461700492,569.7662563031186,554.4362461700492,2384006,566.5233764648438,1000,YFINANCE
04-Feb-2026,LICHSGFIN,FUTSTK,,515.7000122070312,513.0,518.5,507.29998779296875,2367355,515.7000122070312,1000,YFINANCE
04-Jan-2024,LICHSGFIN,FUTSTK,,554.687255859375,542.0322525064375,556.6267217889532,537.3290121145286,4223351,554.687255859375,1000,YFINANCE
04-Jul-2023,LICHSGFIN,FUTSTK,,370.8104248046875,378.1753164047205,378.22282023395144,368.3396166612273,2927676,370.8104248046875,1000,YFINANCE
