FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,LICI,24-Apr-2025,0,XX,N,852.0,852.0,837.5,839.0,839.0,850.45,839.0,14375.0,12124363.75,25875.0,9775.0,575.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,828.8,12124363.75
FUTSTK,LICI,27-Feb-2025,0,XX,N,851.85,851.85,829.1,831.3,831.7,844.6,831.3,792925.0,661890233.75,5750000.0,79925.0,575.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,828.8,661890233.75
FUTSTK,LICI,27-Mar-2025,0,XX,N,845.4,846.25,832.25,833.65,833.5,846.4,833.65,42550.0,35721846.25,430675.0,6325.0,575.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,828.8,35721846.25
FUTSTK,LICI,27-Mar-2025,0,XX,N,829.85,831.8,811.15,820.75,818.2,833.65,820.75,234600.0,193209746.25,487600.0,56925.0,575.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,816.1,193209746.25
FUTSTK,LICI,24-Apr-2025,0,XX,N,831.7,835.2,820.0,822.3,820.0,839.0,822.3,24725.0,20441652.5,37375.0,11500.0,575.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,816.1,20441652.5
FUTSTK,LICI,27-Feb-2025,0,XX,N,828.65,834.6,809.2,817.3,811.0,831.3,817.3,1878525.0,1540775893.75,5874200.0,124200.0,575.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,816.1,1540775893.75
FUTSTK,LICI,24-Apr-2025,0,XX,N,829.8,833.05,816.0,816.45,816.0,822.3,816.45,83375.0,68879192.5,95450.0,58075.0,575.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,808.9,68879192.5
FUTSTK,LICI,27-Feb-2025,0,XX,N,811.0,828.25,808.0,810.05,808.35,817.3,810.05,1912450.0,1560511043.75,6070850.0,196650.0,575.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,808.9,1560511043.75
FUTSTK,LICI,27-Mar-2025,0,XX,N,819.0,830.75,810.9,812.4,811.7,820.75,812.4,175950.0,144060270.0,547975.0,60375.0,575.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,808.9,144060270.0
FUTSTK,LICI,27-Feb-2025,0,XX,N,814.45,814.45,790.5,801.15,798.4,810.05,801.15,1946950.0,1556051803.75,6253125.0,182275.0,575.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,799.8,1556051803.75
