FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,L&TFH,23-Feb-2023,0,XX,N,89.55,91.1,89.35,90.05,90.0,89.55,90.05,12350816.0,1114406363.8,60781364.0,-312340.0,8924.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,89.55,1114406363.8
FUTSTK,L&TFH,27-Apr-2023,0,XX,N,91.0,91.6,90.75,90.8,90.8,90.55,90.95,62468.0,5692173.4,151708.0,8924.0,8924.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,89.55,5692173.4
FUTSTK,L&TFH,29-Mar-2023,0,XX,N,90.4,91.4,89.9,90.55,90.5,90.0,90.55,1088728.0,98812774.8,2061444.0,17848.0,8924.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,89.55,98812774.8
FUTSTK,L&TFH,29-Mar-2023,0,XX,N,90.4,94.55,90.3,94.3,94.1,90.55,94.3,1668788.0,154767147.2,2088216.0,26772.0,8924.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,93.35,154767147.2
FUTSTK,L&TFH,23-Feb-2023,0,XX,N,89.4,94.1,89.4,93.75,93.5,90.05,93.75,24210812.0,2240343428.0,64716848.0,3935484.0,8924.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,93.35,2240343428.0
FUTSTK,L&TFH,27-Apr-2023,0,XX,N,92.4,95.0,92.4,94.75,95.0,90.8,94.75,89240.0,8390791.0,178480.0,26772.0,8924.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,93.35,8390791.0
FUTSTK,L&TFH,23-Feb-2023,0,XX,N,93.15,94.7,92.3,94.4,94.3,93.75,94.4,12216956.0,1145850970.2,64002928.0,-713920.0,8924.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,93.95,1145850970.2
FUTSTK,L&TFH,29-Mar-2023,0,XX,N,93.75,95.2,92.95,94.85,94.75,94.3,94.85,901324.0,84888211.4,2177456.0,89240.0,8924.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,93.95,84888211.4
FUTSTK,L&TFH,27-Apr-2023,0,XX,N,94.75,95.6,94.75,95.6,95.6,94.75,95.6,62468.0,5951415.6,223100.0,44620.0,8924.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,93.95,5951415.6
FUTSTK,L&TFH,23-Feb-2023,0,XX,N,93.5,96.95,93.5,95.5,95.35,94.4,95.5,17910468.0,1712547726.4,65868044.0,1865116.0,8924.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,1712547726.4
